opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
St. Olaf Oles,"Wed, Dec 11",Gustavus Adolphus Golden Gusties,Away,L,49.0,82.0,-33.0
St. Olaf Oles,"Sat, Jan 4",Bethel (MN) Royals,Home,L,60.0,66.0,-6.0
St. Olaf Oles,"Mon, Jan 6",Carleton Knights,Away,L,57.0,66.0,-9.0
St. Olaf Oles,"Wed, Jan 8",St. Scholastica Saints,Away,L,62.0,81.0,-19.0
St. Olaf Oles,"Sat, Jan 11",Concordia-Moorhead Cobbers,Home,L,56.0,82.0,-26.0
St. Olaf Oles,"Wed, Jan 15",Hamline Pipers,Home,L,57.0,63.0,-6.0
St. Olaf Oles,"Sat, Jan 18",Augsburg Auggies,Away,L,67.0,75.0,-8.0
St. Olaf Oles,"Wed, Jan 22",Saint Mary's (MN) Cardinals,Away,W,78.0,67.0,11.0
St. Olaf Oles,"Sat, Jan 25",Carleton Knights,Home,L,63.0,68.0,-5.0
St. Olaf Oles,"Wed, Jan 29",Saint John's (MN) Johnnies,Home,L,54.0,78.0,-24.0
St. Olaf Oles,"Wed, Feb 5",Concordia-Moorhead Cobbers,Away,L,56.0,81.0,-25.0
St. Olaf Oles,"Sat, Feb 8",Augsburg Auggies,Home,L,70.0,71.0,-1.0
St. Olaf Oles,"Wed, Feb 12",Gustavus Adolphus Golden Gusties,Home,L,55.0,83.0,-28.0
St. Olaf Oles,"Sat, Feb 15",Macalester Scots,Away,W,75.0,58.0,17.0
St. Olaf Oles,"Wed, Feb 19",Saint Mary's (MN) Cardinals,Home,W,77.0,74.0,3.0
St. Olaf Oles,"Sat, Feb 22",Hamline Pipers,Away,L,64.0,87.0,-23.0
Aurora Spartans,"Fri, Nov 8",Dubuque Spartans,Home,L,76.0,88.0,-12.0
Aurora Spartans,"Tue, Nov 12",North Central (IL) Cardinals,Home,L,71.0,78.0,-7.0
Aurora Spartans,"Sat, Nov 16",MSOE Raiders,Away,W,86.0,82.0,4.0
Aurora Spartans,"Wed, Nov 20",UW-Whitewater Warhawks,Home,L,72.0,75.0,-3.0
