opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
Ripon Red Hawks,"Wed, Jan 8",Grinnell Pioneers,Away,L,97.0,99.0,-2.0
Ripon Red Hawks,"Sat, Jan 11",Illinois College Blueboys,Home,W,74.0,62.0,12.0
Ripon Red Hawks,"Tue, Jan 14",Lake Forest Foresters,Home,W,74.0,58.0,16.0
Ripon Red Hawks,"Sat, Jan 18",Monmouth (IL) Fighting Scots,Away,L,71.0,84.0,-13.0
Ripon Red Hawks,"Wed, Jan 22",Lawrence Vikings,Away,W,63.0,61.0,2.0
Ripon Red Hawks,"Sat, Jan 25",Grinnell Pioneers,Home,W,102.0,85.0,17.0
Ripon Red Hawks,"Sat, Feb 1",Cornell College Rams,Away,L,58.0,64.0,-6.0
Ripon Red Hawks,"Wed, Feb 5",Beloit Buccaneers,Away,W,72.0,60.0,12.0
Ripon Red Hawks,"Sat, Feb 8",Knox Prairie Fire,Away,W,78.0,55.0,23.0
Ripon Red Hawks,"Tue, Feb 11",Cornell College Rams,Home,W,55.0,50.0,5.0
Ripon Red Hawks,"Sat, Feb 15",Monmouth (IL) Fighting Scots,Home,L,73.0,78.0,-5.0
Ripon Red Hawks,"Wed, Feb 19",Lake Forest Foresters,Away,L,57.0,64.0,-7.0
Ripon Red Hawks,"Sat, Feb 22",Lawrence Vikings,Home,W,56.0,50.0,6.0
UW-River Falls Falcons,"Wed, Oct 30",Wisconsin Badgers EXH,Away,L,62.0,78.0,-16.0
UW-River Falls Falcons,"Wed, Nov 13",Macalester Scots,Away,L,70.0,74.0,-4.0
UW-River Falls Falcons,"Sat, Nov 16",Crown (MN) Storm,Home,L,56.0,65.0,-9.0
UW-River Falls Falcons,"Wed, Nov 20",St. Olaf Oles,Away,W,69.0,50.0,19.0
UW-River Falls Falcons,"Sat, Nov 23",Saint Mary's (MN) Cardinals,Home,W,84.0,56.0,28.0
UW-River Falls Falcons,"Tue, Nov 26",Concordia-Moorhead Cobbers,Home,W,68.0,59.0,9.0
UW-River Falls Falcons,"Sat, Nov 30",Carleton Knights,Away,L,67.0,72.0,-5.0
UW-River Falls Falcons,"Wed, Dec 11",North Central (MN) Rams,Away,W,72.0,61.0,11.0
UW-River Falls Falcons,"Sat, Dec 14",Gustavus Adolphus Golden Gusties,Away,L,53.0,73.0,-20.0
UW-River Falls Falcons,"Thu, Dec 19",Hamline Pipers,Home,L,45.0,58.0,-13.0
UW-River Falls Falcons,"Mon, Dec 30",St. Scholastica Saints,Home,W,80.0,57.0,23.0
UW-River Falls Falcons,"Tue, Dec 31",Wisconsin-Superior Yellowjackets,Home,W,59.0,51.0,8.0
UW-River Falls Falcons,"Sat, Jan 4",UW-Whitewater Warhawks,Away,L,69.0,88.0,-19.0
UW-River Falls Falcons,"Wed, Jan 8",UW-Stout Blue Devils,Home,L,64.0,66.0,-2.0
UW-River Falls Falcons,"Sat, Jan 11",UW-Eau Claire Blugolds,Away,W,67.0,65.0,2.0
UW-River Falls Falcons,"Wed, Jan 15",UW-Stevens Point Pointers,Home,L,53.0,55.0,-2.0
UW-River Falls Falcons,"Sat, Jan 18",UW-Platteville Pioneers,Home,L,66.0,75.0,-9.0
UW-River Falls Falcons,"Wed, Jan 22",UW-La Crosse Eagles,Away,L,56.0,77.0,-21.0
UW-River Falls Falcons,"Sat, Jan 25",UW-Oshkosh Titans,Away,L,68.0,81.0,-13.0
UW-River Falls Falcons,"Wed, Jan 29",UW-Eau Claire Blugolds,Home,L,58.0,71.0,-13.0
UW-River Falls Falcons,"Wed, Feb 5",UW-Stevens Point Pointers,Away,L,53.0,62.0,-9.0
UW-River Falls Falcons,"Sat, Feb 8",UW-Oshkosh Titans,Home,W,76.0,68.0,8.0
UW-River Falls Falcons,"Wed, Feb 12",UW-Stout Blue Devils,Away,L,81.0,82.0,-1.0
UW-River Falls Falcons,"Sat, Feb 15",UW-Whitewater Warhawks,Home,W,72.0,66.0,6.0
UW-River Falls Falcons,"Wed, Feb 19",UW-La Crosse Eagles,Home,L,79.0,86.0,-7.0
UW-River Falls Falcons,"Sat, Feb 22",UW-Platteville Pioneers,Away,L,44.0,85.0,-41.0
UW-Stevens Point Pointers,"Sun, Nov 10",Lakeland Muskies,Away,W,91.0,59.0,32.0
UW-Stevens Point Pointers,"Wed, Nov 13",MSOE Raiders,Home,W,72.0,47.0,25.0
UW-Stevens Point Pointers,"Sat, Nov 16",Edgewood Eagles,Away,W,71.0,56.0,15.0
UW-Stevens Point Pointers,"Fri, Nov 22",North Central (MN) Rams,Away,W,65.0,62.0,3.0
UW-Stevens Point Pointers,"Tue, Nov 26",Northland Lumberjacks,Home,W,77.0,52.0,25.0
UW-Stevens Point Pointers,"Sun, Dec 1",St. Olaf Oles,Home,W,72.0,50.0,22.0
UW-Stevens Point Pointers,"Sat, Dec 7",Trine Thunder,Home,W,65.0,62.0,3.0
UW-Stevens Point Pointers,"Sat, Dec 14",Olivet Comets,Home,W,73.0,36.0,37.0
UW-Stevens Point Pointers,"Thu, Dec 19",Christopher Newport Captains,Neutral Court,W,70.0,68.0,2.0
UW-Stevens Point Pointers,"Fri, Dec 20",Randolph-Macon Yellow Jackets,Neutral Court,L,50.0,51.0,-1.0
UW-Stevens Point Pointers,"Mon, Dec 30",North Park Vikings,Home,W,90.0,73.0,17.0
UW-Stevens Point Pointers,"Sat, Jan 4",UW-Platteville Pioneers,Home,L,64.0,79.0,-15.0
UW-Stevens Point Pointers,"Wed, Jan 8",UW-Whitewater Warhawks,Away,W,86.0,67.0,19.0
UW-Stevens Point Pointers,"Sat, Jan 11",UW-La Crosse Eagles,Home,L,83.0,84.0,-1.0
UW-Stevens Point Pointers,"Wed, Jan 15",UW-River Falls Falcons,Away,W,55.0,53.0,2.0
UW-Stevens Point Pointers,"Sat, Jan 18",UW-Stout Blue Devils,Home,W,87.0,83.0,4.0
UW-Stevens Point Pointers,"Wed, Jan 22",UW-Oshkosh Titans,Home,L,43.0,60.0,-17.0
UW-Stevens Point Pointers,"Sat, Jan 25",UW-Eau Claire Blugolds,Away,L,66.0,71.0,-5.0
UW-Stevens Point Pointers,"Wed, Jan 29",UW-Whitewater Warhawks,Home,W,83.0,52.0,31.0
UW-Stevens Point Pointers,"Wed, Feb 5",UW-River Falls Falcons,Home,W,62.0,53.0,9.0
UW-Stevens Point Pointers,"Sat, Feb 8",UW-Platteville Pioneers,Away,L,69.0,78.0,-9.0
UW-Stevens Point Pointers,"Wed, Feb 12",UW-Oshkosh Titans,Away,W,76.0,75.0,1.0
UW-Stevens Point Pointers,"Sat, Feb 15",UW-Eau Claire Blugolds,Home,L,62.0,66.0,-4.0
UW-Stevens Point Pointers,"Wed, Feb 19",UW-Stout Blue Devils,Away,W,85.0,57.0,28.0
UW-Stevens Point Pointers,"Sat, Feb 22",UW-La Crosse Eagles,Away,L,60.0,74.0,-14.0
UW-Stevens Point Pointers,"Mon, Feb 24",UW-Whitewater Warhawks,Home,W,81.0,79.0,2.0
UW-Stevens Point Pointers,"Wed, Feb 26",UW-Platteville Pioneers,Away,L,73.0,83.0,-10.0
UW-Stout Blue Devils,"Fri, Nov 8",St. Olaf Oles,Neutral Court,L,56.0,61.0,-5.0
UW-Stout Blue Devils,"Sat, Nov 9",Marian (WI) Sabres,Neutral Court,L,67.0,78.0,-11.0
UW-Stout Blue Devils,"Wed, Nov 13",Hamline Pipers,Home,L,70.0,90.0,-20.0
UW-Stout Blue Devils,"Sat, Nov 16",Illinois Wesleyan Titans,Home,L,57.0,69.0,-12.0
UW-Stout Blue Devils,"Sat, Nov 23",Concordia-Moorhead Cobbers,Away,L,61.0,71.0,-10.0
UW-Stout Blue Devils,"Tue, Nov 26",Macalester Scots,Away,L,72.0,88.0,-16.0
UW-Stout Blue Devils,"Mon, Dec 2",Saint Mary's (MN) Cardinals,Home,W,83.0,65.0,18.0
UW-Stout Blue Devils,"Wed, Dec 4",North Central (MN) Rams,Away,W,69.0,65.0,4.0
UW-Stout Blue Devils,"Wed, Dec 11",Northland Lumberjacks,Away,W,88.0,66.0,22.0
UW-Stout Blue Devils,"Fri, Dec 13",North Dakota St. Bison EXH,Away,L,62.0,91.0,-29.0
UW-Stout Blue Devils,"Mon, Dec 30",Wisconsin-Superior Yellowjackets,Neutral Court,W,66.0,65.0,1.0
UW-Stout Blue Devils,"Tue, Dec 31",St. Scholastica Saints,Neutral Court,L,69.0,79.0,-10.0
UW-Stout Blue Devils,"Sat, Jan 4",UW-Oshkosh Titans,Home,W,64.0,57.0,7.0
UW-Stout Blue Devils,"Wed, Jan 8",UW-River Falls Falcons,Away,W,66.0,64.0,2.0
UW-Stout Blue Devils,"Sat, Jan 11",UW-Whitewater Warhawks,Home,W,62.0,61.0,1.0
UW-Stout Blue Devils,"Wed, Jan 15",UW-La Crosse Eagles,Home,L,77.0,84.0,-7.0
UW-Stout Blue Devils,"Sat, Jan 18",UW-Stevens Point Pointers,Away,L,83.0,87.0,-4.0
UW-Stout Blue Devils,"Wed, Jan 22",UW-Eau Claire Blugolds,Away,L,53.0,81.0,-28.0
UW-Stout Blue Devils,"Sat, Jan 25",UW-Platteville Pioneers,Home,L,54.0,84.0,-30.0
UW-Stout Blue Devils,"Wed, Jan 29",UW-La Crosse Eagles,Away,L,53.0,90.0,-37.0
UW-Stout Blue Devils,"Wed, Feb 5",UW-Eau Claire Blugolds,Home,L,79.0,80.0,-1.0
UW-Stout Blue Devils,"Sat, Feb 8",UW-Whitewater Warhawks,Away,L,69.0,87.0,-18.0
UW-Stout Blue Devils,"Wed, Feb 12",UW-River Falls Falcons,Home,W,82.0,81.0,1.0
UW-Stout Blue Devils,"Sat, Feb 15",UW-Platteville Pioneers,Away,L,58.0,76.0,-18.0
UW-Stout Blue Devils,"Wed, Feb 19",UW-Stevens Point Pointers,Home,L,57.0,85.0,-28.0
UW-Stout Blue Devils,"Sat, Feb 22",UW-Oshkosh Titans,Away,L,51.0,75.0,-24.0
UW-Oshkosh Titans,"Sat, Nov 9",Saint John's (MN) Johnnies,Away,L,62.0,73.0,-11.0
UW-Oshkosh Titans,"Fri, Nov 15",Calvin Knights,Neutral Court,W,75.0,67.0,8.0
UW-Oshkosh Titans,"Sat, Nov 16",Manchester Spartans,Neutral Court,W,90.0,84.0,6.0
UW-Oshkosh Titans,"Wed, Nov 20",Carroll (WI) Pioneers,Home,W,83.0,64.0,19.0
UW-Oshkosh Titans,"Sat, Nov 23",North Park Vikings,Away,W,87.0,71.0,16.0
UW-Oshkosh Titans,"Tue, Nov 26",Edgewood Eagles,Home,W,72.0,59.0,13.0
UW-Oshkosh Titans,"Tue, Dec 3",Ripon Red Hawks,Away,W,91.0,83.0,8.0
UW-Oshkosh Titans,"Thu, Dec 5",Calvin Knights,Home,W,73.0,69.0,4.0
UW-Oshkosh Titans,"Sat, Dec 21",St. Norbert Green Knights,Away,L,69.0,85.0,-16.0
UW-Oshkosh Titans,"Sun, Dec 29",Keene St. Owls,Home,W,105.0,76.0,29.0
UW-Oshkosh Titans,"Mon, Dec 30",Hamline Pipers,Home,W,74.0,65.0,9.0
UW-Oshkosh Titans,"Sat, Jan 4",UW-Stout Blue Devils,Away,L,57.0,64.0,-7.0
UW-Oshkosh Titans,"Wed, Jan 8",UW-Eau Claire Blugolds,Home,L,56.0,69.0,-13.0
UW-Oshkosh Titans,"Sat, Jan 11",UW-Platteville Pioneers,Away,L,64.0,79.0,-15.0
UW-Oshkosh Titans,"Wed, Jan 15",UW-Whitewater Warhawks,Home,L,56.0,59.0,-3.0
UW-Oshkosh Titans,"Sat, Jan 18",UW-La Crosse Eagles,Away,L,62.0,75.0,-13.0
UW-Oshkosh Titans,"Wed, Jan 22",UW-Stevens Point Pointers,Away,W,60.0,43.0,17.0
UW-Oshkosh Titans,"Sat, Jan 25",UW-River Falls Falcons,Home,W,81.0,68.0,13.0
UW-Oshkosh Titans,"Wed, Jan 29",UW-Platteville Pioneers,Home,L,73.0,86.0,-13.0
UW-Oshkosh Titans,"Wed, Feb 5",UW-Whitewater Warhawks,Away,W,54.0,49.0,5.0
UW-Oshkosh Titans,"Sat, Feb 8",UW-River Falls Falcons,Away,L,68.0,76.0,-8.0
UW-Oshkosh Titans,"Wed, Feb 12",UW-Stevens Point Pointers,Home,L,75.0,76.0,-1.0
UW-Oshkosh Titans,"Sat, Feb 15",UW-La Crosse Eagles,Home,L,69.0,75.0,-6.0
UW-Oshkosh Titans,"Wed, Feb 19",UW-Eau Claire Blugolds,Away,L,49.0,62.0,-13.0
UW-Oshkosh Titans,"Sat, Feb 22",UW-Stout Blue Devils,Home,W,75.0,51.0,24.0
UW-Oshkosh Titans,"Mon, Feb 24",UW-Eau Claire Blugolds,Away,L,56.0,66.0,-10.0
UW-Eau Claire Blugolds,"Sat, Nov 9",Nebraska Wesleyan Prairie Wolves,Home,W,68.0,64.0,4.0
UW-Eau Claire Blugolds,"Sun, Nov 10",Gustavus Adolphus Golden Gusties,Home,L,80.0,86.0,-6.0
UW-Eau Claire Blugolds,"Fri, Nov 15",Marietta Pioneers,Away,L,62.0,64.0,-2.0
UW-Eau Claire Blugolds,"Sat, Nov 16",Maryville (TN) Scots,Neutral Court,L,64.0,68.0,-4.0
UW-Eau Claire Blugolds,"Sat, Nov 23",Bethel (MN) Royals,Home,W,73.0,69.0,4.0
UW-Eau Claire Blugolds,"Tue, Nov 26",St. Olaf Oles,Away,W,66.0,56.0,10.0
UW-Eau Claire Blugolds,"Sat, Nov 30",St. Norbert Green Knights,Away,W,84.0,75.0,9.0
UW-Eau Claire Blugolds,"Wed, Dec 4",Crown (MN) Storm,Away,W,77.0,71.0,6.0
UW-Eau Claire Blugolds,"Sat, Dec 7",Wisconsin-Superior Yellowjackets,Home,W,81.0,75.0,6.0
UW-Eau Claire Blugolds,"Wed, Dec 11",Northwestern-St. Paul Eagles,Away,W,76.0,58.0,18.0
UW-Eau Claire Blugolds,"Mon, Dec 30",Carleton Knights,Home,W,76.0,73.0,3.0
UW-Eau Claire Blugolds,"Sat, Jan 4",UW-La Crosse Eagles,Away,L,55.0,69.0,-14.0
UW-Eau Claire Blugolds,"Wed, Jan 8",UW-Oshkosh Titans,Away,W,69.0,56.0,13.0
UW-Eau Claire Blugolds,"Sat, Jan 11",UW-River Falls Falcons,Home,L,65.0,67.0,-2.0
UW-Eau Claire Blugolds,"Wed, Jan 15",UW-Platteville Pioneers,Away,L,68.0,79.0,-11.0
UW-Eau Claire Blugolds,"Sat, Jan 18",UW-Whitewater Warhawks,Away,W,99.0,69.0,30.0
UW-Eau Claire Blugolds,"Wed, Jan 22",UW-Stout Blue Devils,Home,W,81.0,53.0,28.0
UW-Eau Claire Blugolds,"Sat, Jan 25",UW-Stevens Point Pointers,Home,W,71.0,66.0,5.0
UW-Eau Claire Blugolds,"Wed, Jan 29",UW-River Falls Falcons,Away,W,71.0,58.0,13.0
UW-Eau Claire Blugolds,"Wed, Feb 5",UW-Stout Blue Devils,Away,W,80.0,79.0,1.0
UW-Eau Claire Blugolds,"Sat, Feb 8",UW-La Crosse Eagles,Home,L,55.0,60.0,-5.0
UW-Eau Claire Blugolds,"Wed, Feb 12",UW-Platteville Pioneers,Home,L,50.0,72.0,-22.0
UW-Eau Claire Blugolds,"Sat, Feb 15",UW-Stevens Point Pointers,Away,W,66.0,62.0,4.0
UW-Eau Claire Blugolds,"Wed, Feb 19",UW-Oshkosh Titans,Home,W,62.0,49.0,13.0
UW-Eau Claire Blugolds,"Sat, Feb 22",UW-Whitewater Warhawks,Home,L,65.0,80.0,-15.0
UW-Eau Claire Blugolds,"Mon, Feb 24",UW-Oshkosh Titans,Home,W,66.0,56.0,10.0
UW-Eau Claire Blugolds,"Wed, Feb 26",UW-La Crosse Eagles,Away,L,55.0,69.0,-14.0
UW-Platteville Pioneers,"Fri, Nov 8",Calvin Knights,Neutral Court,W,82.0,81.0,1.0
UW-Platteville Pioneers,"Sat, Nov 9",Illinois Wesleyan Titans,Away,L,66.0,86.0,-20.0
UW-Platteville Pioneers,"Wed, Nov 20",Carthage Firebirds,Home,W,85.0,72.0,13.0
UW-Platteville Pioneers,"Sat, Nov 23",North Central (IL) Cardinals,Home,W,76.0,69.0,7.0
UW-Platteville Pioneers,"Tue, Nov 26",Augustana (IL) Vikings,Home,W,77.0,50.0,27.0
UW-Platteville Pioneers,"Sat, Nov 30",Heidelberg Student Princes,Home,W,87.0,75.0,12.0
UW-Platteville Pioneers,"Sun, Dec 1",Gustavus Adolphus Golden Gusties,Home,W,65.0,52.0,13.0
UW-Platteville Pioneers,"Sat, Dec 7",Hope Flying Dutchmen,Home,W,71.0,64.0,7.0
UW-Platteville Pioneers,"Sat, Dec 14",Central (IA) Dutch,Away,W,87.0,64.0,23.0
UW-Platteville Pioneers,"Sun, Dec 29",Bethany Lutheran Vikings,Neutral Court,W,101.0,61.0,40.0
UW-Platteville Pioneers,"Mon, Dec 30",St. Norbert Green Knights,Away,W,60.0,54.0,6.0
UW-Platteville Pioneers,"Sat, Jan 4",UW-Stevens Point Pointers,Away,W,79.0,64.0,15.0
UW-Platteville Pioneers,"Wed, Jan 8",UW-La Crosse Eagles,Away,W,83.0,75.0,8.0
UW-Platteville Pioneers,"Sat, Jan 11",UW-Oshkosh Titans,Home,W,79.0,64.0,15.0
UW-Platteville Pioneers,"Wed, Jan 15",UW-Eau Claire Blugolds,Home,W,79.0,68.0,11.0
UW-Platteville Pioneers,"Sat, Jan 18",UW-River Falls Falcons,Away,W,75.0,66.0,9.0
UW-Platteville Pioneers,"Wed, Jan 22",UW-Whitewater Warhawks,Home,L,68.0,74.0,-6.0
UW-Platteville Pioneers,"Sat, Jan 25",UW-Stout Blue Devils,Away,W,84.0,54.0,30.0
UW-Platteville Pioneers,"Wed, Jan 29",UW-Oshkosh Titans,Away,W,86.0,73.0,13.0
UW-Platteville Pioneers,"Wed, Feb 5",UW-La Crosse Eagles,Home,W,83.0,73.0,10.0
UW-Platteville Pioneers,"Sat, Feb 8",UW-Stevens Point Pointers,Home,W,78.0,69.0,9.0
UW-Platteville Pioneers,"Wed, Feb 12",UW-Eau Claire Blugolds,Away,W,72.0,50.0,22.0
UW-Platteville Pioneers,"Sat, Feb 15",UW-Stout Blue Devils,Home,W,76.0,58.0,18.0
UW-Platteville Pioneers,"Wed, Feb 19",UW-Whitewater Warhawks,Away,W,78.0,62.0,16.0
UW-Platteville Pioneers,"Sat, Feb 22",UW-River Falls Falcons,Home,W,85.0,44.0,41.0
UW-Platteville Pioneers,"Wed, Feb 26",UW-Stevens Point Pointers,Home,W,83.0,73.0,10.0
UW-La Crosse Eagles,"Sat, Nov 9",Gustavus Adolphus Golden Gusties,Neutral Court,W,81.0,77.0,4.0
UW-La Crosse Eagles,"Sun, Nov 10",Nebraska Wesleyan Prairie Wolves,Neutral Court,L,73.0,82.0,-9.0
UW-La Crosse Eagles,"Sat, Nov 16",North Park Vikings,Home,W,91.0,62.0,29.0
UW-La Crosse Eagles,"Fri, Nov 22",Marietta Pioneers,Neutral Court,W,99.0,75.0,24.0
UW-La Crosse Eagles,"Sat, Nov 23",Johns Hopkins Blue Jays,Neutral Court,W,76.0,59.0,17.0
UW-La Crosse Eagles,"Wed, Nov 27",Saint John's (MN) Johnnies,Away,W,80.0,71.0,9.0
UW-La Crosse Eagles,"Wed, Dec 4",Bethany Lutheran Vikings,Away,W,99.0,97.0,2.0
UW-La Crosse Eagles,"Sat, Dec 7",Calvin Knights,Home,L,57.0,58.0,-1.0
UW-La Crosse Eagles,"Sat, Dec 21",Ripon Red Hawks,Home,W,86.0,74.0,12.0
UW-La Crosse Eagles,"Sun, Dec 29",Hamline Pipers,Neutral Court,W,70.0,63.0,7.0
UW-La Crosse Eagles,"Mon, Dec 30",Keene St. Owls,Neutral Court,W,81.0,66.0,15.0
UW-La Crosse Eagles,"Sat, Jan 4",UW-Eau Claire Blugolds,Home,W,69.0,55.0,14.0
UW-La Crosse Eagles,"Wed, Jan 8",UW-Platteville Pioneers,Home,L,75.0,83.0,-8.0
UW-La Crosse Eagles,"Sat, Jan 11",UW-Stevens Point Pointers,Away,W,84.0,83.0,1.0
UW-La Crosse Eagles,"Wed, Jan 15",UW-Stout Blue Devils,Away,W,84.0,77.0,7.0
UW-La Crosse Eagles,"Sat, Jan 18",UW-Oshkosh Titans,Home,W,75.0,62.0,13.0
UW-La Crosse Eagles,"Wed, Jan 22",UW-River Falls Falcons,Home,W,77.0,56.0,21.0
UW-La Crosse Eagles,"Sat, Jan 25",UW-Whitewater Warhawks,Away,W,80.0,75.0,5.0
UW-La Crosse Eagles,"Wed, Jan 29",UW-Stout Blue Devils,Home,W,90.0,53.0,37.0
UW-La Crosse Eagles,"Wed, Feb 5",UW-Platteville Pioneers,Away,L,73.0,83.0,-10.0
UW-La Crosse Eagles,"Sat, Feb 8",UW-Eau Claire Blugolds,Away,W,60.0,55.0,5.0
UW-La Crosse Eagles,"Wed, Feb 12",UW-Whitewater Warhawks,Home,W,70.0,56.0,14.0
UW-La Crosse Eagles,"Sat, Feb 15",UW-Oshkosh Titans,Away,W,75.0,69.0,6.0
UW-La Crosse Eagles,"Wed, Feb 19",UW-River Falls Falcons,Away,W,86.0,79.0,7.0
UW-La Crosse Eagles,"Sat, Feb 22",UW-Stevens Point Pointers,Home,W,74.0,60.0,14.0
UW-La Crosse Eagles,"Wed, Feb 26",UW-Eau Claire Blugolds,Home,W,69.0,55.0,14.0
