opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report,height_inches,position_group,notes_tags,keys_tags,notes_tags_display,keys_tags_display,MIN,FG%,3PM-A,3P%,FTM-A,FT%,REB,AST,TO,STL,BLK,PTS
Carroll (WI) Pioneers,2025-11-12,#12,Kobe Simpson,G,"6'2""",185 lbs,SR,Starter,"LH but prefers to drive right. (Game #1: 23 points, 3 made 3's)",Locate in transition,True,74,Guard,"{'slasher_driver', 'three_point_shooter'}",{'transition_defense'},"slasher_driver, three_point_shooter",transition_defense,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#10,Eckahelo Simpson,G/F,"6'3""",185 lbs,SR,Starter,"Heavy drive 1st ( Game #1: 24 points, 8 rebounds)",Stay between him & basket..STAY DOWN,True,75,Wing,"{'slasher_driver', 'rebounder'}",{'physical_discipline'},"rebounder, slasher_driver",physical_discipline,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#20,Justin Steinike,G,"6'1""",190 lbs,GR,Starter,Shooter-Mostly catch & shoot 3's,Locate in transition,True,73,Guard,"{'catch_and_shoot', 'three_point_shooter'}",{'transition_defense'},"catch_and_shoot, three_point_shooter",transition_defense,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#41,Jacob Naber,F,"6'8""",230 lbs,JR,Starter,Post scorer and OREBer,NO LEFT SHOULDER!!,True,80,Forward/Post,{'post_scorer'},set(),post_scorer,,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#34,Erik Victorson,G,"6'0""",195 lbs,SR,Starter,Shooter-Mostly catch & shoot 3's,Locate in transition on the wing,True,72,Guard,"{'catch_and_shoot', 'three_point_shooter'}",{'transition_defense'},"catch_and_shoot, three_point_shooter",transition_defense,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#44,Lamar Smith,F,"6'4""",185 lbs,JR,Bench,Back up 5 man,Exceed his effort on glass,True,76,Forward/Post,set(),set(),,,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#15,Evan Bland,G,"6'0""",165 lbs,JR,Bench,Heavy driver 1st,Keep him in front,True,72,Guard,{'slasher_driver'},{'keep_in_front'},slasher_driver,keep_in_front,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#22,Dom Burns,,,,,Bench,,,False,,Unknown,set(),set(),,,,,,,,,,,,,,
Carroll (WI) Pioneers,2025-11-12,#24,Nick Vaneekeren,,,,,Bench,,,False,,Unknown,set(),set(),,,,,,,,,,,,,,
