opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,started,MIN
St. Olaf Oles,2024-11-16,St. Olaf Oles,Jaxon Strinmoen,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0.0,,,False,7.8
St. Olaf Oles,2024-11-16,St. Olaf Oles,Kobe Kirk,19,6,12,1,3,6,8,0,3,1,0,1,0,3,3,50.0,33.3,75.0,True,31.2
St. Olaf Oles,2024-11-16,St. Olaf Oles,Liam Madigan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,False,4.0
St. Olaf Oles,2024-11-16,St. Olaf Oles,Liam Roche,2,1,3,0,1,0,0,0,1,2,0,1,0,1,1,33.3,0.0,,True,13.8
St. Olaf Oles,2024-11-16,St. Olaf Oles,Luther Tostrud,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0.0,0.0,,False,9.8
St. Olaf Oles,2024-11-16,St. Olaf Oles,Rex Lamb,2,0,1,0,1,2,2,0,1,2,1,0,0,1,1,0.0,0.0,100.0,False,10.3
St. Olaf Oles,2024-11-16,UW-Whitewater,Austin Ambrose,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,False,2.6
St. Olaf Oles,2024-11-16,UW-Whitewater,Brock Marino,2,0,1,0,1,2,2,1,0,0,0,0,1,2,1,0.0,0.0,100.0,False,7.7
St. Olaf Oles,2024-11-16,UW-Whitewater,Carter Capstran,19,9,9,0,0,1,2,2,4,1,1,0,4,2,6,100.0,,50.0,True,26.0
St. Olaf Oles,2024-11-16,UW-Whitewater,Collin Madson,15,6,9,2,2,1,2,4,2,1,0,0,0,3,6,66.7,100.0,50.0,True,28.8
St. Olaf Oles,2024-11-16,UW-Whitewater,Isaac Verges,4,2,3,0,0,0,0,0,2,2,0,0,1,2,2,66.7,,,False,16.9
St. Olaf Oles,2024-11-16,UW-Whitewater,JT Hoytink,2,0,2,0,0,2,2,0,3,1,0,0,0,0,3,0.0,,100.0,False,13.6
St. Olaf Oles,2024-11-16,UW-Whitewater,Jake Quast,2,1,3,0,1,0,0,2,0,4,0,0,0,4,2,33.3,0.0,,True,28.5
St. Olaf Oles,2024-11-16,UW-Whitewater,Jameer Barker,16,5,11,2,3,4,6,0,3,1,1,0,1,2,3,45.5,66.7,66.7,True,19.5
St. Olaf Oles,2024-11-16,UW-Whitewater,Joey Berezowitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,1.6
St. Olaf Oles,2024-11-16,UW-Whitewater,Kelton McEwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,1.5
St. Olaf Oles,2024-11-16,UW-Whitewater,Luke Bara,17,7,14,2,7,1,2,0,1,5,2,0,2,2,1,50.0,28.6,50.0,True,31.7
St. Olaf Oles,2024-11-16,UW-Whitewater,Richie Warren,6,3,5,0,0,0,0,1,0,2,1,1,0,3,1,60.0,,,False,19.5
St. Olaf Oles,2024-11-16,St. Olaf Oles,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,False,
