date,opponent,team,location,opponent_url,game_url,video_url,outcome,team_score,opponent_score,point_margin,season,Upcoming
"Tue, Dec 31",Ripon Red Hawks,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/NYQ5dX1lTj2qPTiYSf_8EQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/5xMjYfCXSwqJpBp_XgY3Ww/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb956a%2ffullgamevideo%2fclips,W,81.0,70.0,11.0,2024-25,No
"Sat, Jan 4",UW-River Falls Falcons,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/JhCOrVBFRO2E7-hIjHeICg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/wklLLR6_RnOwyNvVNfEMbQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb956b%2ffullgamevideo%2fclips,W,88.0,69.0,19.0,2024-25,No
"Wed, Jan 8",UW-Stevens Point Pointers,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/OqTWpgCzTV-VyfWtEnIp-g?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/pSgKrFRrRkqkMxvS8x6nSQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb956c%2ffullgamevideo%2fclips,L,67.0,86.0,-19.0,2024-25,No
"Sat, Jan 11",UW-Stout Blue Devils,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/pppg37pRSuWUYj2LabWFxA?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/CGe-k9_7QjWKLN74cdWalQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb956d%2ffullgamevideo%2fclips,L,61.0,62.0,-1.0,2024-25,No
"Wed, Jan 15",UW-Oshkosh Titans,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/zQArFlh9RwaiMvPUzcbvvg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/yD6FWrBnQraeKPgpqJIq_A/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb956e%2ffullgamevideo%2fclips,W,59.0,56.0,3.0,2024-25,No
"Sat, Jan 18",UW-Eau Claire Blugolds,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/u9KC56v1Tsyl1DIt-x3UXQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/qdT9lDbqRgidwSfFpdlf7A/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb956f%2ffullgamevideo%2fclips,L,69.0,99.0,-30.0,2024-25,No
"Wed, Jan 22",UW-Platteville Pioneers,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/D99vwO1cQ_2BrNCr1V1A_Q?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/fD8f46DxRJKLrK7c1vDWNw/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9570%2ffullgamevideo%2fclips,W,74.0,68.0,6.0,2024-25,No
"Sat, Jan 25",UW-La Crosse Eagles,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/UrY3DOoLQbe_PnM_sm4HJA?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/e5H1cTzrR5qkIqcv4uWMYw/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9571%2ffullgamevideo%2fclips,L,75.0,80.0,-5.0,2024-25,No
"Wed, Jan 29",UW-Stevens Point Pointers,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/OqTWpgCzTV-VyfWtEnIp-g?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/ck4l0IBqSu2vW_7UId5lPg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9572%2ffullgamevideo%2fclips,L,52.0,83.0,-31.0,2024-25,No
"Wed, Feb 5",UW-Oshkosh Titans,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/zQArFlh9RwaiMvPUzcbvvg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/IeK41NkZTeq--c7uaJN5YA/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9573%2ffullgamevideo%2fclips,L,49.0,54.0,-5.0,2024-25,No
