opponent,game_date,uww_biggest_run,uww_run_uww_lineup,uww_run_opp_lineup,opponent_biggest_run,opp_run_uww_lineup,opp_run_opp_lineup,uww_largest_lead,uww_lead_uww_lineup,uww_lead_opp_lineup,opponent_largest_lead,opp_lead_uww_lineup,opp_lead_opp_lineup
UW-Oshkosh Titans,2025-01-15,8,"Carter Capstran, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Carter Thomas, Joey LaChapell, Jonah Rindfleisch, Max Tutas, Reed Seckar / Carter Thomas, Joey LaChapell, Jonah Rindfleisch, Reed Seckar, Will Murray",9,"Brock Marino, Collin Madson, Darius Chestnut, JT Hoytink, Joey Berezowitz / Brock Marino, Collin Madson, Darius Chestnut, Joey Berezowitz, Luke Bara","Carter Thomas, Joey LaChapell, Jonah Rindfleisch, Max Tutas, Reed Seckar",11,"Carter Capstran, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Brandon Beck, Joey LaChapell, Max Tutas, Reed Seckar, Tristan Johanknecht",6,"Carter Capstran, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Carter Thomas, Joey LaChapell, Jonah Rindfleisch, Reed Seckar, Will Murray"
UW-Oshkosh Titans,2025-02-05,8,"Austin Ambrose, Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren / Austin Ambrose, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren / Austin Ambrose, Jake Quast, Joey Berezowitz, Luke Bara, Richie Warren","Brandon Beck, Carter Thomas, Jonah Rindfleisch, Matt Imig, Nate Nazos / Carter Thomas, Jonah Rindfleisch, Matt Imig, Max Tutas, Nate Nazos / Carter Thomas, Joey LaChapell, Joseph Adamson, Max Tutas, Nate Nazos / Carter Thomas, Joey LaChapell, Joseph Adamson, Max Tutas, Reed Seckar / Brandon Beck, Carter Thomas, Joey LaChapell, Joseph Adamson, Reed Seckar",14,"Carter Capstran, Collin Madson, Isaac Verges, Jake Quast, Luke Bara / Carter Capstran, Collin Madson, JT Hoytink, Jake Quast, Luke Bara / Carter Capstran, Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren","Brandon Beck, Carter Thomas, Joey LaChapell, Jonah Rindfleisch, Reed Seckar / Brandon Beck, Carter Thomas, Joey LaChapell, Matt Imig, Tristan Johanknecht",2,"Carter Capstran, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Brandon Beck, Carter Thomas, Joey LaChapell, Jonah Rindfleisch, Reed Seckar",12,"Carter Capstran, Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren","Brandon Beck, Carter Thomas, Joey LaChapell, Matt Imig, Tristan Johanknecht"
UW-Platteville Pioneers,2025-01-22,12,"Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Ben Probst, Brady Olson, Joey Fuhremann, Logan Pearson, Max Love / Aiden Wieczorek, Brady Olson, Bristol Lewis, Max Love, Miles Hettinger",8,"Brock Marino, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Aiden Wieczorek, Brady Olson, Bristol Lewis, Logan Pearson, Miles Hettinger / Aiden Wieczorek, Ben Probst, Bristol Lewis, Joey Fuhremann, Max Love",17,"Carter Capstran, Isaac Verges, Jake Quast, Jameer Barker, Joey Berezowitz","Ben Probst, Brady Olson, Bristol Lewis, Joey Fuhremann, Logan Pearson",4,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Aiden Wieczorek, Brady Olson, Bristol Lewis, Max Love, Miles Hettinger"
UW-Platteville Pioneers,2025-02-19,11,"Carter Capstran, Collin Madson, Isaac Verges, Luke Bara, Richie Warren / Carter Capstran, Collin Madson, JT Hoytink, Luke Bara, Richie Warren / Carter Capstran, JT Hoytink, Jake Quast, Luke Bara, Richie Warren / Carter Capstran, JT Hoytink, Joey Berezowitz, Luke Bara, Richie Warren","Aiden Wieczorek, Bristol Lewis, Logan Pearson, Max Love, Miles Hettinger / Ben Probst, Brady Olson, Joey Fuhremann, Logan Pearson, Lucas Rameker / Ben Probst, Brady Olson, Joey Fuhremann, Lucas Rameker, Max Love / Aiden Wieczorek, Brady Olson, Bristol Lewis, Joey Fuhremann, Max Love / Ben Probst, Brady Olson, Joey Fuhremann, Logan Pearson, Max Love",7,"Brock Marino, Isaac Verges, JT Hoytink, Luke Bara, Richie Warren / Brock Marino, Darius Chestnut, Isaac Verges, Jake Quast, Joey Berezowitz","Aiden Wieczorek, Ben Probst, Brady Olson, Bristol Lewis, Miles Hettinger / Aiden Wieczorek, Bristol Lewis, Logan Pearson, Max Love, Miles Hettinger",4,"Carter Capstran, Darius Chestnut, Jake Quast, Joey Berezowitz, Luke Bara","Aiden Wieczorek, Brady Olson, Bristol Lewis, Max Love, Miles Hettinger",16,"Carter Capstran, Collin Madson, Jake Quast, Luke Bara, Richie Warren","Aiden Wieczorek, Brady Olson, Bristol Lewis, Joey Fuhremann, Logan Pearson"
UW-River Falls Falcons,2025-01-04,11,"Austin Ambrose, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren","Dylan Parker, Gavin Ralph, Jack Leifker, Jacob Butler, Jeremy Wanguhu",13,"Austin Ambrose, Collin Madson, Darius Chestnut, JT Hoytink, Jake Quast / Carter Capstran, Collin Madson, Darius Chestnut, Jake Quast, Jameer Barker / Carter Capstran, Collin Madson, Darius Chestnut, Isaac Verges, Jameer Barker / Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara / Carter Capstran, Isaac Verges, Jameer Barker, Luke Bara, Richie Warren","Drew Adams, Dylan Parker, Mason Anderson, Micah Thompson, Zac Johnson / Drew Adams, Gavin Ralph, Micah Thompson, Regan Merritt, Zac Johnson / Gavin Ralph, Jack Leifker, Micah Thompson, Regan Merritt, Zac Johnson",21,"Austin Ambrose, Collin Madson, Darius Chestnut, JT Hoytink, Jake Quast","Drew Adams, Dylan Parker, Mason Anderson, Micah Thompson, Zac Johnson",2,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Drew Adams, Gavin Ralph, Jack Leifker, Regan Merritt, Zac Johnson"
UW-River Falls Falcons,2025-02-15,6,"Brock Marino, Darius Chestnut, Isaac Verges, Jake Quast, Joey Berezowitz / Brock Marino, Carter Capstran, Collin Madson, Isaac Verges, Joey Berezowitz","Gavin Ralph, Jack Leifker, Micah Thompson, Regan Merritt, Zac Johnson / Gavin Ralph, Jack Leifker, Jacob Butler, Regan Merritt, Zac Johnson",8,"Carter Capstran, Isaac Verges, Joey Berezowitz, Luke Bara, Richie Warren / Carter Capstran, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","Dylan Parker, Jack Leifker, Micah Thompson, Regan Merritt, Sean Sullivan / Drew Adams, Dylan Parker, Jack Leifker, Regan Merritt, Sean Sullivan / Drew Adams, Jack Leifker, Jeremy Wanguhu, Regan Merritt, Sean Sullivan",10,"Carter Capstran, Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara","Bennett Wright, Drew Adams, Mateo Renta, Riley Ashburn, Sean Sullivan",11,"Carter Capstran, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","Drew Adams, Jack Leifker, Jeremy Wanguhu, Regan Merritt, Sean Sullivan"
UW-Stevens Point Pointers,2025-01-08,11,"Collin Madson, JT Hoytink, Joey Berezowitz, Luke Bara, Richie Warren","Carter Combs, Darrius Bolden, Josiah Butler, Malik Abdul-Wahid, Seth Miron / Darrius Bolden, Josiah Butler, Logan Baumgartner, Malik Abdul-Wahid, Seth Miron",12,"Carter Capstran, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren / Carter Capstran, Collin Madson, Jameer Barker, Joey Berezowitz, Luke Bara / Carter Capstran, Collin Madson, Jameer Barker, Joey Berezowitz, Kelton McEwen","Cal Krohn, Carter Combs, Josiah Butler, Malik Abdul-Wahid, Seth Miron",2,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Cal Krohn, Darrius Bolden, Josiah Butler, Malik Abdul-Wahid, Seth Miron",21,"Carter Capstran, Collin Madson, Jameer Barker, Joey Berezowitz, Kelton McEwen","Cal Krohn, Carter Combs, Josiah Butler, Malik Abdul-Wahid, Seth Miron"
UW-Stevens Point Pointers,2025-01-29,7,"Brock Marino, Darius Chestnut, Isaac Verges, Joey Berezowitz, Kelton McEwen / Brock Marino, Darius Chestnut, Isaac Verges, JT Hoytink, Kelton McEwen / Brock Marino, Darius Chestnut, JT Hoytink, Kelton McEwen, Tristian Lynch","Blake Kortz, Carter Combs, Ethan Hoelzel, Grant Manz, Seth Miron / Blake Kortz, Ethan Hoelzel, Grant Manz, James Jacobs, Seth Miron / Blake Kortz, Ethan Hoelzel, Jack Hutchinson, James Jacobs, Seth Miron",14,"Carter Capstran, JT Hoytink, Jake Quast, Luke Bara, Richie Warren / Brock Marino, Collin Madson, JT Hoytink, Luke Bara, Richie Warren / Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Cal Krohn, Carter Combs, Darrius Bolden, Grant Manz, Logan Baumgartner / Carter Combs, Darrius Bolden, Grant Manz, Logan Baumgartner, Seth Miron / Carter Combs, Josiah Butler, Logan Baumgartner, Seth Miron, Tyshawn Teague-Johnson / Cal Krohn, Carter Combs, Josiah Butler, Seth Miron, Tyshawn Teague-Johnson / Cal Krohn, Josiah Butler, Logan Baumgartner, Seth Miron, Tyshawn Teague-Johnson",3,"Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Cal Krohn, Josiah Butler, Malik Abdul-Wahid, Seth Miron, Tyshawn Teague-Johnson",33,"Darius Chestnut, Isaac Verges, Joey Berezowitz, Kelton McEwen, Richie Warren","Darrius Bolden, Ethan Hoelzel, Josiah Butler, Malik Abdul-Wahid, Tyshawn Teague-Johnson"
UW-Stevens Point Pointers,2025-02-24,12,"Carter Capstran, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","Cal Krohn, Darrius Bolden, Josiah Butler, Malik Abdul-Wahid, Seth Miron / Cal Krohn, Carter Combs, Darrius Bolden, Malik Abdul-Wahid, Seth Miron / Cal Krohn, Carter Combs, Josiah Butler, Malik Abdul-Wahid, Seth Miron",12,"Carter Capstran, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","Cal Krohn, Carter Combs, Josiah Butler, Malik Abdul-Wahid, Seth Miron / Cal Krohn, Carter Combs, Darrius Bolden, Josiah Butler, Malik Abdul-Wahid",3,"Carter Capstran, Collin Madson, Isaac Verges, Luke Bara, Richie Warren","Cal Krohn, Darrius Bolden, Josiah Butler, Malik Abdul-Wahid, Seth Miron",26,"Carter Capstran, Darius Chestnut, Jake Quast, Kelton McEwen, Richie Warren","Blake Kortz, Cal Krohn, Carter Combs, Josiah Butler, Malik Abdul-Wahid"
UW-Stout Blue Devils,2025-01-11,7,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Joey Berezowitz / Brock Marino, Collin Madson, Darius Chestnut, JT Hoytink, Joey Berezowitz","Brenden Weis, Collin Vick, Jackson Wilhelmson, Mason Stoik, Nolan Stauffacher / AJ Uttech, Brenden Weis, Domanyck Schwarzenberger, Jacob Walczak, Nolan Stauffacher",8,"Brock Marino, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Brenden Weis, Collin Vick, Jacob Walczak, Justin Nelson, Mason Stoik",6,"Austin Ambrose, Collin Madson, Jameer Barker, Joey Berezowitz, Richie Warren","AJ Uttech, Colin Hudson, Domanyck Schwarzenberger, Justin Nelson, Mason Stoik",7,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Joey Berezowitz","Brenden Weis, Collin Vick, Jackson Wilhelmson, Mason Stoik, Nolan Stauffacher"
UW-Stout Blue Devils,2025-02-08,11,"Carter Capstran, Collin Madson, Isaac Verges, Luke Bara, Richie Warren / Carter Capstran, Darius Chestnut, JT Hoytink, Joey Berezowitz, Richie Warren / Brock Marino, Darius Chestnut, JT Hoytink, Joey Berezowitz, Richie Warren","Colin Hudson, Collin Vick, Jacob Walczak, Justin Nelson, Mason Stoik / AJ Uttech, Colin Hudson, Domanyck Schwarzenberger, Justin Nelson, Mason Stoik",7,"Carter Capstran, Collin Madson, JT Hoytink, Luke Bara, Richie Warren / Carter Capstran, Darius Chestnut, JT Hoytink, Luke Bara, Richie Warren","Brenden Weis, Collin Vick, Jackson Wilhelmson, Jacob Walczak, Justin Nelson / Brenden Weis, Collin Vick, Jacob Walczak, Justin Nelson, Mason Stoik",26,"Carter Capstran, Collin Madson, JT Hoytink, Luke Bara, Richie Warren","Brenden Weis, Collin Vick, Jackson Wilhelmson, Jacob Walczak, Justin Nelson",2,"Carter Capstran, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","AJ Uttech, Brenden Weis, Cade LaFavor, Collin Vick, Jacob Walczak"
Virginia Wesleyan Marlins,2024-12-15,8,"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara / Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren","Jeremiah Boateng, Khai Seargeant, Omari Deveaux, Paul Anderson, T.J. East / Amari Moorer, Jeremiah Boateng, Khai Seargeant, Omari Deveaux, T.J. East",9,"Carter Capstran, Isaac Verges, Jake Quast, Joey Berezowitz, Richie Warren / Carter Capstran, Isaac Verges, Jake Quast, Jameer Barker, Richie Warren / Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Richie Warren / Carter Capstran, Collin Madson, Isaac Verges, Jake Quast, Jameer Barker","Amari Moorer, Amarion Wilson, Khai Seargeant, Omari Deveaux, Paul Anderson / Amari Moorer, Amarion Wilson, Elijah Gardner, Khai Seargeant, Paul Anderson / Amari Moorer, Amarion Wilson, Demeir Pollard, Elijah Gardner, Paul Anderson / Amari Moorer, Amarion Wilson, Demeir Pollard, Omari Deveaux, Paul Anderson",5,"Carter Capstran, Isaac Verges, Jake Quast, Joey Berezowitz, Richie Warren","Amari Moorer, Amarion Wilson, Khai Seargeant, Omari Deveaux, Paul Anderson",5,"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara","Jeremiah Boateng, Khai Seargeant, Omari Deveaux, Paul Anderson, T.J. East"
