opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report
Carthage Firebirds,2024-11-30,#12,Tanner Lamb,G,"6'3""",200 lbs,SR,Bench,Shooter,Great closeouts,True
Averett Cougars,2024-12-14,#2,Jamison Graves,G,"5'11""",160 lbs,SO,Starter,Driver/Shooter (52% 3 pt),Anticipate RHD,True
Averett Cougars,2024-12-14,#5,Clay Hodges,G,"5'10""",150 lbs,SR,Starter,Main PG,High hand on closeouts,True
Averett Cougars,2024-12-14,#4,Mason Mitchell,G/F,"6'6""",180 lbs,FR,Starter,Shooter/Driver,Boxout!!!,True
Averett Cougars,2024-12-14,#24,Zach Skogen,F,"6'6""",190 lbs,FR,Starter,Shoot 1st (pick & pop),Focus on help off ball,True
Averett Cougars,2024-12-14,#12,Jason Sellars II,F,"6'6""",203 lbs,GR,Starter,Plays the 5 (non-shooter),NO RS/LH,True
Averett Cougars,2024-12-14,#10,Bryce Shaw,G,"6'3""",162 lbs,SR,Bench,Driver,Wall up - Force him to finish OVER you,True
Averett Cougars,2024-12-14,#3,Jackson Sellars,G,"6'5""",195 lbs,FR,Bench,Driver (will attack L or R),Anticipate quick 1st step,True
Averett Cougars,2024-12-14,#30,Davion Bowens,F,"6'5""",190 lbs,JR,Bench,Rebounds hard,Wall up on finishes & BOX OUT!!!,True
Virginia Wesleyan Marlins,2024-12-15,#3,Omari DeVeaux,G,"6'2""",170 lbs,SR,Starter,LH score 1st PG.,No C&S 3's!!!,True
Virginia Wesleyan Marlins,2024-12-15,#4,Khai Seargeant,G,"5'11""",180 lbs,JR,Starter,Driver/Shooter,Don't Reach!,True
Virginia Wesleyan Marlins,2024-12-15,#2,Paul Anderson,G,"6'3""",,SO,Starter,Shooter 1st,No C&S 3's,True
Virginia Wesleyan Marlins,2024-12-15,#15,Amari Moorer,F,"6'6""",205 lbs,JR,Starter,Driver (will also post),Anticipate RH finish,True
Virginia Wesleyan Marlins,2024-12-15,#20,Waylo Wilson,C,"6'6""",190 lbs,SR,Starter,Scores in post & OREBs,Limit post touches,True
Virginia Wesleyan Marlins,2024-12-15,#11,Demeir Pollard,G,"6'3""",,FR,Bench,SHOOTER!!-Loves transition 3's,Locate in transition,True
Virginia Wesleyan Marlins,2024-12-15,#0,Elijah Gardner,PG,"5'11""",,SO,Bench,Shooter!,Strong Closeouts,True
Simpson Storm,2024-12-21,#23,Cam Henderson,G,"5'10""",,FR,Starter,LH PG (Prefers to drive Left),Anticipate LH drive,True
Simpson Storm,2024-12-21,#21,Bo Huston,G,"5'10""",160 lbs,JR,Starter,LH Shooter,No catch & shoot 3's!!!,True
Simpson Storm,2024-12-21,#35,Nathaniel Winter,G,"6'4""",,SO,Starter,Shooter/Driver,Stay down on finishes,True
Simpson Storm,2024-12-21,#15,Austin Murrow,F,"6'5""",185 lbs,SR,Starter,Shoot 1st,Be a Helper,True
Simpson Storm,2024-12-21,#43,Matt Schubert,F,"6'8""",,SR,Starter,Post (all scoring in paint),Be a Helper,True
Simpson Storm,2024-12-21,#33,Caden Rehmeier,F,"6'6""",215 lbs,SR,Bench,Most talented scorer,Locate in transition,True
Simpson Storm,2024-12-21,#55,Marcus Haupert,F,"6'5""",,JR,Bench,All scoring in post,Sit on LS/RH!!!,True
Simpson Storm,2024-12-21,#13,Levi Gurwell,G,"6'0""",145 lbs,JR,Bench,Quick guard,Stay in front/make him finish OVER you,True
Simpson Storm,2024-12-21,#45,Colton Rasmussen,G,"6'4""",,FR,Bench,Shoot 1st wing,Strong closeouts,True
Ripon Red Hawks,2024-12-31,#22,Dominic Galati,G,"5'10""",,SR,Starter,Shooter!,Stay down v. shot fakes,True
Ripon Red Hawks,2024-12-31,#23,Cade Tackmier,G,"6'4""",,SR,Starter,Talented scorer will force shots,Heavy gap help!,True
Ripon Red Hawks,2024-12-31,#13,CJ Brown,G,"6'3""",,JR,Starter,LH Driver/shooter,Anticipate LHD,True
Ripon Red Hawks,2024-12-31,#34,Luke Meinholz,G/F,"6'4""",,SR,Starter,Physical driver with quick 1st step,Heavy help in gap,True
Ripon Red Hawks,2024-12-31,#12,Kolby Williams,F,"6'7""",,JR,Starter,Prefers LS/RH finish,NLS/RH in post,True
Ripon Red Hawks,2024-12-31,#3,Seth Bunders,G,"6'0""",140 lbs,SO,Bench,Shoot 1st - Quick Release,No C&S 3's,True
Ripon Red Hawks,2024-12-31,#4,Jarton Davis,G,"6'1""",,SO,Bench,Shoot 1st,No C&S 3's,True
Ripon Red Hawks,2024-12-31,#32,Cameron Ford,F,"6'6""",,SR,Bench,Role player - Non-shooter,Be a Helper,True
Hope Flying Dutchmen,2024-12-06,#0,Brady Miller,G,"6'3""",165 lbs,FR,Starter,Capable shooter & driver,Anticipate drive left/RH Finish,True
Hope Flying Dutchmen,2024-12-06,#10,Justice Mims,G,"6'2""",190 lbs,JR,Starter,Quick 1st step,No wing back cuts,True
Hope Flying Dutchmen,2024-12-06,#2,Eli Schoonveld,F,"6'3""",195 lbs,SR,Starter,Role player/defender,"""Red Hot"" off him when he's in",True
Hope Flying Dutchmen,2024-12-06,#24,Parker Hovey,F,"6'5""",215 lbs,SO,Starter,Good with either hand in post,Anticipate spin back on drives & post ups,True
Hope Flying Dutchmen,2024-12-06,#33,Gabe Quillan,C,"6'9""",225 lbs,SR,Starter,Efficient post scorer (prefers LS/RH),Extend catches & limit touches!!!,True
Hope Flying Dutchmen,2024-12-06,#11,Josh Decker,G,"6'3""",190 lbs,SR,Bench,Shooter-Mainly C&S 3's,Closeout!!!,True
Hope Flying Dutchmen,2024-12-06,#4,Sam Carlson,G,"6'4""",185 lbs,SR,Bench,Shoot 1st,Be a helper,True
Hope Flying Dutchmen,2024-12-06,#44,Ben Wagar,F,"6'7""",215 lbs,SR,Bench,,,True
UW-Stout Blue Devils,2025-01-11,#12,Collin Vick,G,"6'1""",185 lbs,SO,Starter,Pass 1st PG (Non-shooter),BOX OUT!!!,True
UW-Stout Blue Devils,2025-01-11,#1,AJ Uttech,G,"6'2""",195 lbs,FR,Starter,"Driver, can shoot",Anticipate RH Drive,True
UW-Stout Blue Devils,2025-01-11,#20,Jacob Walczak,G,"6'5""",195 lbs,SR,Starter,Shooter/Driver,NO 3's!!!,True
UW-Stout Blue Devils,2025-01-11,#23,Brenden Weis,G,"6'5""",195 lbs,SR,Starter,Driver/Shooter,Anticipate Jab L + Drive R,True
UW-Stout Blue Devils,2025-01-11,#33,Cade LaFavor,C,"6'7""",210 lbs,JR,Starter,5 Man,Big help off the ball (Non shooter + Rarely drives),True
UW-Stout Blue Devils,2025-01-11,#5,Colin Hudson,G/F,"6'9""",205 lbs,SO,Bench,Shooter/Driver,Strong closeouts on catch,True
UW-Stout Blue Devils,2025-01-11,#24,Mason Stoik,G,"6'4""",180 lbs,SO,Bench,Shooter/Driver,No C & S 3's,True
UW-Stout Blue Devils,2025-01-11,#4,Jackson Wilhelmson,G,"6'4""",185 lbs,SO,Bench,Shooter (75/96 FGAs from 3),Locate in Transition!!!,True
UW-Stout Blue Devils,2025-01-11,#30,Nolan Stauffacher,F,"6'5""",215 lbs,SO,Bench,Rebounds Hard!,BOX OUT!,True
UW-Stout Blue Devils,2025-01-11,#32,Justin Nelson,F,"6'8""",195 lbs,JR,Bench,Physical Post,Extend Post Catches,True
UW-Oshkosh Titans,2025-01-15,#2,Joey LaChapell,G,"6'0""",175 lbs,FR,Starter,Shooter/Driver,Lock & Trail v. all screens,True
UW-Oshkosh Titans,2025-01-15,#22,Reed Seckar,G,"6'0""",165 lbs,JR,Starter,Shooter/Driver (Deep Range),No C & S 3's!!!,True
UW-Oshkosh Titans,2025-01-15,#21,Carter Thomas,G,"6'5""",190 lbs,JR,Starter,Shooter/Driver,Great Closeouts!,True
UW-Oshkosh Titans,2025-01-15,#1,Will Murray,F,"6'7""",215 lbs,FR,Starter,LS/RH in post,Shade LS/RH,True
UW-Oshkosh Titans,2025-01-15,#12,Jonah Rindfleisch,F,"6'8""",215 lbs,SR,Starter,Prefers LS/RH in post.,Shade LS/RH,True
UW-Oshkosh Titans,2025-01-15,#0,Brandon Beck,F,"6'7""",195 lbs,FR,Bench,Shooter/Driver (will also post),No rhythm 3's,True
UW-Oshkosh Titans,2025-01-15,#24,Max Tutas,G,"6'2""",200 lbs,SO,Bench,LH Driver,Shade LH Drive,True
