source_label,source_url,position,clip_game,clip_date,team,player,result,description,duration_s,rules_situation,rules_details,vision_defense,vision_press,vision_formation,vision_answers,suggested_title,suggested_confidence,vision_model,frames_captured,error,test_run,tagged_at
2026-01-03 UW-Oshkosh Titans,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68deda8125423a1fd110a58b%2ffullgamevideo%2fclips,1,UWOshkosh@UWWhitewater,"Jan 2, 2026",WOS,Carter Thomas,Turnover,21 Carter Thomas > No Play Type > Turnover,22.0,,,,,,,,nothing to suggest,moondream,5 (from disk),HTTPError: HTTP Error 500: Internal Server Error,True,2026-09-25T21:30:46
2026-01-03 UW-Oshkosh Titans,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68deda8125423a1fd110a58b%2ffullgamevideo%2fclips,2,UWOshkosh@UWWhitewater,"Jan 2, 2026",WWW,Collin Madson,Non Shooting Foul,15 Collin Madson > Non Possession > Non Shooting Foul,29.0,,,,,,,,nothing to suggest,moondream,5 (from disk),HTTPError: HTTP Error 500: Internal Server Error,True,2026-09-25T21:31:06
2026-01-03 UW-Oshkosh Titans,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68deda8125423a1fd110a58b%2ffullgamevideo%2fclips,3,UWOshkosh@UWWhitewater,"Jan 2, 2026",WWW,Richie Warren,Make 2 Pts,24 Richie Warren > Cut > Basket > Make 2 Pts,10.0,,cut,,,,,(cut):,rules only,moondream,5 (from disk),HTTPError: HTTP Error 500: Internal Server Error,True,2026-09-25T21:31:18
2026-01-03 UW-Oshkosh Titans,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68deda8125423a1fd110a58b%2ffullgamevideo%2fclips,4,UWOshkosh@UWWhitewater,"Jan 2, 2026",WOS,Brandon Beck,Make 3 Pts,0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,16.0,,,,,,,,nothing to suggest,moondream,5 (from disk),HTTPError: HTTP Error 500: Internal Server Error,True,2026-09-25T21:31:36
2026-01-03 UW-Oshkosh Titans,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68deda8125423a1fd110a58b%2ffullgamevideo%2fclips,5,UWOshkosh@UWWhitewater,"Jan 2, 2026",WWW,Luke Bara,Foul,24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul,47.0,,"bs,reject",,,,,"(bs,reject):",rules only,moondream,5 (from disk),HTTPError: HTTP Error 500: Internal Server Error,True,2026-09-25T21:31:44
