#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
111,,WWW@WST - 02/06/2026 QTR: 2 CLK: 19:40,,Thru Action - Strong ,,,Make 2 Pts,00:23.6,N/A,N/A,59:32.6,59:56.2,Wisconsin-(Whitewater) Warhawks,WWW@WST,2/7/2026,2,19:40,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Up and Under > Make 2 Pts
112,,WPL@WWW - 02/10/2026 QTR: 1 CLK: 13:21,,Thru Action - Flex- Post up for Collin ,,,Make 2 Pts,00:13.1,N/A,N/A,40:27.3,40:40.4,Wisconsin-(Whitewater) Warhawks,WPL@WWW,2/11/2026,1,13:21,Collin Madson,,,,15 Collin Madson > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts
113,,WWW@WAS - 03/06/2026 QTR: 2 CLK: 14:50,,Thru Action - Split - 5 Keeps ,,,Make 2 Pts,00:15.3,N/A,N/A,06:51.5,07:06.8,Wisconsin-(Whitewater) Warhawks,WWW@WAS,3/7/2026,2,14:50,Richie Warren,,,,24 Richie Warren > ISO > Top > Drives Left > To Basket > Make 2 Pts
114,,WWW@WEC - 02/13/2026 QTR: 2 CLK: 19:50,,Thru Action - Push ,,,Make 2 Pts,00:17.3,N/A,N/A,07:18.5,07:35.8,Wisconsin-(Whitewater) Warhawks,WWW@WEC,2/14/2026,2,19:50,Richie Warren,,,,24 Richie Warren > Cut > Screen > Make 2 Pts
115,,WWW@WAS - 03/06/2026 QTR: 1 CLK: 03:35,,Twister - Twist - Iso Post Up ,,,Make 2 Pts,00:15.8,N/A,N/A,36:15.4,36:31.3,Wisconsin-(Whitewater) Warhawks,WWW@WAS,3/7/2026,1,3:35,Collin Madson,,,,15 Collin Madson > Spot-Up > Drives Left > To Basket > Make 2 Pts
116,,WWW@WAS - 03/06/2026 QTR: 1 CLK: 15:20,,Transition Empty Drag Ballscreen ,,,Make 2 Pts,00:17.0,N/A,N/A,16:38.6,16:55.6,Wisconsin-(Whitewater) Warhawks,WWW@WAS,3/7/2026,1,15:20,Brock Marino,,,,32 Luke Bara > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Make 2 Pts
117,,WSP@WWW - 01/06/2026 QTR: 1 CLK: 17:38,,Transition Drag - Pop vs drop coverage,,,Make 3 Pts,00:15.3,N/A,N/A,27:10.9,27:26.1,Wisconsin-(Whitewater) Warhawks,WSP@WWW,1/7/2026,1,17:38,Brock Marino,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
118,,WWW@AC - 12/19/2025 QTR: 1 CLK: 06:52,,Transition Drag- Under = Shot or Rescreen,,,Make 3 Pts,00:13.8,N/A,N/A,27:10.3,27:24.1,Wisconsin-(Whitewater) Warhawks,WWW@AC,12/20/2025,1,6:52,Joey Berezowitz,,,,22 Joey Berezowitz > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
119,,WLC@WWW - 02/27/2026 QTR: 2 CLK: 16:42,,Over Action- Pin to Flare - Throw and Chase - Roll/Rise,,,Make 2 Pts,00:18.0,N/A,N/A,17:25.4,17:43.4,Wisconsin-(Whitewater) Warhawks,WLC@WWW,2/28/2026,2,16:42,Luke Bara,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
120,,WLC@WWW - 02/27/2026 QTR: 2 CLK: 09:07,,Over Action - Cheetah - zoom ,,,Make 2 Pts,00:17.7,N/A,N/A,34:01.5,34:19.2,Wisconsin-(Whitewater) Warhawks,WLC@WWW,2/28/2026,2,9:07,Luke Bara,,,,32 Luke Bara > ISO > Right > Drives Left > To Basket > Make 2 Pts
121,,WRF@WWW - 02/20/2026 QTR: 1 CLK: 00:02,,52 - Ram Screen- 5-2 BS - Roll/Rise,,,Make 2 Pts,00:14.0,N/A,N/A,10:14.8,10:28.8,Wisconsin-(Whitewater) Warhawks,WRF@WWW,2/21/2026,1,0:02,Luke Bara,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
122,,WRF@WWW - 02/20/2026 QTR: 2 CLK: 06:31,,53 - Ram Screen - 5-3 BS - Roll/Rise,,,Make 2 Pts,00:29.5,N/A,N/A,52:49.2,53:18.7,Wisconsin-(Whitewater) Warhawks,WRF@WWW,2/21/2026,2,6:31,Collin Madson,,,,15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
123,,WWW@WST - 02/06/2026 QTR: 2 CLK: 14:16,,50 Circle - 4 and 5 Switch Spots for 40 Circle,,,Make 2 Pts,00:17.7,N/A,N/A,11:00.3,11:18.0,Wisconsin-(Whitewater) Warhawks,WWW@WST,2/7/2026,2,14:16,Brock Marino,,,,21 Brock Marino > Cut > Screen > Make 2 Pts
