#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
114,Ok St-DHO RS-DS-Pat Miller,GUS@AU - 11/06/2025 QTR: 2 CLK: 08:47,,,,,Turnover,0:26.5,N/A,N/A,1:51:10.60,1:51:37.12,Aurora University,GUS@AU,11/7/2025,2,8:47,Robert Hutson,,,,12 Robert Hutson > Spot-Up > Drives Left > To Basket > Turnover
115,Blob-Box-curl,GUS@AU - 11/06/2025 QTR: 2 CLK: 08:15,,,,,Foul,0:11.5,N/A,N/A,1:54:05.93,1:54:17.40,Aurora University,GUS@AU,11/7/2025,2,8:15,Devon Richardson,,,,22 Devon Richardson > Post-Up > Right Block > Foul
116,ATO- Slob-DS-Flair- RIC,GUS@AU - 11/06/2025 QTR: 2 CLK: 02:21,,,,,Miss 2 Pts,0:21.8,N/A,N/A,2:13:34.91,2:13:56.73,Aurora University,GUS@AU,11/7/2025,2,2:21,Juan Madrigal,,,,2 Juan Madrigal > Hand Off > From Dribble > Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
117,Hi Lo- DH- DS- STS,GUS@AU - 11/06/2025 QTR: 2,,,,,No Violation,0:23.4,N/A,N/A,2:14:53.59,2:15:16.97,Aurora University,GUS@AU,11/7/2025,2,,Gevon Grant,,,,24 Gevon Grant > Non Possession > No Violation
118,blob-box-curl,GUS@AU - 11/06/2025 QTR: 2,,,,,No Violation,0:08.5,N/A,N/A,2:15:25.72,2:15:34.19,Aurora University,GUS@AU,11/7/2025,2,,Devon Richardson,,,,22 Devon Richardson > Non Possession > No Violation
119,Hi Lo- DHo-DS-STS,GUS@AU - 11/06/2025 QTR: 2 CLK: 00:22,,,,,Turnover,0:24.9,N/A,N/A,2:20:23.85,2:20:48.71,Aurora University,GUS@AU,11/7/2025,2,0:22,Juan Madrigal,,,,2 Juan Madrigal > Spot-Up > Drives Left > Turnover
120,Horns-Rewatch,GUS@AU - 11/06/2025 QTR: 2 CLK: 07:29,,,,,Turnover,0:22.5,N/A,N/A,1:57:56.57,1:58:19.06,Aurora University,GUS@AU,11/7/2025,2,7:29,Isaiah Thompson,,,,21 Isaiah Thompson > No Play Type > Turnover
121,Rewatch,BLC@AU - 11/07/2025 QTR: 1 CLK: 10:10,,,,,Miss 2 Pts,0:29.5,N/A,N/A,34:52.92,35:22.45,Aurora University,BLC@AU,11/8/2025,1,10:10,Robert Hutson,,,,12 Robert Hutson > P&R Ball Handler > Right P&R > Baseline > Go Away from Pick > To Basket > Miss 2 Pts
122,Rewatch,BLC@AU - 11/07/2025 QTR: 2 CLK: 00:40,,,,,Foul,0:35.6,N/A,N/A,1:56:12.03,1:56:47.63,Aurora University,BLC@AU,11/8/2025,2,0:40,Zerrick Johnson,,,,24 Gevon Grant > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Zerrick Johnson > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Foul
123,Rewatch,BLC@AU - 11/07/2025 QTR: 2 CLK: 15:15,,,,,Foul,0:15.1,N/A,N/A,1:22:35.25,1:22:50.40,Aurora University,BLC@AU,11/8/2025,2,15:15,Devon Richardson,,,,24 Gevon Grant > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Devon Richardson > P&R Roll Man > Rolls to Basket > Foul
124,Rewatch,GUS@AU - 11/06/2025 QTR: 1 CLK: 01:39,,,,,Miss 3 Pts,0:21.3,N/A,N/A,1:03:31.37,1:03:52.66,Aurora University,GUS@AU,11/7/2025,1,1:39,Isaiah Thompson,,,,21 Isaiah Thompson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
