#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
19,Slob : - M2M(Drop),WWW@STC - 11/13/2025 QTR: 1 CLK: 15:04,,,,,Miss 2 Pts,0:14.2,,,18:26.27,18:40.47,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,15:04,Brock Marino,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Miss 2 Pts
20,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 14:53,,,,,Miss 3 Pts,0:09.2,,,18:43.07,18:52.27,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,14:53,Charles Gitonga,,,,10 Angel Johnson > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 25 Charles Gitonga > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
21,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 14:39,,,,,Miss 3 Pts,0:20.7,,,18:45.73,19:06.40,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,14:39,Isaac Verges,,,,0 Isaac Verges > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
22,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 14:26,,,,,Turnover,0:17.1,,,18:59.67,19:16.80,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,14:26,Corey Thompson,,,,1 Corey Thompson > Transition > Ballhandler > Turnover
23,5 Out - (M2M) : Press() - Drop+Press,WWW@STC - 11/13/2025 QTR: 1 CLK: 14:00,,,,,Make 3 Pts,0:29.9,,,19:12.80,19:42.73,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,14:00,Jr Lukenbill,,,,11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
24,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 13:43,,,,,Miss 2 Pts,0:13.6,,,19:46.87,20:00.47,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,13:43,Angel Johnson,,,,10 Angel Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
25,Tran,WWW@STC - 11/13/2025 QTR: 1,,,,,Non Shooting Foul,0:15.7,,,19:53.93,20:09.60,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,,Luke Bara,,,,32 Luke Bara > Non Possession > Non Shooting Foul
26,Blob - Line(reject) : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 13:29,,,,,Miss 3 Pts,0:13.1,,,20:36.20,20:49.33,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,13:29,Jr Lukenbill,,,,22 Joey Berezowitz > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
27,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 13:20,,,,,Make 3 Pts,0:09.6,,,20:58.60,21:08.20,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,13:20,Nathan Kongolo,,,,0 Nathan Kongolo > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
28,Twins : Press() - Press(Hedge-BS),WWW@STC - 11/13/2025 QTR: 1 CLK: 12:48,,,,,Miss 3 Pts,0:35.3,,,21:08.13,21:43.47,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,12:48,Darius Chestnut,,,,15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Darius Chestnut > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
