team,player,side,cell_hy,cell_hx,frames
UW-Whitewater,TEAM,offense,45,20,74
UW-Oshkosh Titans,TEAM,defense,5,5,25
UW-Oshkosh Titans,TEAM,defense,15,0,26
UW-Whitewater,TEAM,offense,20,10,86
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,15,15,4
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,45,20,11
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,25,10,2
UW-Oshkosh Titans,TEAM,defense,25,10,26
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,15,6
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,35,20,12
UW-Oshkosh Titans,TEAM,defense,35,20,62
UW-Whitewater,TEAM,offense,35,20,89
UW-Whitewater,TEAM,offense,30,20,86
UW-Whitewater,TEAM,offense,15,30,109
UW-Oshkosh Titans,Brandon Beck,defense,15,5,12
UW-Oshkosh Titans,Brandon Beck,defense,10,5,13
UW-Oshkosh Titans,TEAM,defense,10,5,49
UW-Oshkosh Titans,Brandon Beck,defense,5,5,7
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,45,15,3
UW-Oshkosh Titans,TEAM,defense,45,15,29
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,40,15,2
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,15,10,3
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,5,15,1
UW-Oshkosh Titans,TEAM,defense,5,15,42
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,0,20,5
UW-Oshkosh Titans,TEAM,defense,0,20,85
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,0,30,5
UW-Whitewater,TEAM,offense,10,20,127
UW-Whitewater,TEAM,offense,20,20,182
UW-Whitewater,TEAM,defense,10,30,32
UW-Whitewater,TEAM,defense,15,20,76
UW-Whitewater,TEAM,defense,30,30,81
UW-Whitewater,TEAM,defense,35,20,88
UW-Whitewater,TEAM,defense,30,20,103
UW-Whitewater,TEAM,defense,35,15,44
UW-Whitewater,TEAM,defense,25,15,59
UW-Whitewater,TEAM,defense,30,10,59
UW-Oshkosh Titans,TEAM,offense,45,10,79
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,0,40,3
UW-Oshkosh Titans,TEAM,offense,0,40,34
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,20,30,13
UW-Oshkosh Titans,Brandon Beck,offense,35,40,9
UW-Oshkosh Titans,Brandon Beck,offense,45,45,2
UW-Oshkosh Titans,TEAM,offense,45,45,7
UW-Oshkosh Titans,Brandon Beck,offense,40,40,7
UW-Oshkosh Titans,TEAM,offense,40,40,76
UW-Oshkosh Titans,Brandon Beck,offense,40,35,9
UW-Oshkosh Titans,Brandon Beck,offense,45,30,49
UW-Oshkosh Titans,Brandon Beck,offense,45,25,71
UW-Oshkosh Titans,Brandon Beck,offense,45,35,10
UW-Oshkosh Titans,TEAM,offense,45,35,60
UW-Oshkosh Titans,Brandon Beck,offense,45,40,3
UW-Oshkosh Titans,TEAM,offense,45,40,24
UW-Whitewater,TEAM,defense,40,10,24
UW-Whitewater,TEAM,defense,40,5,31
UW-Oshkosh Titans,TEAM,offense,25,25,90
UW-Oshkosh Titans,TEAM,offense,5,20,32
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,40,10,3
UW-Oshkosh Titans,TEAM,offense,40,10,14
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,45,10,7
UW-Whitewater,TEAM,defense,20,5,42
UW-Whitewater,TEAM,defense,0,15,11
UW-Whitewater,TEAM,defense,0,20,53
UW-Whitewater,TEAM,defense,35,5,59
UW-Whitewater,TEAM,defense,30,5,52
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,20,20,16
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,25,15,6
UW-Oshkosh Titans,TEAM,offense,25,15,28
UW-Whitewater,TEAM,defense,20,40,36
UW-Whitewater,TEAM,offense,25,35,99
UW-Whitewater,TEAM,offense,30,35,66
UW-Oshkosh Titans,TEAM,defense,15,45,76
UW-Oshkosh Titans,TEAM,defense,25,40,39
UW-Whitewater,TEAM,offense,10,40,70
UW-Whitewater,TEAM,offense,10,35,49
UW-Whitewater,TEAM,offense,5,35,37
UW-Oshkosh Titans,Brandon Beck,defense,30,40,6
UW-Oshkosh Titans,TEAM,defense,30,40,37
UW-Oshkosh Titans,Brandon Beck,defense,30,35,2
UW-Oshkosh Titans,TEAM,defense,30,35,45
UW-Oshkosh Titans,Brandon Beck,defense,25,35,6
UW-Oshkosh Titans,TEAM,defense,25,35,38
UW-Oshkosh Titans,Brandon Beck,defense,10,35,11
UW-Oshkosh Titans,TEAM,defense,10,35,51
UW-Oshkosh Titans,Brandon Beck,defense,15,35,3
UW-Oshkosh Titans,TEAM,defense,15,35,38
UW-Whitewater,TEAM,offense,5,45,15
UW-Whitewater,TEAM,offense,5,30,66
UW-Whitewater,TEAM,offense,5,25,118
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,0,45,1
UW-Oshkosh Titans,TEAM,defense,0,45,6
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,10,35,3
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,10,30,2
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,20,20,9
UW-Whitewater,TEAM,offense,20,45,29
UW-Whitewater,TEAM,offense,5,40,36
UW-Whitewater,TEAM,offense,35,40,62
UW-Whitewater,TEAM,offense,25,25,153
UW-Whitewater,TEAM,offense,30,25,102
UW-Whitewater,TEAM,offense,35,25,110
UW-Whitewater,TEAM,offense,15,45,21
UW-Whitewater,TEAM,offense,20,5,61
UW-Whitewater,TEAM,offense,0,0,4
UW-Whitewater,TEAM,offense,5,5,124
UW-Whitewater,TEAM,offense,10,5,127
UW-Whitewater,TEAM,offense,5,20,89
UW-Oshkosh Titans,TEAM,defense,20,40,21
UW-Oshkosh Titans,TEAM,defense,0,35,149
UW-Oshkosh Titans,TEAM,defense,5,20,54
UW-Oshkosh Titans,TEAM,defense,10,40,56
UW-Whitewater,TEAM,offense,35,15,63
UW-Whitewater,TEAM,offense,15,5,99
UW-Whitewater,TEAM,offense,40,15,27
UW-Oshkosh Titans,TEAM,defense,20,10,53
UW-Oshkosh Titans,TEAM,defense,20,5,37
UW-Oshkosh Titans,TEAM,defense,10,10,73
UW-Oshkosh Titans,TEAM,defense,10,15,93
UW-Oshkosh Titans,Brandon Beck,defense,5,25,4
UW-Oshkosh Titans,TEAM,defense,5,25,48
UW-Oshkosh Titans,Brandon Beck,defense,5,30,20
UW-Oshkosh Titans,Brandon Beck,defense,10,30,11
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,15,20,5
UW-Whitewater,TEAM,offense,0,20,85
UW-Oshkosh Titans,Brandon Beck,defense,25,15,4
UW-Oshkosh Titans,Brandon Beck,defense,30,15,3
UW-Oshkosh Titans,Brandon Beck,defense,15,30,3
UW-Oshkosh Titans,TEAM,defense,15,30,52
UW-Oshkosh Titans,TEAM,offense,35,0,14
UW-Oshkosh Titans,TEAM,offense,45,20,115
UW-Whitewater,TEAM,defense,40,45,9
UW-Whitewater,TEAM,defense,40,40,21
UW-Oshkosh Titans,TEAM,offense,35,45,9
UW-Oshkosh Titans,TEAM,offense,40,15,21
UW-Oshkosh Titans,TEAM,offense,35,20,33
UW-Whitewater,TEAM,defense,40,30,25
UW-Whitewater,TEAM,defense,45,20,66
UW-Oshkosh Titans,TEAM,offense,15,30,71
UW-Whitewater,TEAM,defense,10,5,36
UW-Oshkosh Titans,TEAM,offense,25,10,13
UW-Oshkosh Titans,TEAM,offense,20,5,14
UW-Oshkosh Titans,TEAM,offense,15,5,21
UW-Oshkosh Titans,TEAM,offense,10,25,81
UW-Whitewater,TEAM,defense,35,10,79
UW-Oshkosh Titans,TEAM,offense,10,35,32
UW-Oshkosh Titans,TEAM,offense,10,30,49
UW-Whitewater,TEAM,offense,40,45,10
UW-Whitewater,TEAM,offense,30,45,26
UW-Whitewater,TEAM,offense,30,40,75
UW-Whitewater,TEAM,offense,40,40,27
UW-Oshkosh Titans,TEAM,defense,15,40,34
UW-Whitewater,TEAM,offense,45,40,33
UW-Oshkosh Titans,TEAM,defense,30,45,31
UW-Oshkosh Titans,TEAM,defense,40,40,74
UW-Whitewater,TEAM,offense,15,25,181
UW-Oshkosh Titans,TEAM,defense,35,25,59
UW-Oshkosh Titans,TEAM,defense,20,15,35
UW-Whitewater,TEAM,offense,10,45,14
UW-Whitewater,TEAM,offense,10,30,115
