opponent,clock_situation,freq_pct,ppp,fg_pct,note,is_sample
Aurora Spartans,Early clock (0-9 sec used),73,0.79,40.4,78 tagged possessions -- most often DHO (Devon Richardson),False
Aurora Spartans,Organized offense (10-19 sec used),17,1.06,38.5,18 tagged possessions -- most often Ball Screen (Juan Madrigal),False
Aurora Spartans,Late clock (20+ sec used),10,1.09,50.0,11 tagged possessions -- most often Pat Miller (Gevon Grant),False
