season,date,location,outcome,team_score,opponent_score,opponent_as_listed,game_url,source,margin,home_away,game_date,uww_leader,opp_leader
2024-25,"Wed, Jan 8",Home,L,67,86,UW-Stevens Point Pointers,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/pSgKrFRrRkqkMxvS8x6nSQ/boxscore?league=NCAAB-III&season=24,2024-25 schedule,-19,Home,2025-01-08,,
2024-25,"Wed, Jan 29",Away,L,52,83,UW-Stevens Point Pointers,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/ck4l0IBqSu2vW_7UId5lPg/boxscore?league=NCAAB-III&season=24,2024-25 schedule,-31,Away,2025-01-29,,
2024-25,"Mon, Feb 24",Away,L,79,81,UW-Stevens Point Pointers,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/N0_rjR9TQGK1BgRwY3ybMg/boxscore?league=NCAAB-III&season=24,2024-25 schedule,-2,Away,2025-02-24,,
2023-24,"Wed, Jan 10",Away,L,92,100,UW-Stevens Point Pointers,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/CUvtvoUzS-6SpGKvFevF2A/boxscore?league=NCAAB-III&season=23,2023-24 schedule,-8,Away,2024-01-10,,
2023-24,"Wed, Feb 7",Home,W,81,55,UW-Stevens Point Pointers,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/u1MUZkwGTQqY1pQMn5oteg/boxscore?league=NCAAB-III&season=23,2023-24 schedule,26,Home,2024-02-07,,
2023-24,"Tue, Feb 20",Away,L,70,76,UW-Stevens Point Pointers,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/fQyWuMcDRtyQFPZjipXn2w/boxscore?league=NCAAB-III&season=23,2023-24 schedule,-6,Away,2024-02-20,,
