opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,MIN,started
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Asher Fleming,8,3,6,0,1,2,2,0,6,1,0,1,2,4,6,50.0,0.0,100.0,32.7,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Chris Bryant,14,4,10,0,0,6,9,3,3,1,0,2,2,4,6,40.0,,66.7,28.9,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,DJ Jones,3,1,4,1,4,0,0,0,1,0,0,0,2,0,1,25.0,25.0,,17.6,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Gavin Davis,3,1,5,1,3,0,0,1,0,1,0,0,1,3,1,20.0,33.3,,19.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Jamar Ingram,8,4,5,0,0,0,0,0,4,1,0,0,2,1,4,80.0,,,17.6,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Jared Cox,2,0,0,0,0,2,2,1,0,0,0,0,0,0,1,,,100.0,4.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Matthew Alexander,11,4,9,2,4,1,2,0,8,2,1,0,1,2,8,44.4,50.0,50.0,26.1,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Myles Amason,2,0,1,0,0,2,2,0,1,0,0,1,0,2,1,0.0,,100.0,14.9,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Noah Lamey,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,2.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Trevion Howell,2,1,3,0,2,0,0,1,2,1,0,0,0,1,3,33.3,0.0,,10.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Tyler Williams,6,1,3,0,0,4,6,0,0,0,0,1,2,4,0,33.3,,66.7,21.5,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Cal Krohn,14,7,12,0,0,0,2,0,1,1,1,0,1,5,1,58.3,,0.0,28.0,True
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Carter Combs,4,2,4,0,0,0,1,1,4,3,4,0,1,1,5,50.0,,0.0,36.9,True
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Grant Manz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,5.1,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Isaiah Moore,2,1,2,0,0,0,0,1,7,1,1,0,0,3,8,50.0,,,19.1,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Josh Bocher,4,1,3,0,0,2,6,0,1,0,0,0,0,2,1,33.3,,33.3,16.3,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Josiah Butler,22,6,13,4,6,6,6,4,4,0,0,0,1,3,8,46.2,66.7,100.0,35.8,True
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Logan Baumgartner,6,0,5,0,4,6,6,0,4,2,1,0,1,3,4,0.0,0.0,100.0,20.3,True
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Max Raimer,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,,,0.0,4.7,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Seth Miron,13,5,14,1,4,2,5,2,2,1,3,0,3,3,4,35.7,25.0,40.0,33.1,True
Lakeland Muskies,2025-12-29,Lakeland Muskies,Adison Mittelstadt,5,2,3,1,1,0,0,0,2,0,0,0,1,0,2,66.7,100.0,,12.9,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Asanjai Hunter,15,4,13,1,6,6,8,1,3,2,0,0,3,3,4,30.8,16.7,75.0,28.9,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Austin Hohn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.8,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Camden Schurk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.2,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Delon Zollicoffer-White,4,2,3,0,0,0,0,0,4,0,2,1,3,3,4,66.7,,,10.2,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Emmitt Konieczny,3,1,2,1,1,0,0,0,0,0,0,0,0,1,0,50.0,100.0,,21.4,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Gage Cornell,5,2,4,1,2,0,0,0,0,1,0,0,3,2,0,50.0,50.0,,17.4,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Jamar Lampley Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.2,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Jaxson Dillon,18,5,11,4,9,4,5,0,2,1,1,0,4,3,2,45.5,44.4,80.0,26.3,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Max Justic,3,1,1,1,1,0,0,0,1,1,1,0,2,1,1,100.0,100.0,,24.2,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Parker Braun,8,3,6,1,2,1,2,0,2,2,4,0,0,4,2,50.0,50.0,50.0,29.4,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,Peyton Mrotek,5,2,7,0,2,1,1,0,2,1,0,1,0,1,2,28.6,0.0,100.0,21.5,False
Lakeland Muskies,2025-12-29,Lakeland Muskies,RJ Hines Jr.,4,2,2,0,0,0,0,1,2,0,0,0,0,0,3,100.0,,,3.0,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Austin Schaumburg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,,,1.2,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Brandon Tilley,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,50.0,,,1.2,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Cal Krohn,13,5,8,0,0,3,4,1,6,4,1,0,3,2,7,62.5,,75.0,19.5,True
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Carter Combs,6,2,2,0,0,2,4,0,6,4,2,0,1,4,6,100.0,,50.0,26.0,True
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Drew Daoust,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1.9,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Dylan Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.3,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Emmitt Huhn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,1.2,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Grant Manz,5,2,3,0,0,1,2,0,1,2,0,0,0,1,1,66.7,,50.0,9.4,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Isaiah Moore,3,1,2,1,1,0,0,0,5,1,0,0,0,0,5,50.0,100.0,,10.3,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,James Jacobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1.9,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Josh Bocher,7,3,7,0,2,1,4,0,0,0,2,1,0,0,0,42.9,0.0,25.0,11.0,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Josiah Butler,12,5,7,1,1,1,1,1,1,4,1,0,3,1,2,71.4,100.0,100.0,33.4,True
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Logan Baumgartner,6,2,4,1,2,1,4,1,2,3,1,0,2,1,3,50.0,50.0,25.0,20.1,True
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Max Raimer,9,4,6,0,1,1,1,2,0,1,1,0,0,0,2,66.7,0.0,100.0,20.0,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Nick Fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.2,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Seth Miron,21,9,12,2,3,1,2,2,3,2,3,0,1,1,5,75.0,66.7,50.0,31.5,True
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Shane Tarjan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,1.9,False
Lakeland Muskies,2025-12-29,UW-Stevens Point Pointers,Tyler Orr,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,50.0,100.0,,4.2,False
MSOE Raiders,2025-11-08,MSOE Raiders,Brady Gregg,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,0.3,False
MSOE Raiders,2025-11-08,MSOE Raiders,Brock Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.4,False
