opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,MIN,started
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Carter Combs,6,2,3,0,0,2,2,2,4,7,2,0,4,3,6,66.7,,100.0,50.6,True
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Drew Daoust,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2.2,False
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Dylan Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.6,False
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Grant Manz,4,2,2,0,0,0,0,1,1,2,0,0,1,0,2,100.0,,,7.3,False
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,James Jacobs,0,0,1,0,1,0,0,0,3,1,0,0,1,1,3,0.0,0.0,,6.6,False
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Josiah Butler,24,9,19,1,7,5,6,0,2,0,0,0,4,3,2,47.4,14.3,83.3,51.9,True
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Logan Baumgartner,21,7,16,3,9,4,4,4,4,1,3,1,2,5,8,43.8,33.3,100.0,39.9,True
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Max Raimer,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,8.5,False
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Seth Miron,34,10,16,1,6,13,19,4,3,5,1,0,2,1,7,62.5,16.7,68.4,44.2,True
North Park Vikings,2025-11-29,UW-Stevens Point Pointers,Shane Tarjan,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,,,,7.5,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Aidan Bellisle,10,4,7,1,2,1,2,1,2,2,1,0,2,3,3,57.1,50.0,50.0,20.3,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Bennett Basich,9,2,2,1,1,4,4,0,0,4,1,0,0,1,0,100.0,100.0,100.0,9.1,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Brooks Hinson,9,2,5,1,2,4,5,0,3,2,1,0,2,1,3,40.0,50.0,80.0,27.6,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Cal Klesmit,8,3,3,1,1,1,2,2,1,2,0,0,1,4,3,100.0,100.0,50.0,9.1,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Cody Schmitz,2,0,1,0,0,2,2,0,1,2,0,0,1,0,1,0.0,,100.0,7.6,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Dylan Kuehl,5,2,4,0,2,1,2,0,0,0,0,0,1,0,0,50.0,0.0,50.0,9.1,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Isaiah Allen,10,4,8,2,4,0,0,1,1,1,0,0,0,2,2,50.0,50.0,,22.9,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Jonny Ingalls,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,3.8,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Keller Hanson,6,2,4,2,4,0,0,0,1,0,0,0,2,1,1,50.0,50.0,,10.8,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Nathan Fife,0,0,2,0,2,0,1,0,1,1,0,0,0,1,1,0.0,0.0,0.0,15.1,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Pryce Gregoire,4,1,1,0,0,2,2,0,0,0,0,0,0,0,0,100.0,,100.0,1.4,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Ross Robertson,10,3,3,0,0,4,6,0,2,1,1,0,1,4,2,100.0,,66.7,19.9,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Sam Privet,6,3,3,0,0,0,0,0,1,0,1,1,0,2,1,100.0,,,16.0,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,Trevor Polite,5,1,3,0,1,3,3,0,2,4,0,0,2,6,2,33.3,0.0,100.0,25.0,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Austin Schaumburg,0,0,3,0,1,0,0,1,0,0,0,0,0,3,1,0.0,0.0,,3.0,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Cal Krohn,10,3,5,0,0,4,4,0,2,0,0,0,1,1,2,60.0,,100.0,20.6,True
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Carter Combs,6,2,2,2,2,0,0,0,4,1,1,0,3,2,4,100.0,100.0,,21.1,True
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Drew Daoust,6,2,4,1,2,1,2,0,2,0,0,0,1,2,2,50.0,50.0,50.0,13.3,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Grant Manz,5,1,2,0,0,3,8,1,0,1,1,0,2,6,1,50.0,,37.5,19.2,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Isaiah Moore,11,4,7,1,4,2,3,2,3,1,1,0,1,1,5,57.1,25.0,66.7,16.1,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,James Jacobs,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0.0,,,5.3,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Josiah Butler,9,3,5,0,2,3,4,0,1,2,0,0,1,1,1,60.0,0.0,75.0,18.8,True
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Logan Baumgartner,9,3,6,0,3,3,3,0,1,2,1,0,2,3,1,50.0,0.0,100.0,18.5,True
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Max Raimer,4,1,3,0,1,2,3,0,0,0,0,0,1,4,0,33.3,0.0,66.7,18.1,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Seth Miron,15,6,7,1,2,2,2,0,1,1,0,0,2,3,1,85.7,50.0,100.0,23.2,True
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Shane Tarjan,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,100.0,,,6.1,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Tyler Orr,3,1,4,1,3,0,0,2,1,1,0,0,0,0,3,25.0,33.3,,9.4,False
Northern Michigan Wildcats EXH,2025-11-01,UW-Stevens Point Pointers,Zach Orr,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.0,,,5.2,False
Olivet Comets,2025-12-13,Olivet Comets,Alex Genuise,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,,2.1,False
Olivet Comets,2025-12-13,Olivet Comets,Conner Schipper,10,5,10,0,1,0,0,0,4,3,1,3,2,1,4,50.0,0.0,,30.7,False
Olivet Comets,2025-12-13,Olivet Comets,Evan Honnen,5,2,4,1,3,0,0,0,1,0,0,0,0,1,1,50.0,33.3,,18.7,False
Olivet Comets,2025-12-13,Olivet Comets,Lee Hardy,4,2,4,0,0,0,0,0,3,0,2,1,1,4,3,50.0,,,20.1,False
Olivet Comets,2025-12-13,Olivet Comets,Mike Okello,5,2,3,1,1,0,0,1,3,1,1,0,2,4,4,66.7,100.0,,18.7,False
Olivet Comets,2025-12-13,Olivet Comets,Nathan Richardson,15,7,12,1,2,0,0,0,0,3,2,0,4,0,0,58.3,50.0,,37.2,False
Olivet Comets,2025-12-13,Olivet Comets,Porter Kretschman,11,5,8,1,3,0,0,1,5,1,2,0,3,4,6,62.5,33.3,,31.5,False
Olivet Comets,2025-12-13,Olivet Comets,Sam Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1.9,False
Olivet Comets,2025-12-13,Olivet Comets,Sean Shenker,6,3,10,0,5,0,0,0,1,2,2,0,3,1,1,30.0,0.0,,36.3,False
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Cal Krohn,12,6,12,0,0,0,0,1,4,1,1,0,3,1,5,50.0,,,31.2,True
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Carter Combs,5,2,2,1,1,0,0,0,4,3,1,0,2,2,4,100.0,100.0,,35.1,True
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Drew Daoust,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,2.4,False
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Grant Manz,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,50.0,,,3.2,False
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Isaiah Moore,2,1,3,0,0,0,0,1,1,2,1,0,0,1,2,33.3,,,14.2,False
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Josh Bocher,10,5,11,0,0,0,0,4,4,0,3,1,2,1,8,45.5,,,24.6,False
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Josiah Butler,13,5,10,3,7,0,0,0,7,1,0,0,3,4,7,50.0,42.9,,33.3,True
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Logan Baumgartner,0,0,2,0,1,0,0,0,0,0,2,0,2,2,0,0.0,0.0,,7.5,True
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Max Raimer,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,,4.4,False
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Seth Miron,16,7,11,2,3,0,0,2,4,3,1,0,2,3,6,63.6,66.7,,38.7,True
Olivet Comets,2025-12-13,UW-Stevens Point Pointers,Tyler Orr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,AJ Uhl,13,6,10,0,1,1,2,0,3,0,2,0,1,3,3,60.0,0.0,50.0,24.0,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Chris Willis,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0.0,0.0,,13.4,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Cooper Carlson,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,50.0,,,5.6,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Jaxon Strinmoen,0,0,2,0,2,0,0,0,2,0,0,0,0,2,2,0.0,0.0,,16.0,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Kobe Kirk,26,10,16,1,2,5,6,1,3,1,1,1,0,1,4,62.5,50.0,83.3,32.3,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Liam Madigan,8,4,7,0,0,0,0,2,5,5,1,3,2,2,7,57.1,,,27.9,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Liam Roche,0,0,2,0,0,0,0,0,5,2,0,0,3,3,5,0.0,,,16.9,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Luther Tostrud,0,0,1,0,1,0,0,0,2,1,0,0,2,1,2,0.0,0.0,,19.0,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Max Kraay,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0.0,0.0,,16.1,False
St. Olaf Oles,2025-11-12,St. Olaf Oles,Rex Lamb,14,5,12,3,7,1,3,1,1,0,0,0,2,2,2,41.7,42.9,33.3,26.1,False
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Cal Krohn,16,6,10,0,0,4,6,1,2,1,0,0,1,2,3,60.0,,66.7,33.9,True
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Carter Combs,7,3,6,1,1,0,0,3,4,0,0,0,2,3,7,50.0,100.0,,28.4,True
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Grant Manz,6,3,4,0,0,0,0,2,3,1,1,1,1,0,5,75.0,,,12.8,False
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Isaiah Moore,5,2,4,1,2,0,0,0,4,1,2,0,1,1,4,50.0,50.0,,27.8,False
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Josiah Butler,14,5,13,1,5,3,4,0,4,3,2,0,1,4,4,38.5,20.0,75.0,34.6,True
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Logan Baumgartner,15,4,8,2,5,5,5,1,1,2,0,0,1,2,2,50.0,40.0,100.0,16.6,True
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Max Raimer,5,1,3,1,2,2,2,1,0,2,0,1,0,1,1,33.3,50.0,100.0,6.8,False
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Seth Miron,6,2,9,1,5,1,2,2,3,2,1,0,1,1,5,22.2,20.0,50.0,28.6,True
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Shane Tarjan,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,1.0,False
St. Olaf Oles,2025-11-12,UW-Stevens Point Pointers,Tyler Orr,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,0.0,0.0,,6.9,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Ben Estis,0,0,5,0,4,0,0,0,0,1,0,0,0,2,0,0.0,0.0,,17.3,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Benjamin Wagner,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,,4.0,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Carter Ruck,2,1,3,0,2,0,0,2,2,1,1,0,1,3,4,33.3,0.0,,15.7,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Dean Balo,16,5,12,1,6,5,5,3,1,1,0,0,4,0,4,41.7,16.7,100.0,33.9,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Elias DeMent,4,1,5,0,1,2,2,0,2,0,1,0,2,2,2,20.0,0.0,100.0,10.4,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Gabe Parr,4,2,3,0,0,0,0,1,1,0,0,1,2,1,2,66.7,,,10.4,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Jackson Lawson,12,2,9,2,8,6,7,0,5,2,0,0,1,1,5,22.2,25.0,85.7,27.0,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Jake Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Javon Toliver,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,4.2,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Joshua Chesney,0,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0.0,0.0,,11.2,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Luke Bledsoe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1.0,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Max Sprott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.6,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Trent Medearis,14,5,7,1,2,3,5,1,5,1,0,0,1,1,6,71.4,50.0,60.0,15.2,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Will Bronson,8,3,4,0,0,2,4,3,4,1,1,3,2,3,7,75.0,,50.0,23.3,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,Zach Fenn,6,1,2,1,1,3,4,1,4,1,1,0,2,5,5,50.0,100.0,75.0,23.0,False
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Cal Krohn,22,10,14,0,1,2,5,2,3,2,1,1,0,3,5,71.4,0.0,40.0,22.5,True
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Carter Combs,1,0,1,0,1,1,2,2,3,3,3,1,1,3,5,0.0,0.0,50.0,28.4,True
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Grant Manz,2,1,4,0,0,0,0,0,3,0,0,0,1,2,3,25.0,,,10.6,False
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Isaiah Moore,11,4,9,1,4,2,2,0,2,0,1,0,1,2,2,44.4,25.0,100.0,23.2,False
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Josh Bocher,1,0,3,0,0,1,2,1,1,1,0,0,2,1,2,0.0,,50.0,8.8,False
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Josiah Butler,5,1,7,1,5,2,2,1,4,0,2,0,0,4,5,14.3,20.0,100.0,38.4,True
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Logan Baumgartner,17,4,13,4,13,5,6,2,2,2,3,0,0,4,4,30.8,30.8,83.3,25.2,True
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Max Raimer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.3,False
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Seth Miron,15,4,9,0,2,7,8,2,0,6,0,1,2,4,2,44.4,0.0,87.5,37.1,True
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,Tyler Orr,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.6,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Andre Renta,17,4,9,2,4,7,8,0,3,7,0,0,1,2,3,44.4,50.0,87.5,30.9,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Carter Lichtsinn,18,6,11,1,5,5,9,2,11,0,0,0,2,4,13,54.5,20.0,55.6,39.2,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Joey Butz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.4,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Kenji Scales,16,5,12,3,7,3,3,1,0,0,0,0,4,2,1,41.7,42.9,100.0,37.4,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Luke Reder,6,3,5,0,1,0,1,1,1,1,0,0,0,1,2,60.0,0.0,0.0,6.6,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Roan Demovsky,2,0,1,0,0,2,2,0,0,2,0,1,2,0,0,0.0,,100.0,8.9,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Roman Richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.6,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Tyler Haney,2,1,2,0,1,0,1,0,1,0,1,0,1,4,1,50.0,0.0,0.0,10.4,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Will Boser,7,2,4,1,3,2,2,2,1,2,0,0,0,1,3,50.0,33.3,100.0,28.3,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,Xavier Lewis,7,2,4,0,0,3,6,2,9,1,1,0,2,3,11,50.0,,50.0,33.1,False
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Cal Krohn,21,9,14,0,0,3,4,1,1,2,1,1,1,2,2,64.3,,75.0,32.9,True
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Carter Combs,5,1,3,1,3,2,2,0,4,1,1,0,1,3,4,33.3,33.3,100.0,27.2,True
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Grant Manz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.3,False
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Isaiah Moore,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,100.0,,,4.2,False
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,James Jacobs,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,,,,4.0,False
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Josh Bocher,17,8,11,0,1,1,1,3,5,1,1,3,0,4,8,72.7,0.0,100.0,30.8,False
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Josiah Butler,6,3,9,0,3,0,0,0,1,1,0,0,1,5,1,33.3,0.0,,19.7,True
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Logan Baumgartner,6,2,3,1,2,1,2,0,1,2,1,0,0,2,1,66.7,50.0,50.0,12.4,True
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Max Raimer,6,2,5,1,3,1,2,0,1,0,2,0,0,0,1,40.0,33.3,50.0,18.3,False
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Seth Miron,15,6,15,0,3,3,5,2,2,5,0,1,0,3,4,40.0,0.0,60.0,35.8,True
UW-Eau Claire Blugolds,2026-01-03,UW-Stevens Point Pointers,Tyler Orr,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0.0,,,11.2,False
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,False
North Central (MN) Rams,2025-12-06,UW-Stevens Point Pointers,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,False
North Park Vikings,2025-11-29,North Park Vikings,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,False
Northern Michigan Wildcats EXH,2025-11-01,Northern Michigan Wildcats EXH,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,False
Trinity (TX) Tigers,2025-12-21,Trinity (TX) Tigers,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,False
Trinity (TX) Tigers,2025-12-21,UW-Stevens Point Pointers,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,False
UW-Eau Claire Blugolds,2026-01-03,UW-Eau Claire Blugolds,TEAM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,False
