PLAYER,MIN,projected_PTS,projected_REB,projected_AST,FG%,3P%,FT%,projection_basis
Mikey Wildes,2.0,,0.2,0.2,0%,-,-,"Own season avg: 0.0 PTS, 0.2 REB, 0.2 AST/gm over 2 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Richie Warren,22.0,,4.9,1.1,43.2%,25%,65%,"Own season avg: 8.7 PTS, 4.9 REB, 1.1 AST/gm over 22 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Isaac Verges,23.0,,4.4,1.9,52.5%,37.5%,71.6%,"Own season avg: 9.8 PTS, 4.4 REB, 1.9 AST/gm over 23 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Mauryon Turner,,,,,-,-,-,No season stats recorded for this player yet -- insufficient data to project.
Maurquis Turner,3.0,,0.3,0.0,66.7%,-,0%,"Own season avg: 1.3 PTS, 0.3 REB, 0.0 AST/gm over 3 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Tyshawn Teague-Johnson,11.0,,2.0,0.3,42.9%,38.9%,36.4%,"Own season avg: 4.2 PTS, 2.0 REB, 0.3 AST/gm over 11 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Rashad Rogers,9.0,,2.1,0.5,48.5%,28.6%,69.2%,"Own season avg: 2.3 PTS, 2.1 REB, 0.5 AST/gm over 9 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Isaiah Robinson,8.0,,0.5,0.6,33.3%,23.1%,50%,"Own season avg: 1.1 PTS, 0.5 REB, 0.6 AST/gm over 8 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Jake Quast,16.0,,2.9,0.6,51.4%,31.2%,64.9%,"Own season avg: 6.2 PTS, 2.9 REB, 0.6 AST/gm over 16 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Matthew McKay,2.0,,0.7,0.0,100%,-,0%,"Own season avg: 1.3 PTS, 0.7 REB, 0.0 AST/gm over 2 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Kelton McEwen,11.0,,0.3,0.5,41.7%,39.6%,65.4%,"Own season avg: 3.5 PTS, 0.3 REB, 0.5 AST/gm over 11 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Brock Marino,21.0,,5.4,0.6,52.3%,34.6%,53.2%,"Own season avg: 8.9 PTS, 5.4 REB, 0.6 AST/gm over 21 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Collin Madson,33.0,,5.4,1.1,55.6%,45.3%,80.4%,"Own season avg: 18.0 PTS, 5.4 REB, 1.1 AST/gm over 33 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Tristian Lynch,4.0,,0.5,0.0,33.3%,0%,-,"Own season avg: 1.0 PTS, 0.5 REB, 0.0 AST/gm over 4 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
JR Lukenbill,13.0,,1.7,0.6,45.9%,33.3%,54.5%,"Own season avg: 2.9 PTS, 1.7 REB, 0.6 AST/gm over 13 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Agape Keyes Jr.,4.0,,0.2,0.2,25%,42.9%,-,"Own season avg: 1.5 PTS, 0.2 REB, 0.2 AST/gm over 4 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Zay Howard,1.0,,0.0,0.3,0%,0%,-,"Own season avg: 0.0 PTS, 0.0 REB, 0.3 AST/gm over 1 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Trent Grunewald,4.0,,1.3,0.3,14.3%,0%,-,"Own season avg: 0.3 PTS, 1.3 REB, 0.3 AST/gm over 4 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Spencer Cullum,,,,,-,-,-,No season stats recorded for this player yet -- insufficient data to project.
Darius Chestnut,10.0,,1.1,0.3,51.1%,50%,64.3%,"Own season avg: 3.6 PTS, 1.1 REB, 0.3 AST/gm over 10 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Joey Berezowitz,14.0,,1.2,1.4,49.3%,44.4%,91.7%,"Own season avg: 3.4 PTS, 1.2 REB, 1.4 AST/gm over 14 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Luke Bara,24.0,,1.6,1.3,38.7%,37.3%,89.7%,"Own season avg: 10.2 PTS, 1.6 REB, 1.3 AST/gm over 24 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
Austin Ambrose,9.0,,1.8,0.1,45%,20%,33.3%,"Own season avg: 2.8 PTS, 1.8 REB, 0.1 AST/gm over 9 min | Scaled xnan for this matchup's projected pace (UWW projected team total nan pts: 50% season PPG 78.4 + 50% actual PPG vs scouted opponents this season nan)"
