defense_team,defender,clips,frames,weak_side_ft_off_man,weak_side_in_paint_pct,weak_frames,on_ball_ft
UW-Oshkosh Titans,Brandon Beck,5,6,7.0,0.0,2,10.9
UW-Oshkosh Titans,Michael Metcalf-Grassman,3,4,44.9,0.0,2,15.8
UW-Oshkosh Titans,unnamed defense,7,77,20.2,0.0,13,19.8
UW-Whitewater,Jake Quast,2,2,3.6,0.0,1,24.7
UW-Whitewater,unnamed defense,5,18,13.6,0.0,8,11.5
