opponent,clip_group,clips,who_watches,is_sample
Aurora Spartans,4-1 Ball Screen (Half court),10,Whole team -- scout team runs it,False
Aurora Spartans,OK State Pat Miller (Half court),9,Whole team -- scout team runs it,False
Aurora Spartans,Hi-Lo DHO (Half court),8,Whole team -- scout team runs it,False
Aurora Spartans,5 Out Twirl (Half court),5,Whole team -- scout team runs it,False
Aurora Spartans,BLOB Box Curl (BLOB),12,Whole team,False
Aurora Spartans,BLOB Box Breddy (BLOB),4,Whole team,False
