opponent,period,time_remaining_seconds,team,player,result,coach_note,play_call,clip_side,game_date,points,play_series,play_title,play_actions,play_location,play_situation
Eureka Red Devils,H2,956.0,UW-Whitewater,Joey Berezowitz,Make 2 Pts,,BLOB Line,Offense,2025-11-15,2,BLOB,BLOB-LINE-DOUBLE,,,BLOB
Eureka Red Devils,H2,926.0,UW-Whitewater,Luke Bara,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,900.0,UW-Whitewater,Brock Marino,Make 2 Pts,,Transition (unspecified),Offense,2025-11-15,2,Transition,TRAN,,,Transition
Eureka Red Devils,H2,874.0,UW-Whitewater,Brock Marino,Turnover,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,852.0,UW-Whitewater,Darius Chestnut,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,809.0,UW-Whitewater,Jake Quast,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,779.0,UW-Whitewater,Jacob Gonzalez,Make 2 Pts,,BLOB,Offense,2025-11-15,2,BLOB,UWW M2M D: BLOB,,,BLOB
Eureka Red Devils,H2,756.0,UW-Whitewater,Darius Chestnut,Make 3 Pts,,Flow,Offense,2025-11-15,3,Flow,FLOW:2-3 ZONE,,,Half court
Eureka Red Devils,H2,726.0,UW-Whitewater,Darius Chestnut,Turnover,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,721.0,UW-Whitewater,Blake Logsdon,Make 3 Pts,,Transition (unspecified),Offense,2025-11-15,3,Transition,UWW M2M: TRAN,,,Transition
Eureka Red Devils,H2,701.0,UW-Whitewater,Richie Warren,Miss 2 Pts,,Flow,Offense,2025-11-15,0,Flow,FLOW: 2-3 ZONE,,,Half court
Eureka Red Devils,H2,668.0,UW-Whitewater,Darius Chestnut,Make 3 Pts,,Transition (unspecified),Offense,2025-11-15,3,Transition,TRAN,,,Transition
Eureka Red Devils,H2,618.0,UW-Whitewater,Rashad Rogers,Make 2 Pts,,Flow,Offense,2025-11-15,2,Flow,FLOW: 2-3 ZONE,,,Half court
Eureka Red Devils,H2,597.0,UW-Whitewater,Isaiah Robinson,Miss 3 Pts,,5 Out Down Screen,Offense,2025-11-15,0,5 Out,5 OUT- PASS 5- DS: M2M,Pass | Down Screen,,Half court
Eureka Red Devils,H2,545.0,UW-Whitewater,Nicholaus Harris-Huntley,Miss 2 Pts,,BLOB,Offense,2025-11-15,0,BLOB,UWW M2M D- BLOB,,,BLOB
Eureka Red Devils,H2,538.0,UW-Whitewater,Kelton Mcewen,Miss 2 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,,UW-Whitewater,Max Richardson,No Violation,,Transition (unspecified),Offense,2025-11-15,,Transition,TRAN,,,Transition
Eureka Red Devils,H2,517.0,UW-Whitewater,Blake Logsdon,Turnover,,BLOB,Offense,2025-11-15,0,BLOB,UWW M2M D-BLOB,,,BLOB
Eureka Red Devils,H2,514.0,UW-Whitewater,Isaiah Robinson,Turnover,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,442.0,UW-Whitewater,Zachy Qader,Make 2 Pts,,BLOB,Offense,2025-11-15,2,BLOB,UWW M2M- BLOB,,,BLOB
Eureka Red Devils,H2,420.0,UW-Whitewater,Austin Ambrose,Miss 3 Pts,,Twins,Offense,2025-11-15,0,Twins,TWINS: M2M D,,,Half court
Eureka Red Devils,H2,395.0,UW-Whitewater,Isaiah Robinson,Make 2 Pts,,Transition (unspecified),Offense,2025-11-15,2,Transition,TRAN,,,Transition
Eureka Red Devils,H2,352.0,UW-Whitewater,Isaiah Robinson,Make 3 Pts,,Transition (unspecified),Offense,2025-11-15,3,Transition,TRAN,,,Transition
Eureka Red Devils,H2,306.0,UW-Whitewater,Tristian Lynch,Miss 3 Pts,,5 Out Flare,Offense,2025-11-15,0,5 Out,5 OUT- FLAIR-BS: M2M D ICE,Flare | Ball Screen,,Half court
Eureka Red Devils,H2,299.0,UW-Whitewater,Zachy Qader,Foul,,Transition (unspecified),Offense,2025-11-15,1,Transition,UWW M2M: TRAN,,,Transition
Eureka Red Devils,H2,283.0,UW-Whitewater,Tristian Lynch,Make 2 Pts,,5 Out Down Screen,Offense,2025-11-15,2,5 Out,5 OUT- PASS 5 - DS: M2M D,Pass | Down Screen,,Half court
Eureka Red Devils,H2,248.0,UW-Whitewater,Trent Grunewald,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,228.0,UW-Whitewater,Andrew Wells,Foul,,Transition (unspecified),Offense,2025-11-15,1,Transition,TRAN,,,Transition
Eureka Red Devils,H2,216.0,UW-Whitewater,Isaiah Robinson,Make 3 Pts,,Twins,Offense,2025-11-15,3,Twins,TWINS: M2M D,,,Half court
Eureka Red Devils,H2,186.0,UW-Whitewater,Agape Keyes Jr.,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,171.0,UW-Whitewater,Amare Brokemond,Miss 2 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,UWW M2M D-TRAN,,,Transition
Eureka Red Devils,H2,153.0,UW-Whitewater,Isaiah Robinson,Make 3 Pts,,5 Out DHO,Offense,2025-11-15,3,5 Out,5 OUT-DHO: M2M PRES,DHO,,Half court
Eureka Red Devils,H2,135.0,UW-Whitewater,Agape Keyes Jr.,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-15,0,Transition,TRAN,,,Transition
Eureka Red Devils,H2,125.0,UW-Whitewater,Amare Brokemond,Make 2 Pts,,Transition (unspecified),Offense,2025-11-15,2,Transition,TRAN,,,Transition
