side,team,lineup,grouping,shape,scouted_opponent
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Drew Daoust, Seth Miron, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Grant Manz, Josiah Butler, Logan Baumgartner, Max Raimer",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, James Jacobs, Josh Bocher, Max Raimer, Seth Miron",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Isaiah Moore, Josiah Butler, Max Raimer, Seth Miron",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Josiah Butler, Logan Baumgartner, Max Raimer, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Grant Manz, Logan Baumgartner, Max Raimer, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, James Jacobs, Josiah Butler, Logan Baumgartner",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Isaiah Moore, Josiah Butler, Seth Miron, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Drew Daoust, Logan Baumgartner, Max Raimer, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Drew Daoust, Grant Manz, James Jacobs, Logan Baumgartner, Max Raimer",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Josh Bocher, Logan Baumgartner, Seth Miron",Two-big lineup,,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Logan Baumgartner, Seth Miron, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Grant Manz, Josiah Butler, Seth Miron",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Isaiah Moore, Max Raimer, Seth Miron, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Austin Schaumburg, Drew Daoust, Grant Manz, Max Raimer, Zach Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, Isaiah Moore, Josh Bocher, Josiah Butler, Seth Miron",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Grant Manz, Isaiah Moore, Logan Baumgartner, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, Josh Bocher, Josiah Butler, Max Raimer, Seth Miron",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Josh Bocher, Josiah Butler, Logan Baumgartner, Max Raimer, Seth Miron",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Austin Schaumburg, Brandon Tilley, Dylan Taylor, Emmitt Huhn, Nick Fox",Small / shooting five (no true big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Grant Manz, Josiah Butler, Logan Baumgartner, Max Raimer",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Isaiah Moore, Logan Baumgartner, Seth Miron, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Josiah Butler, Logan Baumgartner, Max Raimer, Seth Miron, Tyler Orr",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, Josiah Butler, Logan Baumgartner, Max Raimer, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Drew Daoust, Grant Manz, Seth Miron, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Austin Schaumburg, Drew Daoust, Grant Manz, Max Raimer, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Drew Daoust, Dylan Taylor, Grant Manz, James Jacobs, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Grant Manz, Isaiah Moore, Josh Bocher, Josiah Butler",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Drew Daoust, Josh Bocher, Josiah Butler, Max Raimer",Small / shooting five (no true big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Grant Manz, Isaiah Moore, Seth Miron, Tyler Orr",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Drew Daoust, Josiah Butler, Logan Baumgartner, Seth Miron",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Isaiah Moore, Josiah Butler, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Isaiah Moore, Josiah Butler, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Drew Daoust, Josiah Butler, Logan Baumgartner, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, Isaiah Moore, James Jacobs, Max Raimer, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Josh Bocher, Logan Baumgartner, Max Raimer, Seth Miron, Tyler Orr",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Grant Manz, Isaiah Moore, Josiah Butler, Max Raimer",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Drew Daoust, Josiah Butler, Logan Baumgartner, Max Raimer, Seth Miron",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Drew Daoust, Grant Manz, Isaiah Moore, James Jacobs, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Isaiah Moore, Logan Baumgartner, Seth Miron, Shane Tarjan",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Grant Manz, Josiah Butler, Max Raimer, Seth Miron",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Josh Bocher, Josiah Butler, Seth Miron, Tyler Orr",Two-big lineup,,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Drew Daoust, Josiah Butler, Logan Baumgartner, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Isaiah Moore, Josh Bocher, Josiah Butler, Logan Baumgartner, Max Raimer",Small / shooting five (no true big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Grant Manz, Josh Bocher, Max Raimer",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Isaiah Moore, Logan Baumgartner, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, Isaiah Moore, Josh Bocher, Max Raimer, Seth Miron",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Josiah Butler, Logan Baumgartner, Max Raimer, Seth Miron, Shane Tarjan",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Dylan Taylor, Josiah Butler, Logan Baumgartner, Seth Miron",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Austin Schaumburg, Drew Daoust, Isaiah Moore, Logan Baumgartner, Shane Tarjan",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Grant Manz, Josiah Butler, Max Raimer",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Drew Daoust, Isaiah Moore, Logan Baumgartner, Seth Miron",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, Isaiah Moore, Josiah Butler, Logan Baumgartner, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Grant Manz, Isaiah Moore, James Jacobs, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Josiah Butler, Logan Baumgartner, Seth Miron, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Drew Daoust, Grant Manz, Josiah Butler, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Logan Baumgartner, Max Raimer, Seth Miron, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Grant Manz, Josh Bocher, Josiah Butler, Logan Baumgartner, Seth Miron",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Drew Daoust, Max Raimer, Seth Miron, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Drew Daoust, James Jacobs, Logan Baumgartner, Max Raimer, Tyler Orr",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Grant Manz, Isaiah Moore, Logan Baumgartner, Max Raimer",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Josh Bocher, Seth Miron, Shane Tarjan",Two-big lineup,,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Drew Daoust, Grant Manz, Josiah Butler, Max Raimer, Seth Miron",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Drew Daoust, Grant Manz, Josiah Butler, Tyler Orr",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Drew Daoust, Logan Baumgartner, Max Raimer",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Austin Schaumburg, Drew Daoust, James Jacobs, Max Raimer, Tyler Orr",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Josiah Butler, Logan Baumgartner, Max Raimer, Tyler Orr",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Isaiah Moore, Seth Miron, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Isaiah Moore, Josiah Butler, Logan Baumgartner, Max Raimer",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Isaiah Moore, Josiah Butler, Max Raimer, Shane Tarjan",4G-1W,4G-1W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Drew Daoust, Grant Manz, Josiah Butler, Max Raimer",3G-2W,3G-2W,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Josh Bocher, Josiah Butler, Seth Miron, Tyler Orr",Base five (one big),,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Carter Combs, Drew Daoust, Josiah Butler, Max Raimer, Seth Miron",5G,5G,UW-Stevens Point Pointers
Opponent,UW-Stevens Point Pointers,"Cal Krohn, Carter Combs, Josh Bocher, Max Raimer, Tyler Orr",Base five (one big),,UW-Stevens Point Pointers
