clip_key,game_date,clip_number,offense_team,defense_team,play_title,suggested_title,synergy_string,result,points,frames,fps,holders,screen,screen_type,set_id
2026-01-03|14|32 Luke Bara > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,14,UW-Whitewater,UW-Oshkosh Titans,5out(ds):m2m,5 out(ds): m2m (rj),32 Luke Bara > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,37,2,{},,,
2026-01-03|15|11 Jay Dalton > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,15,UW-Oshkosh Titans,UW-Whitewater,5out(bs):m2m(switch),5 out(bs): m2m (rj),11 Jay Dalton > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,47,2,{},,,UW-Oshkosh T set 3
2026-01-03|16|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,16,UW-Whitewater,UW-Oshkosh Titans,5out(bs-slip):Press(m2m),5 out: press - m2m (rj),15 Collin Madson > Non Possession > Non Shooting Foul,Non Shooting Foul,,49,2,{},"{""screener"": 14, ""screened"": 27, ""screened_defender"": 25, ""screener_defender"": 1, ""t"": 45, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 6
2026-01-03|17|24 Richie Warren > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,2026-01-03,17,UW-Whitewater,UW-Oshkosh Titans,blob(line):m2m,blob-5 out: m2m (rj),24 Richie Warren > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,Miss 2 Pts,0.0,37,2,{},"{""screener"": 7, ""screened"": 14, ""screened_defender"": 6, ""screener_defender"": 10, ""t"": 19, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|18|0 Brandon Beck > Spot-Up > Drives Left > To Basket > Turnover,2026-01-03,18,UW-Oshkosh Titans,UW-Whitewater,tran:m2m,5 out: m2m (rj),0 Brandon Beck > Spot-Up > Drives Left > To Basket > Turnover,Turnover,0.0,60,2,{},"{""screener"": 17, ""screened"": 12, ""screened_defender"": 15, ""screener_defender"": 16, ""t"": 42, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|19|15 Collin Madson > Transition > Ballhandler > To Basket > Make 2 Pts,2026-01-03,19,UW-Whitewater,UW-Oshkosh Titans,::press(rj),5 out: press - m2m (rj),15 Collin Madson > Transition > Ballhandler > To Basket > Make 2 Pts,Make 2 Pts,2.0,25,2,{},,,
2026-01-03|20|4 Michael Metcalf-Grassman > Non Possession > Non Shooting Foul,2026-01-03,20,UW-Oshkosh Titans,UW-Whitewater,::m2m,5 out: m2m (rj),4 Michael Metcalf-Grassman > Non Possession > Non Shooting Foul,Non Shooting Foul,,60,2,{},"{""screener"": 33, ""screened"": 36, ""screened_defender"": 20, ""screener_defender"": 18, ""t"": 55, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Oshkosh T set 1
2026-01-03|21|5 Matt Imig > Non Possession > No Violation,2026-01-03,21,UW-Oshkosh Titans,UW-Whitewater,blob(box-cornercut-flash):m2m,5 out: m2m (rj),5 Matt Imig > Non Possession > No Violation,No Violation,,59,2,{},,,
2026-01-03|22|5 Matt Imig > Spot-Up > Drives Straight > Dribble Jumper > Long/3pt > Miss 3 Pts,2026-01-03,22,UW-Oshkosh Titans,UW-Whitewater,slob(bs):m2m (Stay),5 out: m2m (rj),5 Matt Imig > Spot-Up > Drives Straight > Dribble Jumper > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,53,2,{},,,
2026-01-03|23|20 Vitorio Dante > Non Possession > Shot Clock Violation,2026-01-03,23,UW-Oshkosh Titans,UW-Whitewater,Vitorio Dante,5 out: m2m (rj),20 Vitorio Dante > Non Possession > Shot Clock Violation,Shot Clock Violation,0.0,31,2,{},,,UW-Oshkosh T set 1
2026-01-03|24|32 Luke Bara > Non Possession > No Violation,2026-01-03,24,UW-Whitewater,UW-Oshkosh Titans,:;press(rj),5 out: press - m2m (rj),32 Luke Bara > Non Possession > No Violation,No Violation,,55,2,{},"{""screener"": 17, ""screened"": 26, ""screened_defender"": 28, ""screener_defender"": 27, ""t"": 39, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 1
2026-01-03|25|21 Brock Marino > Post-Up > Flash Middle > Post Pin > Dribble Move > To Basket > Miss 2 Pts,2026-01-03,25,UW-Whitewater,UW-Oshkosh Titans,blob: m2m,5 out(post): m2m (rj),21 Brock Marino > Post-Up > Flash Middle > Post Pin > Dribble Move > To Basket > Miss 2 Pts,Miss 2 Pts,0.0,25,2,{},,,
2026-01-03|26|23 Oskar Kangas > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Matt Imig > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,26,UW-Oshkosh Titans,UW-Whitewater,bs:m2m(switch),5 out-Ball Screen(bs): m2m (rj),23 Oskar Kangas > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Matt Imig > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,43,2,{},,,
2026-01-03|27|15 Collin Madson > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,2026-01-03,27,UW-Whitewater,UW-Oshkosh Titans,5out(ds):press(rj),5 out(post): press - m2m (rj),15 Collin Madson > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,Miss 2 Pts,0.0,60,2,{},"{""screener"": 25, ""screened"": 18, ""screened_defender"": 23, ""screener_defender"": 20, ""t"": 26, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 4
2026-01-03|28|5 Matt Imig > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,28,UW-Oshkosh Titans,UW-Whitewater,tran,tran,5 Matt Imig > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,15,2,{},,,
2026-01-03|29|32 Luke Bara > No Play Type > Turnover,2026-01-03,29,UW-Whitewater,UW-Oshkosh Titans,:press(rj),5 out: press - m2m (rj),32 Luke Bara > No Play Type > Turnover,Turnover,0.0,55,2,{},"{""screener"": 22, ""screened"": 19, ""screened_defender"": 18, ""screener_defender"": null, ""t"": 33, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 2
2026-01-03|30|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,30,UW-Oshkosh Titans,UW-Whitewater,double bs:(under),5 out(bs): m2m (rj),2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,31,2,"{""8"": 5}",,,UW-Oshkosh T set 4
2026-01-03|31|24 Richie Warren > Non Possession > No Violation,2026-01-03,31,UW-Whitewater,UW-Oshkosh Titans,:press(rj),5 out: press - m2m (rj),24 Richie Warren > Non Possession > No Violation,No Violation,,27,2,{},,,
2026-01-03|32|10 Darius Chestnut > No Play Type > Dribble Jumper > Long/3pt > Miss 3 Pts,2026-01-03,32,UW-Whitewater,UW-Oshkosh Titans,5out(stagger-bs):press(rj)(switch),5 out: press - m2m (rj),10 Darius Chestnut > No Play Type > Dribble Jumper > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,60,2,{},,,UW-Whitewate set 4
2026-01-03|33|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Logan Rindfleisch > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,33,UW-Oshkosh Titans,UW-Whitewater,double bs:m2m(show&GB),5 out(bs): m2m (rj),5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Logan Rindfleisch > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,37,2,{},,,
2026-01-03|34|15 Collin Madson > Transition > Left Wing > To Basket > Miss 2 Pts,2026-01-03,34,UW-Whitewater,UW-Oshkosh Titans,::press(rj),5 out: press - m2m (rj),15 Collin Madson > Transition > Left Wing > To Basket > Miss 2 Pts,Miss 2 Pts,0.0,43,2,{},,,
2026-01-03|35|12 Jake Quast > Cut > Basket > Miss 2 Pts,2026-01-03,35,UW-Whitewater,UW-Oshkosh Titans,blob(line):m2m,blob-5 out(cut): m2m (rj),12 Jake Quast > Cut > Basket > Miss 2 Pts,Miss 2 Pts,0.0,29,2,{},,,
2026-01-03|36|21 Carter Thomas > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,36,UW-Oshkosh Titans,UW-Whitewater,tran,5 out: m2m (rj),21 Carter Thomas > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,19,2,{},,,
2026-01-03|37|10 Darius Chestnut > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,37,UW-Whitewater,UW-Oshkosh Titans,5out(ds):m2m(rj),5 out: m2m (rj),10 Darius Chestnut > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,51,2,"{""2"": 0}",,,
2026-01-03|38|4 Michael Metcalf-Grassman > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,2026-01-03,38,UW-Oshkosh Titans,UW-Whitewater,bs:m2m (drop),5 out-Ball Screen(ds): m2m (rj),4 Michael Metcalf-Grassman > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,53,2,"{""9"": 8}",,,
2026-01-03|39|15 Collin Madson > Transition > Ballhandler > To Basket > Make 2 Pts,2026-01-03,39,UW-Whitewater,UW-Oshkosh Titans,tran,5 out: m2m (rj),15 Collin Madson > Transition > Ballhandler > To Basket > Make 2 Pts,Make 2 Pts,2.0,9,2,{},,,
2026-01-03|40|21 Carter Thomas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,40,UW-Oshkosh Titans,UW-Whitewater,::m2m,5 out: m2m (rj),21 Carter Thomas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,43,2,{},,,
2026-01-03|41|15 Collin Madson > Non Possession > No Violation,2026-01-03,41,UW-Whitewater,UW-Oshkosh Titans,5out(bs):m2m(switch),5 out: m2m (rj),15 Collin Madson > Non Possession > No Violation,No Violation,,60,2,{},,,
2026-01-03|42|12 Jake Quast > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 10 Darius Chestnut > Spot-Up > Drives Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,2026-01-03,42,UW-Whitewater,UW-Oshkosh Titans,slob:m2m,5 out(post): m2m (rj),12 Jake Quast > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 10 Darius Chestnut > Spot-Up > Drives Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,Miss 2 Pts,0.0,41,2,{},,,
2026-01-03|43|13 Logan Rindfleisch > No Play Type > Turnover,2026-01-03,43,UW-Oshkosh Titans,UW-Whitewater,bs(stay):m2m(over),5 out-Ball Screen: m2m (rj),13 Logan Rindfleisch > No Play Type > Turnover,Turnover,0.0,45,2,{},"{""screener"": 15, ""screened"": 20, ""screened_defender"": 16, ""screener_defender"": null, ""t"": 27, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Oshkosh T set 3
2026-01-03|44|12 Jake Quast > Transition > Right Wing > Dribble Jumper > Long/3pt > Miss 3 Pts,2026-01-03,44,UW-Whitewater,UW-Oshkosh Titans,::press(rj),5 out: press - m2m (rj),12 Jake Quast > Transition > Right Wing > Dribble Jumper > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,35,2,{},,,
2026-01-03|45|11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,45,UW-Whitewater,UW-Oshkosh Titans,::m2m(double madz),5 out: m2m (rj),11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,60,2,"{""27"": 17, ""28"": 17}","{""screener"": 8, ""screened"": 1, ""screened_defender"": 9, ""screener_defender"": 11, ""t"": 16, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 5
2026-01-03|46|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > Spot-Up > Drives Right > To Basket > Miss 2 Pts,2026-01-03,46,UW-Oshkosh Titans,UW-Whitewater,spain:m2m(switch),5 out(bs): m2m (rj),2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > Spot-Up > Drives Right > To Basket > Miss 2 Pts,Miss 2 Pts,0.0,33,2,{},,,
2026-01-03|48|15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,2026-01-03,48,UW-Whitewater,UW-Oshkosh Titans,cheetah:m2m(rj),5 out(bs): m2m (rj),15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,47,2,"{""22"": 9}","{""screener"": 27, ""screened"": 26, ""screened_defender"": 19, ""screener_defender"": 24, ""t"": 36, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 4
2026-01-03|49|4 Michael Metcalf-Grassman > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,49,UW-Oshkosh Titans,UW-Whitewater,::m2m,5 out: m2m (rj),4 Michael Metcalf-Grassman > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,19,2,{},,,
2026-01-03|50|15 Collin Madson > ISO > Right > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts,2026-01-03,50,UW-Whitewater,UW-Oshkosh Titans,::press(rj),5 out(iso): press - m2m (rj),15 Collin Madson > ISO > Right > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,51,2,"{""2"": 2, ""42"": 31}","{""screener"": 39, ""screened"": 31, ""screened_defender"": 34, ""screener_defender"": 32, ""t"": 43, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 4
2026-01-03|51|2 Joey LaChapell > Non Possession > No Violation,2026-01-03,51,UW-Oshkosh Titans,UW-Whitewater,::m2m,5 out: m2m (rj),2 Joey LaChapell > Non Possession > No Violation,No Violation,,35,2,{},,,
2026-01-03|52|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,2026-01-03,52,UW-Oshkosh Titans,UW-Whitewater,ATO-5out(bs):m2m (drop),5 out(bs): m2m (rj),2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,Turnover,0.0,27,2,{},,,
2026-01-03|53|24 Richie Warren > Spot-Up > Drives Right > To Basket > Make 2 Pts,2026-01-03,53,UW-Whitewater,UW-Oshkosh Titans,5out(over):m2m(rj),5 out: m2m (rj),24 Richie Warren > Spot-Up > Drives Right > To Basket > Make 2 Pts,Make 2 Pts,2.0,45,2,{},"{""screener"": 2, ""screened"": 6, ""screened_defender"": 1, ""screener_defender"": null, ""t"": 4, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 7
