defense_team,defender,approx_ft_off_man_ball side,approx_ft_off_man_on ball,approx_ft_off_man_weak side,frames_ball side,frames_on ball,frames_weak side,clips,tendency
UW-Oshkosh Titans,Brandon Beck,,6.4,6.2,,3.0,2.0,4,stays attached
UW-Oshkosh Titans,Michael Metcalf-Grassman,,4.3,21.6,,1.0,2.0,2,helps / sags off
UW-Oshkosh Titans,unnamed defense,12.7,16.5,9.7,14.0,59.0,5.0,7,in between
UW-Whitewater,Jake Quast,,23.0,2.0,,1.0,1.0,2,stays attached
UW-Whitewater,unnamed defense,12.1,9.9,14.3,10.0,5.0,3.0,5,helps / sags off
