opponent,direction,rank,team,match,features_scored,total_features,weight_covered,games,confidence,alike,differs,biggest_gaps,meetings,strip_label,strip_text,thin
Aurora Spartans,like_them,1,St. Thomas (TX) Celts,37,14,17,0.87,1,0.29,"Their defense, Scoring level",Their offense,FT rate they allow: 77.8% vs 36.2% (Aurora Spartans) | Their 3PA rate: 19.0% vs 30.2% (Aurora Spartans),"L 73-81 (Fri, Nov 14)",How we did against this style,"UWW is 2-1 against these 3 teams, averaging 88.3 scored and 70.7 allowed (+0.0 pts scored, +0.0 allowed vs UWW's season average).",False
Aurora Spartans,like_them,2,Ripon Red Hawks,34,14,17,0.87,1,0.29,"Tempo, Scoring level",Their defense,FT rate they allow: 64.7% vs 36.2% (Aurora Spartans) | Their AST per made FG: 0.58 vs 0.37 (Aurora Spartans),"W 76-58 (Fri, Nov 7)",How we did against this style,"UWW is 2-1 against these 3 teams, averaging 88.3 scored and 70.7 allowed (+0.0 pts scored, +0.0 allowed vs UWW's season average).",False
Aurora Spartans,like_them,3,Eureka Red Devils,26,14,17,0.87,1,0.29,"Tempo, Shot selection",Scoring level,Their AST per made FG: 0.58 vs 0.37 (Aurora Spartans) | Their ORB%: 18.8% vs 33.8% (Aurora Spartans),"W 116-73 (Sat, Nov 15)",How we did against this style,"UWW is 2-1 against these 3 teams, averaging 88.3 scored and 70.7 allowed (+0.0 pts scored, +0.0 allowed vs UWW's season average).",False
Aurora Spartans,like_us,1,Gustavus Adolphus Golden Gusties,48,14,17,0.87,1,0.29,"Tempo, Their offense",Their defense,FT rate they allow: 46.4% vs 33.1% (UWW) | TOV% they force: 25.6% vs 18.7% (UWW),W 84-79 (2025-11-07),How teams like us did against them,"They went 2-1 against Aurora Spartans in 3 game(s), averaging 83.3 scored and 79.7 allowed. Across all 4 of their games, Aurora Spartans allowed 76.2 per game.",False
Aurora Spartans,like_us,2,Bethany Lutheran Vikings,34,14,17,0.87,1,0.29,"Their defense, Tempo",Shot selection,Their FT rate: 15.8% vs 52.4% (UWW) | Their TOV%: 27.0% vs 17.9% (UWW),L 79-84 (2025-11-08),How teams like us did against them,"They went 2-1 against Aurora Spartans in 3 game(s), averaging 83.3 scored and 79.7 allowed. Across all 4 of their games, Aurora Spartans allowed 76.2 per game.",False
Aurora Spartans,like_us,3,Benedictine (IL) Eagles,31,14,17,0.87,1,0.29,"Their offense, Scoring level",Tempo,FT rate they allow: 58.8% vs 33.1% (UWW) | Their 3PA rate: 23.2% vs 41.0% (UWW),W 87-76 (2025-11-15),How teams like us did against them,"They went 2-1 against Aurora Spartans in 3 game(s), averaging 83.3 scored and 79.7 allowed. Across all 4 of their games, Aurora Spartans allowed 76.2 per game.",False
