lineup,GP,MIN,+/-,clean_gp,clean_min,clean_pm,per40,shrunk_per40
"Austin Ambrose, Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast",2,2.5,2.0,2,2.5,2.0,32.0,1.88
"Agape Keyes Jr., Darius Chestnut, Isaiah Robinson, Rashad Rogers, Trent Grunewald",1,2.5,-1.0,1,2.5,-1.0,-16.0,-0.94
"Collin Madson, Darius Chestnut, JR Lukenbill, Kelton McEwen, Richie Warren",1,2.5,2.0,1,2.5,2.0,32.0,1.88
"Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen",1,2.5,5.0,1,2.5,5.0,80.0,4.71
"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara",3,2.4,-10.0,3,2.4,-10.0,-166.7,-9.43
"Agape Keyes Jr., Isaiah Robinson, Rashad Rogers, Trent Grunewald, Tristian Lynch",1,2.4,-2.0,1,2.4,-2.0,-33.3,-1.89
"Isaiah Robinson, JR Lukenbill, Kelton McEwen, Luke Bara, Rashad Rogers",1,2.4,1.0,1,2.4,1.0,16.7,0.94
"Darius Chestnut, Jake Quast, Joey Berezowitz, Luke Bara, Tyshawn Teague-Johnson",1,2.4,3.0,1,2.4,3.0,50.0,2.83
"Brock Marino, Collin Madson, JR Lukenbill, Joey Berezowitz, Luke Bara",1,2.4,-1.0,1,2.4,-1.0,-16.7,-0.94
"Austin Ambrose, Collin Madson, JR Lukenbill, Luke Bara, Richie Warren",1,2.3,2.0,1,2.3,2.0,34.8,1.89
"Brock Marino, Collin Madson, JR Lukenbill, Luke Bara, Tyshawn Teague-Johnson",1,2.3,-2.0,1,2.3,-2.0,-34.8,-1.89
"Collin Madson, Darius Chestnut, Luke Bara, Rashad Rogers, Richie Warren",1,2.3,-7.0,1,2.3,-7.0,-121.7,-6.62
"Brock Marino, Collin Madson, Jake Quast, Luke Bara, Richie Warren",1,2.3,-2.0,1,2.3,-2.0,-34.8,-1.89
"Collin Madson, Joey Berezowitz, Luke Bara, Rashad Rogers, Richie Warren",1,2.2,0.0,1,2.2,0.0,0.0,0.0
"Brock Marino, Darius Chestnut, Isaac Verges, Jake Quast, Kelton McEwen",1,2.2,0.0,1,2.2,0.0,0.0,0.0
"Collin Madson, Jake Quast, Kelton McEwen, Luke Bara, Rashad Rogers",1,2.2,0.0,1,2.2,0.0,0.0,0.0
"Brock Marino, Collin Madson, Kelton McEwen, Luke Bara, Tyshawn Teague-Johnson",1,2.2,-2.0,1,2.2,-2.0,-36.4,-1.9
"Agape Keyes Jr., Isaiah Robinson, Matthew McKay, Mikey Wildes, Trent Grunewald",1,2.2,2.0,1,2.2,2.0,36.4,1.9
"Brock Marino, Collin Madson, Joey Berezowitz, Kelton McEwen, Richie Warren",3,2.2,-3.0,3,2.2,-3.0,-54.5,-2.84
"Agape Keyes Jr., Austin Ambrose, Darius Chestnut, Isaiah Robinson, Trent Grunewald",1,2.1,0.0,1,2.1,0.0,0.0,0.0
"Austin Ambrose, Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz",1,2.1,-2.0,1,2.1,-2.0,-38.1,-1.9
"Brock Marino, Collin Madson, Darius Chestnut, Jake Quast, Joey Berezowitz",2,2.1,4.0,2,2.1,4.0,76.2,3.8
"Collin Madson, Darius Chestnut, Jake Quast, Joey Berezowitz, Richie Warren",2,2.0,7.0,2,2.0,7.0,140.0,6.67
"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Richie Warren",2,2.0,-2.0,2,2.0,-2.0,-40.0,-1.9
"Collin Madson, Isaac Verges, Jake Quast, Luke Bara, Rashad Rogers",2,2.0,-2.0,2,2.0,-2.0,-40.0,-1.9
"Collin Madson, Isaac Verges, Jake Quast, Luke Bara, Richie Warren",2,2.0,-4.0,2,2.0,-4.0,-80.0,-3.81
"Collin Madson, JR Lukenbill, Kelton McEwen, Luke Bara, Richie Warren",1,1.9,2.0,1,1.9,2.0,42.1,1.91
"Agape Keyes Jr., Mikey Wildes, Rashad Rogers, Trent Grunewald, Zay Howard",1,1.9,3.0,1,1.9,3.0,63.2,2.86
"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Kelton McEwen",2,1.9,5.0,2,1.9,5.0,105.3,4.77
"Jake Quast, Joey Berezowitz, Kelton McEwen, Rashad Rogers, Tyshawn Teague-Johnson",1,1.9,-1.0,1,1.9,-1.0,-21.1,-0.95
"Collin Madson, Darius Chestnut, JR Lukenbill, Luke Bara, Tyshawn Teague-Johnson",1,1.8,-5.0,1,1.8,-5.0,-111.1,-4.78
"Collin Madson, Darius Chestnut, Jake Quast, Joey Berezowitz, Rashad Rogers",1,1.8,-4.0,1,1.8,-4.0,-88.9,-3.83
"Agape Keyes Jr., Isaiah Robinson, Mikey Wildes, Rashad Rogers, Trent Grunewald",1,1.8,1.0,1,1.8,1.0,22.2,0.96
"Brock Marino, Collin Madson, Darius Chestnut, Jake Quast, Luke Bara",1,1.8,-2.0,1,1.8,-2.0,-44.4,-1.91
"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Tyshawn Teague-Johnson",1,1.8,2.0,1,1.8,2.0,44.4,1.91
"Collin Madson, Isaac Verges, JR Lukenbill, Jake Quast, Joey Berezowitz",2,1.8,4.0,2,1.8,4.0,88.9,3.83
"Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz, Rashad Rogers",1,1.8,4.0,1,1.8,4.0,88.9,3.83
"Brock Marino, Collin Madson, Isaac Verges, Joey Berezowitz, Richie Warren",2,1.7,2.0,2,1.7,2.0,47.1,1.92
"Darius Chestnut, Jake Quast, Joey Berezowitz, Kelton McEwen, Rashad Rogers",1,1.7,1.0,1,1.7,1.0,23.5,0.96
"Collin Madson, Darius Chestnut, Isaac Verges, JR Lukenbill, Rashad Rogers",1,1.6,2.0,1,1.6,2.0,50.0,1.92
"Collin Madson, Darius Chestnut, JR Lukenbill, Jake Quast, Luke Bara",1,1.6,-2.0,1,1.6,-2.0,-50.0,-1.92
"Austin Ambrose, Collin Madson, Darius Chestnut, Jake Quast, Joey Berezowitz",1,1.6,4.0,1,1.6,4.0,100.0,3.85
"Collin Madson, Isaac Verges, Jake Quast, Kelton McEwen, Richie Warren",1,1.6,-2.0,1,1.6,-2.0,-50.0,-1.92
"Brock Marino, Darius Chestnut, Kelton McEwen, Mauryon Turner, Richie Warren",1,1.6,-3.0,1,1.6,-3.0,-75.0,-2.88
"Agape Keyes Jr., Isaiah Robinson, Matthew McKay, Rashad Rogers, Trent Grunewald",1,1.6,3.0,1,1.6,3.0,75.0,2.88
"Agape Keyes Jr., Isaiah Robinson, Matthew McKay, Trent Grunewald, Tristian Lynch",1,1.6,-6.0,1,1.6,-6.0,-150.0,-5.77
"Austin Ambrose, Darius Chestnut, Joey Berezowitz, Kelton McEwen, Richie Warren",1,1.6,-3.0,1,1.6,-3.0,-75.0,-2.88
"JR Lukenbill, Jake Quast, Joey Berezowitz, Luke Bara, Rashad Rogers",1,1.6,3.0,1,1.6,3.0,75.0,2.88
"Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren, Tyshawn Teague-Johnson",1,1.5,4.0,1,1.5,4.0,106.7,3.86
"JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen, Richie Warren",1,1.5,4.0,1,1.5,4.0,106.7,3.86
"Brock Marino, JR Lukenbill, Joey Berezowitz, Luke Bara, Richie Warren",1,1.5,5.0,1,1.5,5.0,133.3,4.82
"Austin Ambrose, Darius Chestnut, Isaac Verges, Kelton McEwen, Richie Warren",1,1.4,1.0,1,1.4,1.0,28.6,0.97
"Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, Richie Warren",1,1.4,1.0,1,1.4,1.0,28.6,0.97
"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Tyshawn Teague-Johnson",1,1.4,-3.0,1,1.4,-3.0,-85.7,-2.9
"Brock Marino, Darius Chestnut, Isaac Verges, Luke Bara, Mauryon Turner",1,1.4,2.0,1,1.4,2.0,57.1,1.93
"Brock Marino, Collin Madson, JR Lukenbill, Jake Quast, Luke Bara",1,1.4,4.0,1,1.4,4.0,114.3,3.86
"Collin Madson, JR Lukenbill, Joey Berezowitz, Kelton McEwen, Rashad Rogers",2,1.4,3.0,2,1.4,3.0,85.7,2.9
"Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz, Richie Warren",1,1.4,1.0,1,1.4,1.0,28.6,0.97
"Brock Marino, Collin Madson, Joey Berezowitz, Kelton McEwen, Tyshawn Teague-Johnson",1,1.4,4.0,1,1.4,4.0,114.3,3.86
"Collin Madson, Isaac Verges, Jake Quast, Rashad Rogers, Richie Warren",1,1.3,5.0,1,1.3,5.0,153.8,4.84
"Collin Madson, JR Lukenbill, Jake Quast, Luke Bara, Richie Warren",1,1.3,-1.0,1,1.3,-1.0,-30.8,-0.97
"Austin Ambrose, Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren",1,1.3,3.0,1,1.3,3.0,92.3,2.91
"Collin Madson, Darius Chestnut, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",1,1.3,3.0,1,1.3,3.0,92.3,2.91
"Austin Ambrose, Collin Madson, JR Lukenbill, Joey Berezowitz, Richie Warren",1,1.3,-1.0,1,1.3,-1.0,-30.8,-0.97
"Collin Madson, Jake Quast, Kelton McEwen, Luke Bara, Tyshawn Teague-Johnson",1,1.3,2.0,1,1.3,2.0,61.5,1.94
"Brock Marino, Collin Madson, Darius Chestnut, Luke Bara, Tyshawn Teague-Johnson",1,1.3,-2.0,1,1.3,-2.0,-61.5,-1.94
"Agape Keyes Jr., Isaiah Robinson, Mikey Wildes, Trent Grunewald, Zay Howard",1,1.2,-5.0,1,1.2,-5.0,-166.7,-4.85
"JR Lukenbill, Jake Quast, Joey Berezowitz, Luke Bara, Richie Warren",1,1.2,0.0,1,1.2,0.0,0.0,0.0
"JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen, Rashad Rogers",1,1.2,0.0,1,1.2,0.0,0.0,0.0
"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Joey Berezowitz",1,1.2,3.0,1,1.2,3.0,100.0,2.91
"Darius Chestnut, JR Lukenbill, Kelton McEwen, Rashad Rogers, Tyshawn Teague-Johnson",1,1.2,-3.0,1,1.2,-3.0,-100.0,-2.91
"Darius Chestnut, Isaac Verges, Jake Quast, Luke Bara, Rashad Rogers",1,1.1,5.0,1,1.1,5.0,181.8,4.87
"Brock Marino, Isaiah Robinson, Jake Quast, Kelton McEwen, Trent Grunewald",1,1.1,0.0,1,1.1,0.0,0.0,0.0
"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Kelton McEwen",2,1.0,-2.0,2,1.0,-2.0,-80.0,-1.95
"Collin Madson, Isaac Verges, Kelton McEwen, Luke Bara, Rashad Rogers",1,1.0,4.0,1,1.0,4.0,160.0,3.9
"Collin Madson, JR Lukenbill, Luke Bara, Rashad Rogers, Richie Warren",1,1.0,3.0,1,1.0,3.0,120.0,2.93
"Collin Madson, Darius Chestnut, Isaac Verges, Rashad Rogers, Richie Warren",1,1.0,4.0,1,1.0,4.0,160.0,3.9
"Jake Quast, Joey Berezowitz, Luke Bara, Rashad Rogers, Richie Warren",1,0.9,2.0,1,0.9,2.0,88.9,1.96
"Agape Keyes Jr., Isaiah Robinson, Kelton McEwen, Mauryon Turner, Rashad Rogers",1,0.9,0.0,1,0.9,0.0,0.0,0.0
"Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast, Rashad Rogers",2,0.8,-2.0,2,0.8,-2.0,-100.0,-1.96
"Brock Marino, Collin Madson, Isaac Verges, Kelton McEwen, Richie Warren",1,0.8,2.0,1,0.8,2.0,100.0,1.96
"Isaac Verges, Jake Quast, Joey Berezowitz, Rashad Rogers, Tyshawn Teague-Johnson",1,0.8,0.0,1,0.8,0.0,0.0,0.0
"Collin Madson, Isaac Verges, JR Lukenbill, Jake Quast, Rashad Rogers",1,0.8,-2.0,1,0.8,-2.0,-100.0,-1.96
"Brock Marino, Collin Madson, Darius Chestnut, JR Lukenbill, Joey Berezowitz",1,0.8,-3.0,1,0.8,-3.0,-150.0,-2.94
"Brock Marino, Isaac Verges, JR Lukenbill, Jake Quast, Luke Bara",1,0.7,0.0,1,0.7,0.0,0.0,0.0
"Darius Chestnut, Isaac Verges, JR Lukenbill, Luke Bara, Rashad Rogers",1,0.7,-1.0,1,0.7,-1.0,-57.1,-0.98
"Brock Marino, Joey Berezowitz, Kelton McEwen, Luke Bara, Tyshawn Teague-Johnson",1,0.6,-2.0,1,0.6,-2.0,-133.3,-1.97
"Collin Madson, Joey Berezowitz, Kelton McEwen, Richie Warren, Tyshawn Teague-Johnson",1,0.6,0.0,1,0.6,0.0,0.0,0.0
"Darius Chestnut, Isaiah Robinson, Jake Quast, Kelton McEwen, Tyshawn Teague-Johnson",1,0.6,-1.0,1,0.6,-1.0,-66.7,-0.99
"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Joey Berezowitz",1,0.5,-3.0,1,0.5,-3.0,-240.0,-2.96
"Darius Chestnut, Isaac Verges, Jake Quast, Kelton McEwen, Rashad Rogers",1,0.5,2.0,1,0.5,2.0,160.0,1.98
"Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Tyshawn Teague-Johnson",1,0.5,-4.0,1,0.5,-4.0,-320.0,-3.95
"Isaiah Robinson, Kelton McEwen, Rashad Rogers, Richie Warren, Trent Grunewald",1,0.5,2.0,1,0.5,2.0,160.0,1.98
"Agape Keyes Jr., Isaiah Robinson, Mikey Wildes, Trent Grunewald, Tristian Lynch",1,0.5,0.0,1,0.5,0.0,0.0,0.0
"Brock Marino, Darius Chestnut, Jake Quast, Luke Bara, Richie Warren",1,0.4,0.0,1,0.4,0.0,0.0,0.0
"Collin Madson, Isaac Verges, JR Lukenbill, Jake Quast, Richie Warren",2,0.4,2.0,2,0.4,2.0,200.0,1.98
"Isaac Verges, JR Lukenbill, Jake Quast, Rashad Rogers, Richie Warren",1,0.4,-2.0,1,0.4,-2.0,-200.0,-1.98
"Collin Madson, Darius Chestnut, Isaac Verges, JR Lukenbill, Luke Bara",1,0.4,-2.0,1,0.4,-2.0,-200.0,-1.98
"Brock Marino, Collin Madson, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",1,0.4,0.0,1,0.4,0.0,0.0,0.0
"Austin Ambrose, Collin Madson, Darius Chestnut, JR Lukenbill, Joey Berezowitz",1,0.3,0.0,1,0.3,0.0,0.0,0.0
"Brock Marino, Isaac Verges, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",1,0.3,-2.0,1,0.3,-2.0,-266.7,-1.99
"Agape Keyes Jr., Darius Chestnut, Isaiah Robinson, Rashad Rogers, Tyshawn Teague-Johnson",1,0.3,2.0,1,0.3,2.0,266.7,1.99
"Brock Marino, Darius Chestnut, Isaac Verges, JR Lukenbill, Kelton McEwen",1,0.3,0.0,1,0.3,0.0,0.0,0.0
"Darius Chestnut, Isaac Verges, Jake Quast, Joey Berezowitz, Rashad Rogers",1,0.3,2.0,1,0.3,2.0,266.7,1.99
"Brock Marino, Collin Madson, Jake Quast, Kelton McEwen, Luke Bara",1,0.2,0.0,1,0.2,0.0,0.0,0.0
"Brock Marino, Collin Madson, JR Lukenbill, Kelton McEwen, Richie Warren",1,0.2,-2.0,1,0.2,-2.0,-400.0,-1.99
"Brock Marino, Collin Madson, Isaac Verges, Kelton McEwen, Luke Bara",1,0.2,8.0,1,0.2,8.0,1600.0,7.96
"Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast, Richie Warren",1,0.2,-1.0,1,0.2,-1.0,-200.0,-1.0
"JR Lukenbill, Joey Berezowitz, Kelton McEwen, Luke Bara, Rashad Rogers",1,0.1,-2.0,1,0.1,-2.0,-800.0,-2.0
"Agape Keyes Jr., Isaiah Robinson, Rashad Rogers, Trent Grunewald, Tyshawn Teague-Johnson",1,0.1,3.0,1,0.1,3.0,1200.0,2.99
"Collin Madson, Isaac Verges, Kelton McEwen, Rashad Rogers, Richie Warren",1,0.1,-1.0,1,0.1,-1.0,-400.0,-1.0
"Isaac Verges, JR Lukenbill, Jake Quast, Kelton McEwen, Richie Warren",1,0.1,-2.0,1,0.1,-2.0,-800.0,-2.0
"Collin Madson, Kelton McEwen, Luke Bara, Rashad Rogers, Richie Warren",1,0.1,4.0,1,0.1,4.0,1600.0,3.99
"Darius Chestnut, Kelton McEwen, Mauryon Turner, Rashad Rogers, Richie Warren",1,0.0,0.0,1,0.0,0.0,,0.0
"Brock Marino, Isaiah Robinson, JR Lukenbill, Jake Quast, Kelton McEwen",1,0.0,0.0,1,0.0,0.0,,0.0
"Agape Keyes Jr., Isaac Verges, Kelton McEwen, Mauryon Turner, Rashad Rogers",1,0.0,0.0,1,0.0,0.0,,0.0
"Agape Keyes Jr., Brock Marino, Darius Chestnut, Isaiah Robinson, Trent Grunewald",1,0.0,0.0,1,0.0,0.0,,0.0
"Collin Madson, Darius Chestnut, JR Lukenbill, Joey Berezowitz, Luke Bara",1,0.0,-2.0,1,0.0,-2.0,,-2.0
"Brock Marino, Darius Chestnut, Isaac Verges, JR Lukenbill, Jake Quast",1,0.0,0.0,1,0.0,0.0,,0.0
