lineup,GP,MIN,+/-,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,FG%,3P%,FT%
"Damyen Jackson, Deng Makeer, Gavin Sarvis, Johnny Semany, Nolan Berendes",4,45.5,-1.0,8,2,4,0,1,4,5,2,4,6,1,1,2,3,0,50.0,0.0,80.0
"Connor Mosele, Damyen Jackson Commits Foul, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,43.8,-2.0,11,4,11,1,6,2,2,0,7,7,4,0,0,3,3,36.4,16.7,100.0
"Connor Mosele, Dylan Kurt, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,42.6,-2.0,20,6,9,3,6,5,6,1,7,8,5,1,0,3,4,66.7,50.0,83.3
"Connor Mosele, Damyen Jackson, Deng Makeer, Jack Haynes, Nolan Berendes",2,42.0,4.0,9,1,11,0,5,7,7,3,5,8,0,0,0,0,3,9.1,0.0,100.0
"Deng Makeer, Dylan Kurt, Emmett Loew, Kyle Kober, Nolan Berendes",3,41.4,3.0,20,5,10,4,9,6,8,4,2,6,3,1,0,0,1,50.0,44.4,75.0
"Athan Berchos, Deng Makeer, Emmett Loew, Jack Haynes, Nolan Berendes",1,40.6,0.0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0.0,0.0,
"Cooper Grams, Ethan Meyer, Gavin Sarvis, Jim Navarrete, Patrick Quarnstrom",1,40.5,-36.0,10,2,6,1,2,5,7,1,4,5,0,0,2,1,4,33.3,50.0,71.4
"Damyen Jackson, Dylan Kurt, Gavin Sarvis, Jack Haynes, Nolan Berendes",7,40.4,1.0,24,9,21,2,7,4,5,8,7,15,5,3,1,4,1,42.9,28.6,80.0
"Damyen Jackson, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes",4,39.4,-21.0,29,12,40,0,9,5,11,11,8,19,6,5,1,3,8,30.0,0.0,45.5
"Damyen Jackson, Deng Makeer, Emmett Loew, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes",1,38.8,-13.0,22,10,24,2,11,0,1,3,6,9,6,2,1,3,3,41.7,18.2,0.0
"Brock Massey, Gavin Sarvis, Jack Haynes, Johnny Semany, Patrick Coen",1,38.2,-3.0,5,2,6,1,3,0,0,1,3,4,1,0,0,0,2,33.3,33.3,
"Brock Massey, Connor Mosele, Damyen Jackson, Deng Makeer, Dylan Kurt",1,36.8,2.0,2,1,4,0,2,0,0,0,3,3,1,1,0,0,0,25.0,0.0,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Jack Haynes, Nolan Berendes",4,36.2,3.0,8,3,9,2,5,0,1,3,3,6,2,0,1,3,2,33.3,40.0,0.0
"Brock Massey, Damyen Jackson, Jack Haynes, Johnny Semany, Kyle Kober",2,36.0,0.0,5,0,1,0,0,5,5,1,3,4,0,0,0,1,1,0.0,,100.0
"Brock Massey, Damyen Jackson Commits Foul, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,35.7,0.0,6,3,13,0,5,0,0,6,2,8,1,1,0,1,2,23.1,0.0,
"Brock Massey, Dylan Kurt, Gavin Sarvis, Lukas Balling, Patrick Quarnstrom",1,35.6,2.0,11,4,5,2,3,1,1,0,3,3,4,0,0,1,3,80.0,66.7,100.0
"Brock Massey, Deng Makeer, Jack Haynes, Nolan Berendes, Patrick Coen",1,35.6,-6.0,12,4,4,3,3,1,1,0,1,1,2,0,0,0,1,100.0,100.0,100.0
"Brock Massey, Dylan Kurt, Gavin Sarvis, Johnny Semany, Nolan Berendes",3,35.2,-14.0,16,6,14,2,3,2,4,4,3,7,3,4,0,1,4,42.9,66.7,50.0
"Damyen Jackson Commits Foul, Deng Makeer, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,34.9,0.0,6,1,4,1,3,3,4,3,4,7,1,0,0,0,0,25.0,33.3,75.0
"Emmett Loew, Gavin Sarvis, Jack Haynes, Kyle Kober, Nolan Berendes",6,34.7,6.0,52,20,43,5,13,7,9,10,10,20,10,13,0,8,12,46.5,38.5,77.8
"Dylan Kurt, Emmett Loew, Gavin Sarvis, Kyle Kober, Nolan Berendes",3,34.1,1.0,6,0,1,0,1,6,8,1,2,3,0,1,0,1,2,0.0,0.0,75.0
"Emmett Loew, Gavin Sarvis, Jack Haynes, Johnny Semany, Nolan Berendes",2,34.1,1.0,6,1,4,0,1,4,5,1,2,3,0,0,0,1,1,25.0,0.0,80.0
"Brock Massey, Gavin Sarvis, Jack Haynes, Johnny Semany, Nolan Berendes",1,33.6,0.0,0,0,2,0,0,0,2,1,0,1,0,0,0,1,1,0.0,,0.0
"Deng Makeer, Emmett Loew, Gavin Sarvis, Kyle Kober, Nolan Berendes",2,33.3,0.0,11,4,7,3,4,0,0,1,2,3,4,0,0,3,4,57.1,75.0,
"Dylan Kurt, Emmett Loew, Jack Haynes, Kyle Kober, Nolan Berendes",4,32.6,2.0,6,2,5,0,2,2,2,1,2,3,1,1,0,1,2,40.0,0.0,100.0
"Brock Massey, Damyen Jackson, Gavin Sarvis, Jack Haynes, Johnny Semany",1,32.2,0.0,3,1,2,0,0,1,1,1,1,2,0,0,0,1,0,50.0,,100.0
"Dylan Kurt, Jack Haynes, Kyle Kober, Nolan Berendes, Patrick Quarnstrom",1,32.2,-2.0,6,2,3,1,2,1,2,1,2,3,2,1,2,0,0,66.7,50.0,50.0
"Brock Massey, Dylan Kurt, Gavin Sarvis, Johnny Semany, Kyle Kober",1,32.1,-3.0,5,1,2,0,0,3,4,1,1,2,0,0,0,0,2,50.0,,75.0
"Brock Massey, Dylan Kurt, Emmett Loew, Gavin Sarvis, Lukas Balling",1,31.8,0.0,8,3,11,0,3,2,2,3,7,10,1,1,1,5,3,27.3,0.0,100.0
"Brock Massey, Deng Makeer, Dylan Kurt, Kyle Kober, Nolan Berendes",2,31.7,6.0,12,4,9,1,3,3,4,1,2,3,1,1,0,0,3,44.4,33.3,75.0
"Brock Massey, Deng Makeer, Gavin Sarvis, Jack Haynes, Kyle Kober",1,31.6,-4.0,6,0,1,0,1,6,8,2,0,2,0,1,0,0,0,0.0,0.0,75.0
"Brock Massey, Connor Mosele, Deng Makeer, Kyle Kober, Nolan Berendes",1,29.7,-3.0,10,4,6,1,1,1,2,1,4,5,1,0,0,3,5,66.7,100.0,50.0
"Brock Massey, Connor Mosele, Dylan Kurt, Jack Haynes, Kyle Kober",2,29.1,3.0,2,1,3,0,1,0,0,0,2,2,0,0,0,1,2,33.3,0.0,
"Athan Berchos, Damyen Jackson, Dylan Kurt, Patrick Coen, Patrick Quarnstrom",1,29.1,7.0,15,6,13,3,6,0,0,2,4,6,3,3,0,3,2,46.2,50.0,
"Brock Massey, Commits Foul, Damyen Jackson, Deng Makeer, Nolan Berendes",1,28.6,4.0,5,2,5,0,3,1,2,2,0,2,1,1,2,1,0,40.0,0.0,50.0
"Damyen Jackson, Jack Haynes, Kyle Kober, Nolan Berendes, Patrick Quarnstrom",2,28.2,4.0,12,6,12,0,1,0,0,3,4,7,2,1,1,0,3,50.0,0.0,
"Damyen Jackson, Deng Makeer, Emmett Loew, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes, Patrick Coen",1,27.9,-5.0,22,7,17,3,5,5,6,4,7,11,2,2,2,2,3,41.2,60.0,83.3
"Brock Massey, Deng Makeer, Dylan Kurt, Kyle Kober, Patrick Coen",2,27.7,0.0,6,3,3,0,0,0,0,0,1,1,1,1,0,2,2,100.0,,
"Commits Foul, Gavin Sarvis, Jack Haynes, Johnny Semany, Nolan Berendes",1,27.1,-1.0,3,1,3,1,1,0,2,3,0,3,2,0,0,1,1,33.3,100.0,0.0
"Brock Massey, Damyen Jackson, Dylan Kurt, Gavin Sarvis, Nolan Berendes",3,27.0,-4.0,17,7,15,1,5,2,2,3,3,6,4,1,0,0,3,46.7,20.0,100.0
"Brock Massey, Damyen Jackson, Dylan Kurt, Lukas Balling, Patrick Quarnstrom",1,27.0,1.0,2,1,3,0,1,0,0,0,2,2,0,2,0,1,1,33.3,0.0,
"Dylan Kurt, Emmett Loew, Kyle Kober, Nolan Berendes, Patrick Quarnstrom",2,26.8,2.0,4,0,5,0,1,4,4,3,2,5,0,0,0,0,0,0.0,0.0,100.0
"Brock Massey, Deng Makeer, Dylan Kurt, Johnny Semany, Lukas Balling",1,26.2,0.0,5,2,3,1,2,0,0,1,1,2,1,1,0,2,1,66.7,50.0,
"Damyen Jackson, Dylan Kurt, Gavin Sarvis, Jack Haynes, Kyle Kober",3,26.1,-2.0,7,2,5,1,3,2,2,2,0,2,1,1,0,0,2,40.0,33.3,100.0
"Damyen Jackson, Deng Makeer, Dylan Kurt, Kyle Kober, Nolan Berendes",3,25.9,-3.0,2,1,2,0,1,0,2,2,0,2,2,2,0,0,1,50.0,0.0,0.0
"Athan Berchos, Deng Makeer, Dylan Kurt, Emmett Loew, Nolan Berendes",1,25.7,1.0,0,0,3,0,1,0,0,0,2,2,0,0,1,1,1,0.0,0.0,
"Deng Makeer, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober",1,25.7,-2.0,2,1,3,0,0,0,0,0,1,1,0,0,0,0,0,33.3,,
"Damyen Jackson, Emmett Loew, Jack Haynes, Lukas Balling, Patrick Quarnstrom",1,25.5,4.0,11,4,10,1,4,2,2,1,5,6,2,2,1,1,3,40.0,25.0,100.0
"Athan Berchos, Emmett Loew, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,25.4,-5.0,7,2,3,1,2,2,2,0,0,0,2,1,0,0,1,66.7,50.0,100.0
"Brock Massey, Damyen Jackson, Dylan Kurt, Johnny Semany, Nolan Berendes",1,25.3,6.0,24,9,15,5,9,1,1,0,5,5,5,3,0,0,4,60.0,55.6,100.0
"Gavin Sarvis, Jack Haynes, Johnny Semany, Nolan Berendes, Patrick Quarnstrom",1,24.6,1.0,9,2,9,2,4,3,3,1,4,5,2,1,0,0,3,22.2,50.0,100.0
"Damyen Jackson, Dylan Kurt, Jack Haynes, Lukas Balling, Nolan Berendes",1,23.2,0.0,11,5,8,1,1,0,2,1,2,3,3,1,0,0,2,62.5,100.0,0.0
"Damyen Jackson, Damyen Jackson Commits Foul, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes",1,22.5,-3.0,19,8,14,3,7,0,0,2,4,6,4,1,0,1,3,57.1,42.9,
"Commits Foul, Connor Mosele, Damyen Jackson, Jack Haynes, Kyle Kober",1,22.4,0.0,5,2,3,0,1,1,2,1,3,4,1,0,0,2,2,66.7,0.0,50.0
"Emmett Loew, Gavin Sarvis, Johnny Semany, Kyle Kober, Nolan Berendes",2,22.3,-4.0,8,3,6,2,4,0,0,0,0,0,0,1,0,1,1,50.0,50.0,
"Brock Massey, Dylan Kurt, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,22.0,4.0,4,1,1,0,0,2,2,0,1,1,0,0,0,1,2,100.0,,100.0
"Connor Mosele, Dylan Kurt, Gavin Sarvis, Johnny Semany, Patrick Quarnstrom",1,21.8,-2.0,2,1,5,0,2,0,0,2,2,4,1,0,0,1,2,20.0,0.0,
"Connor Mosele, Damyen Jackson, Gavin Sarvis, Johnny Semany, Nolan Berendes",1,21.6,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
"Connor Mosele, Deng Makeer, Jack Haynes, Kyle Kober, Nolan Berendes",1,21.1,-2.0,3,1,4,0,2,1,3,0,2,2,0,2,2,1,0,25.0,0.0,33.3
