lineup,GP,MIN,+/-,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,FG%,3P%,FT%
"Dylan Kurt, Emmett Loew, Gavin Sarvis, Nolan Berendes, Patrick Quarnstrom",1,11.2,-3.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,100.0
"Dylan Kurt, Gavin Sarvis, Johnny Semany, Kyle Kober, Nolan Berendes",3,11.1,6.0,15,4,6,3,3,4,7,2,3,5,4,3,1,0,2,66.7,100.0,57.1
"Brock Massey, Damyen Jackson, Dylan Kurt, Gavin Sarvis, Lukas Balling",1,10.9,-3.0,2,0,0,0,0,2,2,0,0,0,0,1,0,0,1,,,100.0
"Brock Massey, Deng Makeer, Emmett Loew, Kyle Kober, Patrick Quarnstrom",1,10.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Connor Mosele, Gavin Sarvis, Jack Haynes, Kyle Kober, Nolan Berendes",2,10.7,4.0,4,1,2,0,1,2,2,0,2,2,1,0,0,0,1,50.0,0.0,100.0
"Connor Mosele, Deng Makeer, Jim Navarrete, Kyle Kober, Patrick Quarnstrom",1,10.4,1.0,2,1,2,0,0,0,0,0,1,1,1,0,1,0,1,50.0,,
"Deng Makeer, Dylan Kurt, Gavin Sarvis, Jack Haynes, Johnny Semany",1,10.3,0.0,2,1,2,0,1,0,0,1,2,3,0,0,0,0,0,50.0,0.0,
"Brock Massey, Deng Makeer, Jack Haynes, Johnny Semany, Patrick Quarnstrom",1,10.2,0.0,4,2,5,0,2,0,0,0,0,0,1,1,0,1,2,40.0,0.0,
"Brock Massey, Dylan Kurt, Johnny Semany, Kyle Kober, Nolan Berendes",2,9.8,19.0,29,11,19,2,6,5,10,10,6,16,4,2,0,2,2,57.9,33.3,50.0
"Damyen Jackson Commits Foul, Gavin Sarvis, Jack Haynes, Johnny Semany, Nolan Berendes",1,9.8,3.0,8,4,6,0,0,0,0,1,3,4,1,0,0,2,2,66.7,,
"Brock Massey, Connor Mosele, Dylan Kurt, Jack Haynes, Johnny Semany",1,9.4,0.0,2,1,1,0,0,0,0,0,1,1,1,0,0,1,1,100.0,,
"Brock Massey, Connor Mosele, Deng Makeer, Kyle Kober, Patrick Quarnstrom",1,9.4,2.0,5,1,1,1,1,2,2,0,1,1,0,0,0,2,0,100.0,100.0,100.0
"Deng Makeer, Johnny Semany, Kyle Kober, Nolan Berendes, Patrick Coen",2,9.3,-2.0,4,2,5,0,2,0,0,2,1,3,0,0,1,0,0,40.0,0.0,
"Connor Mosele, Dylan Kurt, Gavin Sarvis, Johnny Semany, Nolan Berendes",1,9.2,-2.0,5,1,2,1,2,2,2,1,1,2,1,0,0,0,0,50.0,50.0,100.0
"Brock Massey, Damyen Jackson, Gavin Sarvis, Johnny Semany, Lukas Balling",1,9.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Damyen Jackson, Dylan Kurt, Jack Haynes, Johnny Semany, Nolan Berendes",2,9.1,-1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
"Brock Massey, Deng Makeer, Jack Haynes, Johnny Semany, Lukas Balling",1,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
"Deng Makeer, Dylan Kurt, Jack Haynes, Kyle Kober, Nolan Berendes",2,8.9,4.0,4,2,3,0,0,0,0,0,1,1,2,1,0,0,0,66.7,,
"Connor Mosele, Damyen Jackson, Jack Haynes, Kyle Kober, Nolan Berendes",1,8.6,0.0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,50.0,,
"Connor Mosele, Deng Makeer, Gavin Sarvis, Nolan Berendes, Patrick Quarnstrom",1,8.2,0.0,4,1,4,0,2,2,2,0,1,1,0,0,0,1,1,25.0,0.0,100.0
"Connor Mosele, Damyen Jackson, Deng Makeer, Gavin Sarvis, Kyle Kober",1,8.2,0.0,3,1,2,1,2,0,0,0,0,0,1,0,0,0,0,50.0,50.0,
"Brock Massey, Connor Mosele, Emmett Loew, Johnny Semany, Kyle Kober",1,7.8,12.0,2,1,2,0,1,0,2,1,4,5,0,0,0,1,1,50.0,0.0,0.0
"Brock Massey, Deng Makeer, Gavin Sarvis, Kyle Kober, Patrick Coen",1,7.8,2.0,4,1,7,0,2,2,2,3,3,6,0,1,0,2,1,14.3,0.0,100.0
"Brock Massey, Damyen Jackson, Dylan Kurt, Nolan Berendes, Patrick Quarnstrom",1,7.8,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,100.0
"Brock Massey, Deng Makeer, Dylan Kurt, Johnny Semany, Patrick Quarnstrom",1,7.8,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,,
"Damyen Jackson, Gavin Sarvis, Johnny Semany, Kyle Kober, Nolan Berendes",1,7.7,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,,
"Cooper Grams, Ethan Meyer, Jim Navarrete, Juvon Crawford, Lukas Balling",2,7.6,48.0,9,4,6,0,1,1,2,2,0,2,0,0,0,0,2,66.7,0.0,50.0
"Damyen Jackson, Deng Makeer, Jack Haynes, Kyle Kober, Nolan Berendes",3,7.6,1.0,11,2,3,1,1,6,7,2,2,4,2,1,1,1,2,66.7,100.0,85.7
"Athan Berchos, Dylan Kurt, Jack Haynes, Kyle Kober, Nolan Berendes",1,7.4,-3.0,7,2,3,1,1,2,2,1,1,2,2,1,0,0,1,66.7,100.0,100.0
"Connor Mosele, Dylan Kurt, Emmett Loew, Johnny Semany, Kyle Kober",1,7.0,-1.0,5,2,2,0,0,1,2,0,2,2,0,0,0,1,3,100.0,,50.0
"Damyen Jackson, Dylan Kurt, Gavin Sarvis, Jack Haynes, Patrick Coen",1,7.0,-3.0,8,2,4,1,2,3,3,0,3,3,1,0,0,0,1,50.0,50.0,100.0
"Brock Massey, Deng Makeer, Gavin Sarvis, Johnny Semany, Nolan Berendes",2,6.9,1.0,5,2,6,0,3,1,1,1,2,3,0,1,0,0,1,33.3,0.0,100.0
"Brock Massey, Damyen Jackson, Deng Makeer, Gavin Sarvis, Kyle Kober",1,6.8,1.0,5,1,4,0,2,3,4,2,5,7,0,0,0,0,4,25.0,0.0,75.0
"Deng Makeer, Emmett Loew, Gavin Sarvis, Jack Haynes, Johnny Semany",1,6.8,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
"Brock Massey, Dylan Kurt, Gavin Sarvis, Johnny Semany, Lukas Balling",2,6.6,-8.0,2,1,3,0,1,0,0,1,3,4,1,0,0,3,2,33.3,0.0,
"Connor Mosele, Emmett Loew, Gavin Sarvis, Jack Haynes, Kyle Kober",1,6.5,-2.0,5,2,5,0,2,1,2,3,2,5,0,0,0,2,0,40.0,0.0,50.0
"Brock Massey, Damyen Jackson, Dylan Kurt, Jack Haynes, Johnny Semany",1,6.5,-4.0,6,3,5,0,2,0,0,1,3,4,3,0,0,1,0,60.0,0.0,
"Brock Massey, Johnny Semany, Kyle Kober, Lukas Balling, Nolan Berendes",1,6.3,1.0,3,0,1,0,1,3,3,0,0,0,0,1,0,1,2,0.0,0.0,100.0
"Deng Makeer, Dylan Kurt, Kyle Kober, Nolan Berendes, Patrick Coen",2,6.3,3.0,6,2,3,0,1,2,2,2,2,4,0,0,1,1,0,66.7,0.0,100.0
"Brock Massey, Deng Makeer, Kyle Kober, Nolan Berendes, Patrick Coen",1,6.1,0.0,5,2,6,1,4,0,0,1,3,4,1,0,0,1,0,33.3,25.0,
"Brock Massey, Damyen Jackson, Gavin Sarvis, Johnny Semany, Patrick Coen",1,6.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
"Brock Massey, Connor Mosele, Dylan Kurt, Gavin Sarvis, Jack Haynes",1,6.1,0.0,0,0,1,0,1,0,0,1,2,3,0,0,0,1,0,0.0,0.0,
"Brock Massey, Johnny Semany, Kyle Kober, Nolan Berendes, Patrick Coen",2,6.0,2.0,0,0,1,0,0,0,0,1,1,2,0,0,1,1,2,0.0,,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Jack Haynes, Johnny Semany",1,6.0,1.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,100.0
"Brock Massey, Connor Mosele, Dylan Kurt, Kyle Kober, Patrick Coen",2,6.0,0.0,5,1,2,1,1,2,2,0,0,0,1,1,0,1,0,50.0,100.0,100.0
"Gavin Sarvis, Jack Haynes, Kyle Kober, Nolan Berendes, Patrick Quarnstrom",1,5.9,3.0,2,0,2,0,1,2,2,0,1,1,0,0,0,1,1,0.0,0.0,100.0
"Damyen Jackson Commits Foul, Dylan Kurt, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,5.9,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
"Brock Massey, Gavin Sarvis, Jack Haynes, Kyle Kober, Lukas Balling",1,5.9,0.0,2,1,3,0,0,0,0,0,2,2,0,0,0,0,2,33.3,,
"Brock Massey, Damyen Jackson, Dylan Kurt, Johnny Semany, Patrick Quarnstrom",1,5.9,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.0,,
"Brock Massey, Dylan Kurt, Emmett Loew, Kyle Kober, Nolan Berendes",2,5.7,-2.0,0,0,3,0,2,0,0,1,0,1,0,1,0,0,1,0.0,0.0,
"Brock Massey, Deng Makeer, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,5.6,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,100.0
"Dylan Kurt, Emmett Loew, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,5.6,-4.0,9,2,6,0,2,5,6,1,3,4,1,1,1,1,4,33.3,0.0,83.3
"Damyen Jackson, Jack Haynes, Johnny Semany, Kyle Kober, Patrick Quarnstrom",1,5.4,1.0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,100.0,,
"Dylan Kurt, Jack Haynes, Johnny Semany, Kyle Kober, Patrick Quarnstrom",2,5.4,-6.0,12,5,11,2,7,0,0,4,3,7,2,3,1,4,0,45.5,28.6,
"Brock Massey, Dylan Kurt, Jack Haynes, Johnny Semany, Kyle Kober",1,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Brock Massey, Deng Makeer, Jack Haynes, Johnny Semany, Kyle Kober",2,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Deng Makeer, Dylan Kurt, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,4.9,-4.0,4,2,7,0,2,0,0,4,3,7,0,1,1,5,3,28.6,0.0,
"Damyen Jackson, Johnny Semany, Kyle Kober, Nolan Berendes, Patrick Coen",1,4.9,3.0,7,3,5,1,3,0,0,1,2,3,3,1,0,1,1,60.0,33.3,
"Connor Mosele, Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober",2,4.6,2.0,5,2,3,1,1,0,0,0,0,0,2,0,0,0,0,66.7,100.0,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Emmett Loew, Jack Haynes",2,4.6,-6.0,10,2,8,2,7,4,4,5,1,6,2,0,0,3,5,25.0,28.6,100.0
"Connor Mosele, Damyen Jackson Commits Foul, Deng Makeer, Jack Haynes, Nolan Berendes",1,4.3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
"Damyen Jackson, Dylan Kurt, Jack Haynes, Johnny Semany, Patrick Quarnstrom",1,4.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Jack Haynes, Patrick Coen",3,4.1,-4.0,5,1,6,1,4,2,2,0,4,4,1,0,3,0,4,16.7,25.0,100.0
"Commits Foul, Gavin Sarvis, Johnny Semany, Kyle Kober, Nolan Berendes",1,4.0,4.0,4,1,5,0,3,2,4,3,2,5,1,0,0,1,2,20.0,0.0,50.0
"Brock Massey, Dylan Kurt, Emmett Loew, Gavin Sarvis, Patrick Quarnstrom",1,3.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
"Commits Foul, Dylan Kurt, Emmett Loew, Jack Haynes, Nolan Berendes",1,3.9,3.0,8,3,4,0,1,2,2,0,1,1,1,0,0,1,0,75.0,0.0,100.0
"Damyen Jackson, Dylan Kurt, Gavin Sarvis, Lukas Balling, Patrick Coen",1,3.9,-6.0,4,2,4,0,2,0,1,1,2,3,0,0,0,1,1,50.0,0.0,0.0
"Deng Makeer, Dylan Kurt, Emmett Loew, Kyle Kober, Patrick Coen",1,3.8,0.0,6,1,2,1,2,3,3,0,0,0,2,0,0,0,0,50.0,50.0,100.0
"Athan Berchos, Cooper Grams, Ethan Meyer, Jim Navarrete, Juvon Crawford",3,3.8,-4.0,9,2,5,2,5,3,3,0,1,1,2,3,0,2,1,40.0,40.0,100.0
"Brock Massey, Damyen Jackson Commits Foul, Deng Makeer, Johnny Semany, Kyle Kober",1,3.8,2.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.0,0.0,
"Brock Massey, Deng Makeer, Johnny Semany, Kyle Kober, Nolan Berendes",4,3.8,0.0,8,4,6,0,2,0,0,0,3,3,1,0,0,0,1,66.7,0.0,
"Damyen Jackson, Dylan Kurt, Jack Haynes, Kyle Kober, Lukas Balling",1,3.8,-3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
"Damyen Jackson, Dylan Kurt, Gavin Sarvis, Jack Haynes, Patrick Quarnstrom",1,3.7,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0.0,,
"Brock Massey, Damyen Jackson, Dylan Kurt, Jack Haynes, Patrick Quarnstrom",1,3.7,0.0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0.0,,
"Brock Massey, Damyen Jackson, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,3.6,2.0,4,2,5,0,3,0,0,0,2,2,1,0,0,0,1,40.0,0.0,
"Damyen Jackson, Emmett Loew, Gavin Sarvis, Lukas Balling, Nolan Berendes",1,3.6,3.0,8,3,7,2,3,0,0,1,3,4,2,1,0,0,0,42.9,66.7,
"Gavin Sarvis, Johnny Semany, Kyle Kober, Lukas Balling, Nolan Berendes",3,3.6,-2.0,5,1,2,1,2,2,2,0,0,0,1,0,0,0,0,50.0,50.0,100.0
"Brock Massey, Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes",2,3.6,0.0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,,,100.0
"Connor Mosele, Deng Makeer, Emmett Loew, Jack Haynes, Nolan Berendes",1,3.5,2.0,9,3,6,2,4,1,1,1,1,2,1,1,0,1,0,50.0,50.0,100.0
"Damyen Jackson, Dylan Kurt, Jack Haynes, Kyle Kober, Patrick Quarnstrom",2,3.5,-2.0,4,2,7,0,2,0,0,2,5,7,0,1,1,4,4,28.6,0.0,
"Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes, Patrick Coen",1,3.4,5.0,9,4,4,0,0,1,2,0,3,3,1,0,0,0,1,100.0,,50.0
"Damyen Jackson, Deng Makeer, Emmett Loew, Jack Haynes, Nolan Berendes",2,3.4,1.0,3,1,6,0,4,1,2,1,2,3,0,2,1,1,1,16.7,0.0,50.0
"Damyen Jackson, Deng Makeer, Gavin Sarvis, Jack Haynes, Nolan Berendes",2,3.3,5.0,11,3,4,1,1,4,4,0,1,1,1,0,0,0,0,75.0,100.0,100.0
"Connor Mosele, Emmett Loew, Jack Haynes, Nolan Berendes, Patrick Quarnstrom",1,3.3,-7.0,7,3,7,1,3,0,0,1,3,4,2,2,0,0,0,42.9,33.3,
"Connor Mosele, Jack Haynes, Johnny Semany, Kyle Kober, Patrick Quarnstrom",2,3.3,0.0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,2,,,0.0
"Commits Foul, Emmett Loew, Gavin Sarvis, Kyle Kober, Nolan Berendes",2,3.3,-2.0,9,3,3,1,1,2,2,0,5,5,2,0,0,3,2,100.0,100.0,100.0
"Deng Makeer, Dylan Kurt, Emmett Loew, Gavin Sarvis, Kyle Kober",1,3.2,3.0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,100.0,100.0,
"Damyen Jackson Commits Foul, Gavin Sarvis, Johnny Semany, Kyle Kober, Nolan Berendes",1,3.2,-2.0,4,1,2,0,1,2,2,1,0,1,1,0,0,0,0,50.0,0.0,100.0
"Damyen Jackson, Dylan Kurt, Emmett Loew, Jack Haynes, Nolan Berendes",2,3.1,-3.0,7,2,5,2,4,1,2,0,3,3,2,2,1,1,3,40.0,50.0,50.0
"Commits Foul, Emmett Loew, Gavin Sarvis, Jack Haynes, Kyle Kober, Nolan Berendes",1,3.0,1.0,8,4,6,0,0,0,0,1,1,2,3,0,0,0,2,66.7,,
"Athan Berchos, Deng Makeer, Kyle Kober, Nolan Berendes, Patrick Coen",1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
"Brock Massey, Emmett Loew, Gavin Sarvis, Jack Haynes, Kyle Kober",1,2.9,1.0,2,1,3,0,0,0,0,0,1,1,0,3,0,2,1,33.3,,
"Brock Massey, Damyen Jackson, Deng Makeer, Jack Haynes, Nolan Berendes",1,2.9,2.0,2,1,2,0,1,0,0,0,1,1,1,0,0,0,0,50.0,0.0,
"Brock Massey, Emmett Loew, Gavin Sarvis, Kyle Kober, Nolan Berendes",1,2.9,-3.0,6,1,5,0,3,4,5,3,0,3,0,0,0,1,0,20.0,0.0,80.0
"Connor Mosele, Emmett Loew, Jack Haynes, Kyle Kober, Patrick Quarnstrom",1,2.8,-5.0,6,2,3,1,2,1,2,2,0,2,1,1,0,2,0,66.7,50.0,50.0
"Connor Mosele, Damyen Jackson, Deng Makeer, Dylan Kurt, Jack Haynes",2,2.8,2.0,2,1,4,0,1,0,0,2,2,4,1,0,0,1,2,25.0,0.0,
"Brock Massey, Jack Haynes, Johnny Semany, Kyle Kober, Patrick Quarnstrom",1,2.7,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,
"Deng Makeer, Dylan Kurt, Emmett Loew, Nolan Berendes, Patrick Coen",1,2.7,-1.0,5,2,5,1,3,0,0,1,1,2,1,0,0,0,0,40.0,33.3,
"Connor Mosele, Damyen Jackson, Dylan Kurt, Jack Haynes, Kyle Kober",1,2.6,-2.0,7,2,3,1,2,2,2,0,1,1,1,0,1,0,0,66.7,50.0,100.0
"Commits Foul, Emmett Loew, Gavin Sarvis, Jack Haynes, Kyle Kober",1,2.6,-2.0,6,2,4,0,1,2,2,1,1,2,1,2,1,0,1,50.0,0.0,100.0
"Damyen Jackson, Dylan Kurt, Emmett Loew, Jack Haynes, Kyle Kober",1,2.6,5.0,7,2,3,1,1,2,2,0,4,4,2,2,0,3,2,66.7,100.0,100.0
"Damyen Jackson, Dylan Kurt, Johnny Semany, Lukas Balling, Nolan Berendes",1,2.6,1.0,7,1,4,1,2,4,4,1,2,3,1,0,0,0,0,25.0,50.0,100.0
"Damyen Jackson, Emmett Loew, Gavin Sarvis, Nolan Berendes, Patrick Coen",1,2.5,-2.0,3,1,4,1,2,0,0,0,2,2,1,0,0,1,1,25.0,50.0,
"Brock Massey, Commits Foul, Gavin Sarvis, Kyle Kober, Nolan Berendes",2,2.5,-2.0,2,1,5,0,4,0,0,2,1,3,0,0,0,0,1,20.0,0.0,
"Damyen Jackson, Emmett Loew, Gavin Sarvis, Jack Haynes, Lukas Balling",1,2.5,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,,
"Damyen Jackson, Dylan Kurt, Gavin Sarvis, Johnny Semany, Nolan Berendes",1,2.5,1.0,8,3,5,2,4,0,0,1,1,2,2,0,0,0,0,60.0,50.0,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Johnny Semany, Nolan Berendes",2,2.4,-4.0,2,1,8,0,3,0,0,5,2,7,0,0,0,1,3,12.5,0.0,
"Commits Foul, Emmett Loew, Gavin Sarvis, Kyle Kober, Nolan Berendes, Patrick Quarnstrom",1,2.4,6.0,2,1,6,0,2,0,0,3,1,4,0,0,0,0,1,16.7,0.0,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Johnny Semany, Patrick Coen",1,2.3,3.0,3,1,6,1,4,0,0,1,4,5,1,2,0,0,0,16.7,25.0,
"Brock Massey, Deng Makeer, Emmett Loew, Kyle Kober, Nolan Berendes",2,2.3,1.0,4,1,5,0,4,2,2,1,1,2,0,1,0,0,0,20.0,0.0,100.0
"Dylan Kurt, Gavin Sarvis, Jack Haynes, Kyle Kober, Patrick Coen",1,2.2,-4.0,2,1,5,0,3,0,0,2,3,5,0,0,0,0,1,20.0,0.0,
"Brock Massey, Deng Makeer, Dylan Kurt, Johnny Semany, Kyle Kober",1,2.2,-1.0,2,1,3,0,1,0,0,1,1,2,1,1,0,1,1,33.3,0.0,
"Damyen Jackson, Emmett Loew, Johnny Semany, Kyle Kober, Patrick Coen",1,2.2,2.0,4,2,3,0,0,0,0,1,3,4,0,1,0,1,1,66.7,,
"Brock Massey, Connor Mosele, Emmett Loew, Nolan Berendes, Patrick Coen",1,2.2,-6.0,8,3,6,2,5,0,0,2,1,3,2,1,0,1,1,50.0,40.0,
"Connor Mosele, Deng Makeer, Emmett Loew, Nolan Berendes, Patrick Coen",1,2.1,-2.0,3,1,3,1,3,0,0,0,1,1,1,0,0,0,0,33.3,33.3,
"Brock Massey, Damyen Jackson, Dylan Kurt, Kyle Kober, Nolan Berendes",1,2.1,0.0,4,0,7,0,3,4,4,5,1,6,0,0,0,0,1,0.0,0.0,100.0
"Brock Massey, Damyen Jackson, Dylan Kurt, Jack Haynes, Kyle Kober",1,2.1,-2.0,5,1,2,1,1,2,2,0,3,3,0,0,0,0,0,50.0,100.0,100.0
"Deng Makeer, Dylan Kurt, Gavin Sarvis, Jack Haynes, Kyle Kober",2,2.1,2.0,7,2,3,2,3,1,2,2,1,3,2,0,0,1,1,66.7,66.7,50.0
"Damyen Jackson, Deng Makeer, Emmett Loew, Gavin Sarvis, Nolan Berendes",2,2.0,0.0,3,1,2,0,1,1,3,1,1,2,0,1,1,1,2,50.0,0.0,33.3
"Brock Massey, Commits Foul, Emmett Loew, Kyle Kober, Nolan Berendes",1,2.0,2.0,2,1,4,0,3,0,0,1,0,1,1,3,0,2,1,25.0,0.0,
"Brock Massey, Connor Mosele, Dylan Kurt, Emmett Loew, Patrick Coen",1,2.0,1.0,4,2,4,0,1,0,0,1,2,3,1,0,0,0,2,50.0,0.0,
"Damyen Jackson, Deng Makeer, Dylan Kurt, Nolan Berendes, Patrick Coen",1,2.0,1.0,6,2,2,2,2,0,0,0,1,1,2,0,0,1,0,100.0,100.0,
"Brock Massey, Damyen Jackson, Deng Makeer, Kyle Kober, Nolan Berendes",1,2.0,3.0,3,1,2,1,2,0,0,0,2,2,1,0,0,0,1,50.0,50.0,
"Commits Foul, Damyen Jackson, Deng Makeer, Johnny Semany, Nolan Berendes",1,1.9,2.0,5,2,3,1,2,0,0,0,0,0,0,1,0,0,2,66.7,50.0,
"Dylan Kurt, Emmett Loew, Jack Haynes, Johnny Semany, Nolan Berendes",1,1.9,0.0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,66.7,,
"Brock Massey, Commits Foul, Damyen Jackson, Emmett Loew, Jack Haynes",1,1.9,-1.0,6,3,4,0,1,0,0,1,0,1,1,1,0,1,0,75.0,0.0,
"Connor Mosele, Jim Navarrete, Kyle Kober, Patrick Coen, Patrick Quarnstrom",1,1.8,2.0,6,2,3,2,2,0,0,0,0,0,1,0,0,0,0,66.7,100.0,
"Damyen Jackson, Dylan Kurt, Jack Haynes, Nolan Berendes, Patrick Quarnstrom",1,1.8,-2.0,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,100.0,,
"Brock Massey, Damyen Jackson, Gavin Sarvis, Jack Haynes, Nolan Berendes",1,1.8,0.0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0.0,0.0,
"Dylan Kurt, Gavin Sarvis, Johnny Semany, Lukas Balling, Nolan Berendes",1,1.7,1.0,3,1,4,1,3,0,0,1,1,2,1,0,0,0,0,25.0,33.3,
"Brock Massey, Damyen Jackson, Kyle Kober, Nolan Berendes, Patrick Coen",2,1.7,-1.0,2,1,2,0,1,0,0,0,1,1,0,2,0,0,1,50.0,0.0,
"Damyen Jackson, Dylan Kurt, Emmett Loew, Nolan Berendes, Patrick Coen",1,1.7,1.0,7,3,3,1,1,0,0,0,1,1,1,0,0,0,2,100.0,100.0,
"Connor Mosele, Emmett Loew, Gavin Sarvis, Jack Haynes, Nolan Berendes",2,1.7,-1.0,2,0,0,0,0,2,2,0,1,1,0,1,1,1,1,,,100.0
"Deng Makeer, Emmett Loew, Gavin Sarvis, Lukas Balling, Nolan Berendes",1,1.7,-1.0,3,1,2,1,2,0,0,0,1,1,1,0,0,1,1,50.0,50.0,
"Connor Mosele, Damyen Jackson, Deng Makeer, Dylan Kurt, Patrick Coen",1,1.6,-2.0,2,1,2,0,1,0,0,1,0,1,0,0,0,1,2,50.0,0.0,
"Brock Massey, Connor Mosele, Damyen Jackson, Nolan Berendes, Patrick Quarnstrom",1,1.6,2.0,0,0,5,0,3,0,0,4,0,4,0,0,0,1,0,0.0,0.0,
"Brock Massey, Commits Foul, Emmett Loew, Gavin Sarvis, Nolan Berendes",1,1.6,-2.0,5,2,2,1,1,0,1,0,1,1,2,0,0,0,2,100.0,100.0,0.0
"Damyen Jackson, Deng Makeer, Dylan Kurt, Kyle Kober, Patrick Coen",1,1.6,0.0,2,1,3,0,1,0,0,1,1,2,0,1,0,1,1,33.3,0.0,
"Dylan Kurt, Emmett Loew, Gavin Sarvis, Nolan Berendes, Patrick Coen",1,1.6,4.0,0,0,4,0,3,0,0,1,1,2,0,1,0,0,1,0.0,0.0,
"Dylan Kurt, Emmett Loew, Jack Haynes, Johnny Semany, Patrick Quarnstrom",2,1.6,-6.0,8,2,5,0,1,4,4,3,2,5,1,0,0,0,1,40.0,0.0,100.0
"Connor Mosele, Deng Makeer, Dylan Kurt, Emmett Loew, Nolan Berendes",1,1.6,4.0,6,2,2,2,2,0,0,0,1,1,2,0,0,0,0,100.0,100.0,
"Brock Massey, Damyen Jackson, Damyen Jackson Commits Foul, Deng Makeer, Jack Haynes",1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,,
"Connor Mosele, Damyen Jackson, Gavin Sarvis, Jack Haynes, Kyle Kober",1,1.5,0.0,3,1,1,1,1,0,0,0,1,1,0,0,0,0,1,100.0,100.0,
"Deng Makeer, Dylan Kurt, Johnny Semany, Kyle Kober, Nolan Berendes",1,1.5,3.0,7,2,3,2,2,1,2,1,0,1,2,0,0,0,0,66.7,100.0,50.0
"Deng Makeer, Emmett Loew, Gavin Sarvis, Jack Haynes, Kyle Kober",1,1.5,-2.0,0,0,4,0,1,0,0,1,1,2,0,0,0,0,0,0.0,0.0,
"Brock Massey, Connor Mosele, Emmett Loew, Patrick Coen, Patrick Quarnstrom",1,1.5,1.0,3,1,4,1,3,0,0,2,1,3,0,0,0,1,0,25.0,33.3,
"Damyen Jackson, Gavin Sarvis, Johnny Semany, Lukas Balling, Nolan Berendes",1,1.5,3.0,7,2,2,1,1,2,2,0,0,0,1,0,0,0,2,100.0,100.0,100.0
"Damyen Jackson, Deng Makeer, Dylan Kurt, Johnny Semany, Patrick Quarnstrom",1,1.4,-2.0,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,100.0,,
"Brock Massey, Commits Foul, Damyen Jackson, Deng Makeer, Johnny Semany",1,1.4,-1.0,4,2,4,0,1,0,0,1,1,2,1,0,0,0,2,50.0,0.0,
