category,side,display_label,games,wins,losses,win_pct
(no matched category),,: (no matched category),2,0,2,0.0
Ball Security / Turnovers,UWW,UWW: Protect the Ball,1,0,1,0.0
Field Goal Efficiency,OPP,OPP: Limit Their FG Efficiency,1,0,1,0.0
Fouls / Discipline,OPP,OPP: They Draw Fouls,2,2,0,1.0
Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense,5,4,1,0.8
Rebounding,UWW,UWW: Crash the Boards,5,4,1,0.8
Scoring Inside,UWW,UWW: Attack the Paint,8,6,2,0.75
Three-Point Shooting,OPP,OPP: Contest Their Shooting,1,1,0,1.0
