#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
42,Jake Quast,TEAM OFF,,"+READ TO SKIP BACKSIDE, -NEED TO VEER INTO DEFENDER TO CREATE ANGLE TOFINISH",,,No Violation,0:09.8,0:05.1,0:14.9,43:28.79,43:43.72,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,,Jake Quast,,,,12 Jake Quast > Non Possession > No Violation
43,Brock Marino,TEAM OFF,,"-TAKE DRIBBLE DOWN RIGHT AWAY, -STOP IN THE PAINT AND BLAST DEFENDER",,,Foul,0:16.9,N/A,0:16.9,1:10:21.30,1:10:49.50,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,14:14,Brock Marino,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Foul
44,Kelton Mcewen,TEAM OFF,,"+SHARING THE BALL, +EXTRA EFFORT FOR THE PUTBACK",,,Miss 3 Pts,0:10.3,0:10.9,0:21.2,1:20:46.57,1:21:07.77,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,9:58,Kelton Mcewen,,,,2 Kelton Mcewen > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
45,Kelton Mcewen,TEAM OFF,,"+PASSES ON A DEEP LOOK, BALL MOVES, GOOD FLARE",,,Make 3 Pts,0:21.3,N/A,N/A,1:25:06.11,1:25:27.38,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,8:53,Kelton Mcewen,,,,2 Kelton Mcewen > Off Screen > To Shooter's Right > Flare > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
46,Jr Lukenbill,TEAM OFF,,"+INSIDE OUT X2, +OREB",,,Miss 3 Pts,0:12.8,0:11.0,0:23.8,1:26:19.64,1:26:43.44,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,8:23,Jr Lukenbill,,,,11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
47,Jake Quast,TEAM OFF,,+DRIVE TO POST PLAYING OFF OF TWO FEET,,,Make 2 Pts,0:10.0,0:13.1,0:23.1,1:26:57.24,1:27:20.38,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,7:59,Jake Quast,,,,12 Jake Quast > ISO > Right > Drives Left > To Basket > Make 2 Pts
48,Jake Quast,TEAM OFF,,+TWO PUNCHES,,,Make 2 Pts,0:13.8,0:06.9,0:20.7,1:34:00.31,1:34:21.05,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,5:24,Jake Quast,,,,12 Jake Quast > Cut > Basket > Make 2 Pts
49,Collin Madson,Shad,,WAIT & LET HIM WORK/SIT DOWN,,,Turnover,0:09.2,0:06.6,0:15.8,7:24.24,7:41.37,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,19:49,Collin Madson,,,,15 Collin Madson > Off Screen > To Shooter's Left > Curl > Turnover
50,Rashad Rogers,Shad,,MOVING SCREEN,,,Turnover,0:09.5,N/A,N/A,10:07.91,10:17.44,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,17:48,Rashad Rogers,,,,35 Rashad Rogers > No Play Type > Turnover
51,Aidyn Boone,Shad,,HIPS COME UP,,,Non Shooting Foul,0:07.8,N/A,N/A,11:27.77,11:35.57,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,,Aidyn Boone,,,,40 Aidyn Boone > Non Possession > Non Shooting Foul
52,Jake Quast,QUAST,,MOVING SCREEN,,,Turnover,0:21.8,N/A,N/A,27:55.98,28:17.78,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,8:17,Jake Quast,,,,12 Jake Quast > No Play Type > Turnover
53,Isaac Verges,RICHIE,,REENGAGE DEFENDER & SIT IN THE PAINT,,,Turnover,0:11.1,N/A,N/A,35:47.39,35:58.52,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,4:40,Isaac Verges,,,,0 Isaac Verges > No Play Type > Turnover
54,Richie Warren,RICHIE,,TOUGH SHOT EARLY IN CLOCK,,,Miss 2 Pts,0:15.3,N/A,N/A,1:02:27.07,1:02:42.33,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,19:11,Richie Warren,,,,24 Richie Warren > ISO > Top > Early Jumper > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
55,Richie Warren,RICHIE,,+GOOD FACEUP MIDPOST,,,Miss 2 Pts,0:19.7,N/A,N/A,1:19:18.57,1:19:38.31,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,11:22,Richie Warren,,,,24 Richie Warren > Post-Up > Right Block > Face-up > Drive Baseline > Miss 2 Pts
56,Luke Bara,BARA,,INEXCUSIBLE,,,Turnover,0:14.7,N/A,N/A,1:09:50.44,1:10:05.17,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,14:59,Luke Bara,,,,32 Luke Bara > Transition > Ballhandler > Turnover
57,Sebastian Blachut,BARA,,HIPS COME UP,,,Foul,0:24.6,N/A,N/A,1:34:23.45,1:34:48.05,Elmhurst University Bluejays,EC@WWW,12/2/2025,2,4:58,Sebastian Blachut,,,,0 Sebastian Blachut > P&R Ball Handler > High P&R > Go Away from Pick > Foul
58,Jr Lukenbill,JR,,SCORE ON HIM,,,No Violation,0:17.5,N/A,N/A,1:31:02.45,1:31:19.98,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,,Jr Lukenbill,,,,11 Jr Lukenbill > Non Possession > No Violation
59,Sebastian Blachut,TEAM DEF / DC,,-HIPS COME UP = ALLOWS A DRIVING ANGLE,,,Foul,0:12.5,N/A,N/A,25:19.98,25:32.51,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,9:59,Sebastian Blachut,,,,0 Sebastian Blachut > P&R Ball Handler > Right P&R > Baseline > Go Away from Pick > To Basket > Foul
