lineup,GP,MIN,+/-,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,FG%,3P%,FT%
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Sebastian Blachut, Talen Pearson",1,1.7,-2.0,3,1,2,1,1,0,0,0,1,1,0,0,0,1,1,50.0,100.0,
"Andy Colvin, DJ Jervier, Evan Salvador, Jeffrey Williams, John Witcher",1,1.6,-3.0,3,1,4,0,0,1,2,3,2,5,1,1,0,0,0,25.0,,50.0
"Aidyn Boone, Dominic Trelenberg, EJ Marshall, Luke Smith, Sebastian Blachut",1,1.6,2.0,2,1,3,0,1,0,0,1,0,1,0,1,0,0,1,33.3,0.0,
"Aidyn Boone, Dominic Trelenberg, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",1,1.5,2.0,2,1,1,0,0,0,0,0,1,1,0,1,0,0,1,100.0,,
"Dominic Trelenberg, Luke Smith, Oliver Adams, Sebastian Blachut, Talen Pearson",2,1.5,2.0,3,1,2,1,2,0,0,1,0,1,1,0,0,1,2,50.0,50.0,
"Jeffrey Williams, John Witcher, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta",1,1.5,-5.0,5,2,2,1,1,0,0,0,1,1,1,1,1,1,1,100.0,100.0,
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Luke Smith, Vinnie Adjahoungbeta",2,1.5,-3.0,6,2,3,0,0,2,2,0,2,2,2,1,0,0,2,66.7,,100.0
"Dominic Trelenberg, Jack Cherry, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",2,1.4,2.0,3,1,2,0,1,1,2,2,1,3,0,0,0,0,1,50.0,0.0,50.0
"Dominic Trelenberg, Jack Cherry, Oliver Adams, Sebastian Blachut, Talen Pearson",3,1.4,-6.0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0.0,0.0,
"Aidyn Boone, Dominic Trelenberg, Jack Cherry, Luke Smith, Talen Pearson",1,1.4,3.0,2,1,3,0,1,0,0,2,0,2,0,0,1,0,0,33.3,0.0,
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Jeffrey Williams, Luke Smith",1,1.4,-3.0,5,2,2,1,1,0,0,0,2,2,0,0,0,0,0,100.0,100.0,
"EJ Marshall, Jack Cherry, Jeffrey Williams, Luke Smith, Vinnie Adjahoungbeta",1,1.4,-2.0,2,1,1,0,0,0,0,0,1,1,0,0,0,2,1,100.0,,
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Oliver Adams, Talen Pearson",1,1.4,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,,
"Aidyn Boone, EJ Marshall, Jack Cherry, Luke Smith, Vinnie Adjahoungbeta",1,1.2,4.0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0.0,,
"Dominic Trelenberg, John Witcher, Luke Smith, Talen Pearson, Vinnie Adjahoungbeta",1,1.2,0.0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,100.0,,
"Dominic Trelenberg, Jack Cherry, Jeffrey Williams, Talen Pearson, Vinnie Adjahoungbeta",2,1.1,2.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,100.0,,
"Dominic Trelenberg, Luke Smith, Oliver Adams, Sebastian Blachut, Vinnie Adjahoungbeta",1,1.1,4.0,4,1,1,1,1,1,2,1,1,2,1,0,0,0,0,100.0,100.0,50.0
"Aidyn Boone, EJ Marshall, Luke Smith, Talen Pearson, Vinnie Adjahoungbeta",2,1.1,2.0,1,0,1,0,1,1,2,1,2,3,0,0,0,2,0,0.0,0.0,50.0
"Dominic Trelenberg, Jack Cherry, Jeffrey Williams, John Witcher, Talen Pearson",1,1.1,3.0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
"Aidyn Boone, Dominic Trelenberg, EJ Marshall, Jack Cherry, Luke Smith",2,1.0,0.0,2,0,1,0,0,2,4,0,1,1,0,0,0,0,0,0.0,,50.0
"Dominic Trelenberg, Jack Cherry, Jeffrey Williams, Sebastian Blachut, Talen Pearson",1,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
"Dominic Trelenberg, Jack Cherry, Jeffrey Williams, John Witcher, Luke Smith",1,1.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,
"Aidyn Boone, Dominic Trelenberg, EJ Marshall, Luke Smith, Vinnie Adjahoungbeta",2,1.0,4.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,
"Aidyn Boone, Jack Cherry, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",1,1.0,0.0,2,1,1,0,0,0,0,0,1,1,0,0,1,1,0,100.0,,
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Luke Smith, Talen Pearson",1,0.8,-3.0,3,1,2,1,2,0,0,0,1,1,1,0,1,0,1,50.0,50.0,
"Dominic Trelenberg, Jack Cherry, Jeffrey Williams, Luke Smith, Sebastian Blachut",1,0.7,-2.0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,,,100.0
"Jack Cherry, Jeffrey Williams, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta",1,0.7,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,
"Jack Cherry, Luke Smith, Oliver Adams, Sebastian Blachut, Talen Pearson",1,0.6,-1.0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,,50.0
"Dominic Trelenberg, Jack Cherry, Jeffrey Williams, Sebastian Blachut, Vinnie Adjahoungbeta",1,0.6,0.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.0,0.0,
"Aidyn Boone, Dominic Trelenberg, EJ Marshall, Jack Cherry, Talen Pearson",1,0.4,-2.0,2,0,0,0,0,2,2,0,1,1,0,0,0,0,1,,,100.0
"Aidyn Boone, EJ Marshall, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta",1,0.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Jeffrey Williams, Sebastian Blachut",1,0.4,-2.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,100.0
"Aidyn Boone, Jack Cherry, John Witcher, Sebastian Blachut, Talen Pearson",1,0.3,-2.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,,,100.0
"Dominic Trelenberg, Jack Cherry, Oliver Adams, Talen Pearson, Vinnie Adjahoungbeta",2,0.3,-1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,
"Luke Smith, Oliver Adams, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",1,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Dominic Trelenberg, EJ Marshall, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",1,0.2,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"EJ Marshall, Jack Cherry, Jeffrey Williams, Sebastian Blachut, Vinnie Adjahoungbeta",1,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Jack Cherry, Jeffrey Williams, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",1,0.0,0.0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,,,0.0
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Sebastian Blachut, Vinnie Adjahoungbeta",1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Dominic Trelenberg, Jeffrey Williams, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
