#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,-Twins(): Press(TOKEN)-,WWW@STC - 11/13/2025 QTR: 1 CLK: 19:22,,,,,Turnover,0:11.5,N/A,N/A,11:15.93,11:27.47,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,19:22,Isaac Verges,,,,0 Isaac Verges > No Play Type > Turnover
2,5 out- (pass 5-ds-curl-pass-bs- b): - M2M,WWW@WSP - 02/23/2025 QTR: 1 CLK: 19:38,,,,,Miss 2 Pts,0:28.5,N/A,N/A,19:42.13,20:10.60,Wisconsin-(Whitewater) Warhawks,WWW@WSP,2/24/2025,1,19:38,Carter Capstran,,,,23 Carter Capstran > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts
3,"- Horns(BS,Flair): - M2M",WWW@WSP - 02/23/2025 QTR: 1 CLK: 19:08,,,,,Make 2 Pts,0:18.1,N/A,N/A,20:39.47,20:57.60,Wisconsin-(Stevens Point) Pointers,WWW@WSP,2/24/2025,1,19:08,Cal Krohn,,,,4 Josiah Butler > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Cal Krohn > Cut > Basket > Make 2 Pts
